Category,Value1,Value2,Value3,Value4
ppg,0.3197516210881094,0.3207871313448703,87.0,94.0
ppg,0.3213866929999644,0.3221957040865527,87.0,94.0
ppg,0.3230217649118195,0.32342054994888514,87.0,94.0
ppg,0.3240484379727516,0.32403297288005134,87.0,94.0
ppg,0.3240484379727516,0.32403297288005134,87.0,94.0
ppg,0.324580786967309,0.324584153518101,87.0,94.0
ppg,0.3249990611773185,0.32476788039745086,87.0,94.0
ppg,0.32461881189549174,0.32482912269056746,87.0,94.0
ppg,0.3240484379727516,0.3239717305869347,87.0,94.0
ppg,0.32351608897819417,0.3239717305869347,87.0,94.0
ppg,0.322717565486358,0.32366551912135166,87.0,94.0
ppg,0.32184299213815654,0.3227468847246023,87.0,94.0
ppg,0.3219570669227045,0.32280812701771894,87.0,94.0
ppg,0.3218049672099738,0.3227468847246023,87.0,94.0
ppg,0.3219570669227045,0.32317558077641867,87.0,94.0
ppg,0.3220711417072525,0.3225019155521358,87.0,94.0
ppg,0.32313583969636744,0.3232980653626518,87.0,94.0
ppg,0.32359213883455956,0.324400426638751,87.0,94.0
ppg,0.3250370861055012,0.32501284956991733,87.0,94.0
ppg,0.3259496843818853,0.3257477570873168,87.0,94.0
ppg,0.3266721580173562,0.32629893772536644,87.0,94.0
ppg,0.32788895571920174,0.3271563298289991,87.0,94.0
ppg,0.32880155399558597,0.32813620651886505,87.0,94.0
ppg,0.33005637662561416,0.329116083208731,87.0,94.0
ppg,0.33093094997381567,0.3303409290710635,87.0,94.0
ppg,0.2958339412612072,0.3032718355135162,87.0,94.0
ppg,0.2959480160457552,0.3034555623928661,87.0,94.0
ppg,0.29610011575848594,0.3035780469790993,87.0,94.0
ppg,0.2962522154712166,0.3035168046859827,87.0,94.0
ppg,0.2974309882448795,0.3050478620138983,87.0,94.0
ppg,0.29902803522855187,0.30529283118636474,87.0,94.0
ppg,0.3005870572840415,0.3069463731005136,87.0,94.0
ppg,0.30191792977043513,0.30866115730777904,87.0,94.0
ppg,0.30191792977043513,0.30866115730777904,87.0,94.0
ppg,0.3035530016822901,0.31031469922192784,87.0,94.0
ppg,0.3050359738814144,0.3112945759117938,87.0,94.0
ppg,0.30648092115235603,0.3124581794810096,87.0,94.0
ppg,0.3083061177051244,0.3136217830502255,87.0,94.0
ppg,0.30959896526333536,0.31484662891255794,87.0,94.0
ppg,0.3116142864570171,0.3164389285335901,87.0,94.0
ppg,0.3136676325788815,0.31778625898215584,87.0,94.0
ppg,0.3153027044907365,0.319868496948121,87.0,94.0
ppg,0.3173940755407836,0.32133831198291996,87.0,94.0
ppg,0.3189150726680906,0.32280812701771894,87.0,94.0
ppg,0.32032199501084957,0.32354303453511835,87.0,94.0
ppg,0.32142471792814714,0.32391048829381813,87.0,94.0
ppg,0.322489415917262,0.3255640302079669,87.0,94.0
ppg,0.32382028840365557,0.32642142231159965,87.0,94.0
ppg,0.3246948617518571,0.32678887607029944,87.0,94.0
ppg,0.32473288668003975,0.3271563298289991,87.0,94.0
ppg,0.3257975846691546,0.327829995053282,87.0,94.0
ppg,0.32598770931006804,0.32819744881198165,87.0,94.0
ppg,0.3266341330891735,0.3286261448637981,87.0,94.0
ppg,0.32800303050374974,0.32997347531236376,87.0,94.0
ppg,0.32876352906740325,0.33058589824353,87.0,94.0
ppg,0.32952402763105676,0.33101459429534635,87.0,94.0
ppg,0.3308549001174504,0.33156577493339595,87.0,94.0
ppg,0.3325279969574881,0.3337092551924778,87.0,94.0
ppg,0.34731969402054835,0.34914231305786664,87.0,94.0
ppg,0.3493730401424128,0.35085709726513215,87.0,94.0
ppg,0.3510081120542678,0.35153076248941506,87.0,94.0
ppg,0.3520728100433827,0.35244939688616433,87.0,94.0
ppg,0.3526812088943055,0.3533067889897971,87.0,94.0
ppg,0.35340368252977633,0.3539804542140799,87.0,94.0
ppg,0.353898006596151,0.3541641810934298,87.0,94.0
ppg,0.3541641810934298,0.3541029388003131,87.0,94.0
ppg,0.3539360315243337,0.3540416965071965,87.0,94.0
ppg,0.3539360315243337,0.3540416965071965,87.0,94.0
ppg,0.35340368252977633,0.35385796962784666,87.0,94.0
ppg,0.35317553296068027,0.3536742427484968,87.0,94.0
ppg,0.3528333086070362,0.3531843044035638,87.0,94.0
ppg,0.3526812088943055,0.3531843044035638,87.0,94.0
ppg,0.3519967601870174,0.35238815459304773,87.0,94.0
ppg,0.3515024361206426,0.35214318542058126,87.0,94.0
ppg,0.35173058568973864,0.35214318542058126,87.0,94.0
ppg,0.3514263862642772,0.3518369739549981,87.0,94.0
ppg,0.3514644111924599,0.35226567000681447,87.0,94.0
ppg,0.3510081120542678,0.35226567000681447,87.0,94.0
ppg,0.3515784859770079,0.35238815459304773,87.0,94.0
ppg,0.3519967601870174,0.3522044277136979,87.0,94.0
ppg,0.35211083497156537,0.35238815459304773,87.0,94.0
ppg,0.3522629346842961,0.35244939688616433,87.0,94.0
ppg,0.3520728100433827,0.35300057752421393,87.0,94.0
ppg,0.3502095885624316,0.35085709726513215,87.0,94.0
ppg,0.3462549960314335,0.3483461632473506,87.0,94.0
ppg,0.34020903245038825,0.34314056833243767,87.0,94.0
ppg,0.30914266612514324,0.32035843529305397,85.0,94.0
ppg,0.31100588760609427,0.32195073491408616,85.0,94.0
ppg,0.3116523113851998,0.322624400138369,85.0,94.0
ppg,0.31210861052339184,0.3232980653626518,85.0,94.0
ppg,0.3130972586561414,0.32372676141446827,85.0,94.0
ppg,0.3142380065016216,0.3251353341561506,85.0,94.0
ppg,0.3154548042034672,0.3256252725010836,85.0,94.0
ppg,0.3159111033416593,0.3258702416735501,85.0,94.0
ppg,0.3167856766898608,0.326360180018483,85.0,94.0
ppg,0.317698274966245,0.32703384524276585,85.0,94.0
ppg,0.31830667381716776,0.3276462681739321,85.0,94.0
ppg,0.3181545741044371,0.3272175721221158,85.0,94.0
ppg,0.3162533276953034,0.3266051491909495,85.0,94.0
ppg,0.3129451589434107,0.3242166997594012,85.0,94.0
ppg,0.30705129507509615,0.31980725465500437,85.0,94.0
ppg,0.2986477859467251,0.31325432929152575,85.0,94.0
ppg,0.2904344014592674,0.30762003832479645,85.0,94.0
ppg,0.2824491665409058,0.30100587066820117,85.0,94.0
ppg,0.2747681310480055,0.29500412594277214,85.0,94.0
ppg,0.2747681310480055,0.29500412594277214,85.0,94.0
ppg,0.26891229210787365,0.29053343854525865,85.0,94.0
ppg,0.2643873256541354,0.28698138554449454,85.0,94.0
ppg,0.26088903226132937,0.28379678630243016,85.0,94.0
ppg,0.2581512374321768,0.2819595175089315,85.0,94.0
ppg,0.2564020907357738,0.2805509447672491,85.0,94.0
ppg,0.2549191185366495,0.2795098257842666,85.0,94.0
ppg,0.2544628193984574,0.27865243368063386,85.0,94.0
ppg,0.25362627097843854,0.278468706801284,85.0,94.0
ppg,0.29503541776937103,0.31166202967049356,85.0,94.0
ppg,0.29206947337112243,0.31000848775634476,85.0,94.0
ppg,0.28701215792282675,0.3058440118244144,85.0,94.0
ppg,0.25389244547571727,0.2785299490944006,85.0,94.0
ppg,0.25400652026026527,0.27895864514621693,85.0,94.0
ppg,0.2618396554658962,0.28704262783761114,85.0,94.0
ppg,0.25332207155297715,0.28018349100854945,85.0,94.0
ppg,0.24632548476736504,0.27467168462805336,85.0,94.0
ppg,0.24001334668904112,0.26958857429937366,85.0,94.0
ppg,0.23548838023530286,0.26615900588484276,85.0,94.0
ppg,0.23191403698613144,0.2634643449877114,85.0,94.0
ppg,0.2297846410079017,0.26095341096992986,85.0,94.0
ppg,0.2282636438805947,0.2598510496938306,85.0,94.0
ppg,0.22746512038875852,0.2592386267626644,85.0,94.0
ppg,0.22659054704055703,0.258809930710848,85.0,94.0
ppg,0.22605819804599958,0.25801378090033195,85.0,94.0
ppg,0.2254497991950768,0.25795253860721534,85.0,94.0
ppg,0.22537374933871146,0.2578912963140987,85.0,94.0
ppg,0.2259060983332689,0.25746260026228235,85.0,94.0
ppg,0.22636239747146097,0.2586262038314982,85.0,94.0
ppg,0.22773129488603724,0.2597285651075974,85.0,94.0
ppg,0.22932834186970957,0.2606471995043467,85.0,94.0
ppg,0.23050711464337248,0.26205577224602905,85.0,94.0
ppg,0.23149576277612205,0.26297440664277844,85.0,94.0
ppg,0.2322942862679582,0.2632193758152449,85.0,94.0
ppg,0.2319520619143141,0.2632193758152449,85.0,95.0
ppg,0.2319520619143141,0.2632193758152449,85.0,95.0
ppg,0.23206613669886214,0.26309689122901164,85.0,95.0
ppg,0.23176193727340075,0.2626681951771953,85.0,95.0
ppg,0.23088736392519923,0.2624232260047288,85.0,95.0
ppg,0.23031699000245912,0.26193328765979584,85.0,95.0
ppg,0.22955649143880563,0.26144334931486285,85.0,95.0
ppg,0.22891006765970015,0.26089216867681325,85.0,95.0
ppg,0.22119100723861726,0.2572176310898159,85.0,95.0
ppg,0.2226359545095589,0.25734011567604914,85.0,95.0
ppg,0.22408090178050052,0.2592386267626644,85.0,95.0
ppg,0.22624832268691294,0.2610758955561631,85.0,95.0
ppg,0.22891006765970015,0.2632806181083615,85.0,95.0
ppg,0.2313436630633913,0.2647504331431605,85.0,95.0
ppg,0.23354910889798644,0.26707764028159214,85.0,95.0
ppg,0.23609677908622562,0.26922112054067393,85.0,95.0
ppg,0.23853037448991682,0.27075217786858946,85.0,95.0
ppg,0.24046964582723318,0.27252820436897157,85.0,95.0
