Category,Value1,Value2,Value3,Value4
ppg,0.0,0.0,92.0,89.0
ppg,0.0026963556989590366,0.0037824979290644258,92.0,89.0
ppg,0.005093116320255942,0.007008746162678176,92.0,89.0
ppg,0.007554075886766184,0.010234994396291964,92.0,89.0
ppg,0.009266047759121153,0.012571243117184713,92.0,89.0
ppg,0.010828222092645038,0.01535249159443798,92.0,89.0
ppg,0.012155000293720127,0.017243740558970176,92.0,89.0
ppg,0.013438979197986329,0.01907936455395733,92.0,89.0
ppg,0.01444476267299484,0.020748113640309283,92.0,89.0
ppg,0.015578944038429993,0.02286186248302175,92.0,89.0
ppg,0.015578944038429993,0.02286186248302175,92.0,89.0
ppg,0.01604973630332762,0.024141236782558265,92.0,89.0
ppg,0.01667032610705629,0.024864361386644107,92.0,89.0
ppg,0.01705551977833613,0.024308111691193464,92.0,89.0
ppg,0.016841523294291783,0.02464186150846383,92.0,89.0
ppg,0.01699132083312283,0.025309361143004624,92.0,89.0
ppg,0.017141118371953878,0.025976860777545418,92.0,89.0
ppg,0.09011391943108353,0.11414243750647368,92.0,89.0
ppg,0.09674781043645898,0.12137368354733216,92.0,89.0
ppg,0.10286810988012793,0.12804867989273996,92.0,89.0
ppg,0.10787562760676611,0.13349992690815632,92.0,89.0
ppg,0.11239095342010229,0.13811679938039675,92.0,89.0
ppg,0.11686347993662961,0.14278929682218222,92.0,89.0
ppg,0.12129320715634803,0.1466274197207917,92.0,89.0
ppg,0.1258085329696842,0.15191179182757292,92.0,89.0
ppg,0.13017406124418932,0.15636178939117812,92.0,89.0
ppg,0.13391899971496576,0.16136803665023397,92.0,89.0
ppg,0.13798493291180877,0.165651159305204,92.0,89.0
ppg,0.14104508263364324,0.16937803226472334,92.0,89.0
ppg,0.14384843657462448,0.17293803031560753,92.0,89.0
ppg,0.1461381989538992,0.1753299040060453,92.0,89.0
ppg,0.1481069666071074,0.17738802787921273,92.0,89.0
ppg,0.14930534691775588,0.1788899020569295,92.0,89.0
ppg,0.15078192265766202,0.18072552605191666,92.0,89.0
ppg,0.15198030296831047,0.1821161502905433,92.0,89.0
ppg,0.15337128011459886,0.18300614980326435,92.0,89.0
ppg,0.15476225726088724,0.18467489888961627,92.0,89.0
ppg,0.15638863053962443,0.1860655231282429,92.0,89.0
ppg,0.15842159713804593,0.18856864675777085,92.0,89.0
ppg,0.16092535600136507,0.19123864529593398,92.0,89.0
ppg,0.16325791767744868,0.19396426880364215,92.0,89.0
ppg,0.16501268884661252,0.1951323931640885,92.0,89.0
ppg,0.16689585790620295,0.19696801715907566,92.0,89.0
ppg,0.16689585790620295,0.19696801715907566,92.0,89.0
ppg,0.16865062907536676,0.19841426636724738,92.0,89.0
ppg,0.2129265016241466,0.25186986210005496,92.0,89.0
ppg,0.21491666892575925,0.25431736076003786,92.0,89.0
ppg,0.21667144009492303,0.2556523600291194,92.0,89.0
ppg,0.21834061267046914,0.2572654841459263,92.0,89.0
ppg,0.21964599122313977,0.25843360850637265,92.0,89.0
ppg,0.22060897540133945,0.2593236080190937,92.0,89.0
ppg,0.2217003574699657,0.25987985771454436,92.0,89.0
ppg,0.22300573602263635,0.26099235710544566,92.0,89.0
ppg,0.22405431879445376,0.26221610643543714,92.0,89.0
ppg,0.22574489101840428,0.2646079801258749,92.0,89.0
ppg,0.22745686289075923,0.26672172896858737,92.0,89.0
ppg,0.22914743511470975,0.26883547781129985,92.0,89.0
ppg,0.2310948031195135,0.271505476349463,92.0,89.0
ppg,0.2323145830785664,0.27256235077081925,92.0,89.0
ppg,0.23321336831155273,0.27367485016172055,92.0,89.0
ppg,0.23372695987325923,0.27456484967444156,92.0,89.0
ppg,0.23404795459932579,0.27361922519217546,92.0,89.0
ppg,0.2349253401839077,0.2741198499180811,92.0,89.0
ppg,0.23571712717487184,0.2751210993698922,92.0,89.0
ppg,0.23700110607913807,0.27662297354760895,92.0,89.0
ppg,0.23822088603819097,0.2773460981516948,92.0,89.0
ppg,0.23989005861373702,0.27901484723804676,92.0,89.0
ppg,0.24117403751800326,0.2804054714766734,92.0,89.0
ppg,0.24275761149993158,0.28224109547166054,92.0,89.0
ppg,0.24419138794302883,0.28307547001483657,92.0,89.0
ppg,0.24534696895686842,0.2846885941316434,92.0,89.0
ppg,0.2465453492675169,0.2862460932789052,92.0,89.0
ppg,0.24740133520369437,0.28652421812663054,92.0,89.0
ppg,0.24740133520369437,0.28652421812663054,92.0,89.0
ppg,0.24791492676540083,0.28685796794390095,92.0,89.0
ppg,0.2483857190302985,0.2863573432179954,92.0,89.0
ppg,0.24937010285690256,0.28785921739571213,92.0,89.0
ppg,0.2506754814095732,0.2890829667257036,92.0,89.0
ppg,0.24937010285690256,0.28813734224343746,90.0,89.0
ppg,0.2503972859803155,0.28919421666479367,90.0,89.0
ppg,0.2513602701585152,0.2900285912079697,90.0,89.0
ppg,0.251938060665435,0.290306716055695,90.0,89.0
ppg,0.2528796451952302,0.2907517158120555,90.0,89.0
ppg,0.25405662585747424,0.29203109011159206,90.0,89.0
ppg,0.2552550061681227,0.2934773393197637,90.0,89.0
ppg,0.25662458366600666,0.2944785887715749,90.0,89.0
ppg,0.25752336889899297,0.2952017133756607,90.0,89.0
ppg,0.25904274393570803,0.2965367126447423,90.0,89.0
ppg,0.2604337210819964,0.2985948365179097,90.0,89.0
ppg,0.26201729506392474,0.2994292110610857,90.0,89.0
ppg,0.2632798743197865,0.30109796014743767,90.0,89.0
ppg,0.264820649004906,0.30293358414242477,90.0,89.0
ppg,0.26638282333842983,0.3034898338378754,90.0,89.0
ppg,0.26803059626557146,0.3049917080155922,90.0,89.0
ppg,0.269378774115051,0.3067160820714892,90.0,89.0
ppg,0.27098374774538375,0.30855170606647636,90.0,89.0
ppg,0.2728455171565698,0.31044295503100855,90.0,89.0
ppg,0.27460028832573363,0.3120004541782704,90.0,89.0
ppg,0.2766332549241551,0.31416982799052795,90.0,89.0
ppg,0.2783666264449145,0.315894202046425,90.0,89.0
ppg,0.2804209926917404,0.31739607622414173,90.0,89.0
ppg,0.28215436421249984,0.31900920034094865,90.0,89.0
ppg,0.28356674100719265,0.32134544906184137,90.0,89.0
ppg,0.2853643114731653,0.3226248233613778,90.0,89.0
ppg,0.287161881939138,0.32440482238681995,90.0,89.0
ppg,0.28904505099872846,0.3264629462599874,90.0,89.0
ppg,0.29144181162002536,0.3194542000973091,90.0,94.0
ppg,0.291912603884923,0.3200104497927598,90.0,94.0
ppg,0.29246899474343835,0.3205666994882104,90.0,94.0
ppg,0.2928113891179094,0.32067794942730055,90.0,94.0
ppg,0.293282181382807,0.3207891993663907,90.0,94.0
ppg,0.29411676767058,0.32106732421411605,90.0,94.0
ppg,0.29484435571633083,0.3222354485745624,90.0,94.0
ppg,0.2961925335658104,0.32301419814819327,90.0,94.0
ppg,0.2972625159860322,0.3237929477218242,90.0,94.0
ppg,0.2984608962966807,0.32496107208227065,90.0,94.0
ppg,0.29989467273977793,0.3269079460163479,90.0,94.0
ppg,0.3011572519956397,0.3280204454072492,90.0,94.0
ppg,0.3023770319546926,0.32835419522451953,90.0,94.0
ppg,0.3031688189456568,0.32896606988951527,89.0,94.0
ppg,0.30419600206906977,0.33013419424996165,89.0,94.0
ppg,0.30492359011482056,0.330412319097687,89.0,94.0
ppg,0.3062289686674912,0.33208106818403893,89.0,94.0
ppg,0.3075343472201619,0.3333048175140304,89.0,94.0
ppg,0.30896812366325915,0.33491794163083727,89.0,94.0
ppg,0.3107656941292319,0.3364754407780991,89.0,94.0
ppg,0.31264886318882235,0.33870043955990164,89.0,94.0
ppg,0.3143394354127728,0.3412035631894296,89.0,94.0
ppg,0.31605140728512776,0.3423160625803309,89.0,94.0
