Category,Value1,Value2,Value3,Value4
ppg,0.34757621492772356,0.3512815273385523,78.0,98.0
ppg,0.34785071351796126,0.3508792965820578,78.0,98.0
ppg,0.347759213987882,0.35108041196030504,78.0,98.0
ppg,0.3473017163374858,0.350275950447316,78.0,98.0
ppg,0.34751521524100404,0.35047706582556326,78.0,98.0
ppg,0.34751521524100404,0.35047706582556326,78.0,98.0
ppg,0.34757621492772356,0.3508792965820578,78.0,98.0
ppg,0.3479727128914003,0.35067818120381056,78.0,98.0
ppg,0.3481862117949186,0.3513485657979681,78.0,98.0
ppg,0.3483692108550771,0.3518178350138784,78.0,98.0
ppg,0.3489487078789123,0.3514826427167996,78.0,98.0
ppg,0.3488267085054733,0.3512144888791366,78.0,98.0
ppg,0.3493452058425891,0.3509463350414736,78.0,98.0
ppg,0.34937570568594883,0.3519519119327099,78.0,98.0
ppg,0.3493452058425891,0.3512144888791366,78.0,98.0
ppg,0.3498332033363451,0.3516837580950468,78.0,98.0
ppg,0.3503822005168206,0.3514826427167996,78.0,98.0
ppg,0.3507786984804974,0.3521530273109572,78.0,98.0
ppg,0.351327695660973,0.3521530273109572,78.0,98.0
ppg,0.35184619299808867,0.35315860420219347,78.0,98.0
ppg,0.352791688142241,0.35342675803985646,78.0,98.0
ppg,0.3528221879856007,0.3533597195804407,78.0,98.0
ppg,0.3529441873590397,0.35376195033693525,78.0,98.0
ppg,0.3536761835996738,0.35376195033693525,78.0,98.0
ppg,0.3541641810934298,0.3541641810934298,78.0,98.0
ppg,0.348125212108199,0.34068945075086315,78.0,98.0
ppg,0.3477897138312418,0.34042129691320017,78.0,98.0
ppg,0.34803371257811977,0.34062241229144746,78.0,98.0
ppg,0.3477897138312418,0.3393486815625481,78.0,98.0
ppg,0.3479727128914003,0.33961683540021115,78.0,98.0
ppg,0.3474847153976443,0.33968387385962684,78.0,98.0
ppg,0.34772871414452233,0.33988498923787414,78.0,98.0
ppg,0.3473017163374858,0.3394827584813796,78.0,98.0
ppg,0.347759213987882,0.33908052772488506,78.0,98.0
ppg,0.3476372146144431,0.33854422004955903,78.0,98.0
ppg,0.3476372146144431,0.33854422004955903,78.0,98.0
ppg,0.3474237157109248,0.33827606621189604,78.0,98.0
ppg,0.3474237157109248,0.33827606621189604,78.0,98.0
ppg,0.3474237157109248,0.33827606621189604,78.0,98.0
ppg,0.3474847153976443,0.3379408739148172,78.0,98.0
ppg,0.34751521524100404,0.33827606621189604,78.0,98.0
ppg,0.3474542155542846,0.337203450861244,78.0,98.0
ppg,0.34727121649412607,0.337203450861244,78.0,98.0
ppg,0.34788121336132105,0.3373375277800754,78.0,98.0
ppg,0.3483387110117173,0.33773975853656996,78.0,98.0
ppg,0.34861320960195513,0.3384771815901433,78.0,98.0
ppg,0.3490707072523514,0.33874533542780627,78.0,98.0
ppg,0.3491622067824306,0.33881237388722213,78.0,98.0
ppg,0.34955870474610734,0.33881237388722213,78.0,98.0
ppg,0.3494672052160281,0.3386782969683905,78.0,98.0
ppg,0.3494977050593879,0.33854422004955903,78.0,98.0
ppg,0.34998570255314393,0.33881237388722213,78.0,98.0
ppg,0.338822759883475,0.32017568216964243,77.0,98.0
ppg,0.3393412572205907,0.32111422060146294,77.0,98.0
ppg,0.3503822005168206,0.3381419892930645,78.0,98.0
ppg,0.3509921973840157,0.33834310467131173,78.0,98.0
ppg,0.3510226972273754,0.3381419892930645,78.0,98.0
ppg,0.33848726160651776,0.31977345141314784,77.0,98.0
ppg,0.33879226004011526,0.3200416052508109,77.0,98.0
ppg,0.33888375957019445,0.3199745667913952,77.0,98.0
ppg,0.33912775831707254,0.31990752833197933,77.0,98.0
ppg,0.33906675863035296,0.31984048987256364,77.0,98.0
ppg,0.3392192578471518,0.32017568216964243,77.0,98.0
ppg,0.3395852559674688,0.32017568216964243,77.0,98.0
ppg,0.33943275675067,0.31963937449431634,77.0,98.0
ppg,0.3395242562807492,0.3204438360073054,77.0,98.0
ppg,0.339676755497548,0.31970641295373203,77.0,98.0
ppg,0.3398292547143468,0.3205108744667211,77.0,98.0
ppg,0.34007325346122474,0.31990752833197933,77.0,98.0
ppg,0.34007325346122474,0.31990752833197933,77.0,98.0
ppg,0.34059175079834053,0.3204438360073054,77.0,98.0
ppg,0.3405612509549808,0.32071198984496835,77.0,98.0
ppg,0.3412322475088953,0.32071198984496835,77.0,98.0
ppg,0.34153724594249285,0.3208460667637999,77.0,98.0
ppg,0.3415982456292123,0.32071198984496835,77.0,98.0
ppg,0.3421777426530476,0.32071198984496835,77.0,98.0
ppg,0.3427877395202426,0.32178460519562047,77.0,98.0
ppg,0.34327573701399866,0.32211979749269926,77.0,98.0
ppg,0.34388573388119364,0.3217175667362047,77.0,98.0
ppg,0.3439162337245534,0.3229242590056883,77.0,98.0
ppg,0.34388573388119364,0.32211979749269926,77.0,98.0
ppg,0.3446787298085472,0.3225220282491938,77.0,98.0
ppg,0.34477022933862644,0.3229242590056883,77.0,98.0
ppg,0.3455327254226202,0.32258906670860954,77.0,98.0
ppg,0.3457462243261385,0.3229912974651041,77.0,98.0
ppg,0.3463257213499737,0.3231253743839356,77.0,98.0
ppg,0.3282698140810011,0.2979859521030277,76.0,98.0
ppg,0.3287578115747571,0.29805299056244344,76.0,98.0
ppg,0.32863581220131816,0.2986563366971853,76.0,98.0
ppg,0.32866631204467783,0.29778483672478046,76.0,98.0
ppg,0.32881881126147666,0.29765075980594896,76.0,98.0
ppg,0.3290628100083546,0.2973826059682859,76.0,98.0
ppg,0.3290933098517144,0.29758372134653316,76.0,98.0
ppg,0.32945930797203143,0.29758372134653316,76.0,98.0
ppg,0.3299168056224277,0.29751668288711747,76.0,98.0
ppg,0.3308623007665799,0.2985222597783538,76.0,98.0
ppg,0.3310147999833787,0.298455221318938,76.0,98.0
ppg,0.3310147999833787,0.298455221318938,76.0,98.0
ppg,0.3310147999833787,0.298455221318938,76.0,98.0
ppg,0.3310147999833787,0.298455221318938,76.0,98.0
ppg,0.3310147999833787,0.298455221318938,76.0,98.0
ppg,0.3310147999833787,0.298455221318938,76.0,98.0
ppg,0.33131979841697623,0.29892449053484826,76.0,98.0
ppg,0.3318687955974517,0.2994607982101743,76.0,98.0
ppg,0.33244829262128706,0.2999971058855003,76.0,98.0
ppg,0.3330582894884821,0.30019822126374757,76.0,98.0
ppg,0.3335157871388783,0.3010697212361524,76.0,98.0
ppg,0.33375978588575633,0.30026525972316337,76.0,98.0
ppg,0.33409528416271356,0.30100268277673664,76.0,98.0
ppg,0.33476628071662806,0.30100268277673664,76.0,98.0
ppg,0.33479678055998785,0.3016060289114784,76.0,98.0
ppg,0.3352542782103841,0.3014049135332312,76.0,98.0
ppg,0.33574227570414006,0.3011367596955682,76.0,98.0
ppg,0.32128534995161806,0.28270118335623573,76.0,97.0
ppg,0.3220783458789716,0.283170452572146,76.0,97.0
ppg,0.32250534368600814,0.28357268332864055,76.0,97.0
ppg,0.32284084196296536,0.28457826021987687,76.0,97.0
ppg,0.32363383789031896,0.2851145678952029,76.0,97.0
ppg,0.3241523352274347,0.2851145678952029,76.0,97.0
ppg,0.3241523352274347,0.2853827217328659,76.0,97.0
ppg,0.325097830371587,0.2861201447864392,76.0,97.0
ppg,0.3260433255157393,0.287259798596507,76.0,97.0
ppg,0.32643982347941597,0.2868575678400125,76.0,97.0
ppg,0.32738531862356834,0.28813129856891184,76.0,97.0
ppg,0.3277208169005256,0.2873938755153385,76.0,97.0
ppg,0.32756831768372685,0.28813129856891184,76.0,97.0
ppg,0.32814781470756205,0.28839945240657483,76.0,97.0
ppg,0.32860531235795837,0.28813129856891184,76.0,97.0
ppg,0.3286968118880376,0.2879972216500803,76.0,97.0
ppg,0.3280868150208426,0.2880642601094961,76.0,97.0
ppg,0.3280868150208426,0.2880642601094961,76.0,97.0
ppg,0.32756831768372685,0.28779610627183305,76.0,97.0
ppg,0.32637882379269656,0.28665645246176524,76.0,97.0
ppg,0.32460983287783096,0.2853156832734502,76.0,97.0
ppg,0.32253584352936787,0.2835056448692248,76.0,97.0
ppg,0.3200043565305085,0.2816956064649994,76.0,97.0
ppg,0.31771686827852724,0.27975149114194253,76.0,97.0
ppg,0.31545987986990565,0.27700291430589663,76.0,97.0
ppg,0.31314189177456453,0.27539399127991854,76.0,97.0
ppg,0.31128140132961973,0.2731146836597829,76.0,97.0
ppg,0.3095124104147542,0.2715727990932205,76.0,97.0
ppg,0.3241523352274347,0.2835056448692248,76.0,97.0
ppg,0.3239083364805566,0.2842430679227981,76.0,97.0
ppg,0.30612692780182177,0.26822087612243284,76.0,97.0
ppg,0.30499843359751105,0.2674834530688595,76.0,97.0
ppg,0.304754434850633,0.2664778761776232,76.0,97.0
ppg,0.31783886765196623,0.2794162988448638,76.0,97.0
ppg,0.31567337877342394,0.27774033735946996,76.0,97.0
ppg,0.31332489083472304,0.27626549125232336,76.0,97.0
ppg,0.3109154032093027,0.2736509913351089,76.0,97.0
ppg,0.3079569184034069,0.27170687601205207,76.0,97.0
ppg,0.3058829290549438,0.2692934914730849,76.0,97.0
ppg,0.30371744017640145,0.26755049152827526,76.0,97.0
ppg,0.30200944894825543,0.26540526082697113,76.0,97.0
ppg,0.30066745584042637,0.26393041471982454,76.0,97.0
ppg,0.2996609610095546,0.26332706858508276,76.0,97.0
ppg,0.2987764655521218,0.2627907609097567,76.0,97.0
ppg,0.2978309704079695,0.2616511070996889,76.0,97.0
ppg,0.2977089710345305,0.2615840686402731,76.0,97.0
ppg,0.2977089710345305,0.2615840686402731,76.0,97.0
ppg,0.297525971974372,0.2611147994243629,76.0,97.0
ppg,0.297525971974372,0.2611147994243629,76.0,97.0
ppg,0.297525971974372,0.2611147994243629,76.0,97.0
ppg,0.2975869716610915,0.2615840686402731,76.0,97.0
ppg,0.297891970094689,0.26198629939676765,76.0,97.0
ppg,0.298135968841567,0.26205333785618345,76.0,97.0
ppg,0.29834946774508525,0.26118183788377863,76.0,97.0
ppg,0.298623966335323,0.2623885301532622,76.0,97.0
ppg,0.2992034633591583,0.26212037631559915,76.0,97.0
ppg,0.30002695912987154,0.26332706858508276,76.0,97.0
ppg,0.30078945521386535,0.263260030125667,76.0,97.0
ppg,0.30164345082793836,0.2639974531792403,77.0,97.0
ppg,0.3021314483216944,0.2650030300704766,77.0,97.0
ppg,0.3028024448756089,0.2660086069617129,77.0,97.0
ppg,0.31732037031485044,0.2983211444001065,77.0,97.0
ppg,0.31799136686876495,0.2983211444001065,77.0,97.0
ppg,0.3191198610730758,0.29986302896666883,77.0,97.0
ppg,0.319699358096911,0.3001311828043319,77.0,97.0
ppg,0.32043135433754505,0.30086860585790515,77.0,97.0
ppg,0.32177334744537417,0.3016060289114784,77.0,97.0
ppg,0.3222003452524107,0.3022093750462202,77.0,97.0
ppg,0.3231153405532032,0.3019412212085572,77.0,97.0
ppg,0.32430483444423347,0.3034160673157038,77.0,97.0
ppg,0.3258603264555808,0.3040194134504456,77.0,97.0
ppg,0.32677532175637325,0.30468979804460317,77.0,97.0
ppg,0.3282088143942816,0.30616464415174977,77.0,97.0
ppg,0.32860531235795837,0.306365759529997,77.0,97.0
ppg,0.3289408106349156,0.30656687490824425,77.0,97.0
ppg,0.32958130734547036,0.30643279798941275,77.0,97.0
ppg,0.33034380342946423,0.30703614412415453,77.0,97.0
ppg,0.3311367993568177,0.30804172101539085,77.0,97.0
ppg,0.33180779591073223,0.3087791440689642,77.0,97.0
ppg,0.33180779591073223,0.3087791440689642,77.0,97.0
ppg,0.3322652935611285,0.3091143363660429,77.0,97.0
ppg,0.3323872929345675,0.3088461825283799,77.0,97.0
ppg,0.33272279121152476,0.310186951716695,77.0,97.0
ppg,0.3325397921513663,0.3091813748254587,77.0,97.0
ppg,0.33202129481425047,0.3091143363660429,77.0,97.0
ppg,0.3319297952841712,0.3079746825559751,77.0,97.0
ppg,0.3321432941876895,0.30770652871831206,77.0,97.0
ppg,0.33180779591073223,0.3078406056371436,77.0,97.0
ppg,0.33183829575409196,0.3069691056647388,77.0,97.0
ppg,0.3188758623261978,0.2942317983757455,83.0,97.0
ppg,0.2888335166168429,0.2628577993691725,83.0,97.0
ppg,0.2888335166168429,0.2627907609097567,83.0,97.0
ppg,0.2888030167734832,0.2627907609097567,83.0,97.0
ppg,0.2887725169301234,0.2627907609097567,83.0,97.0
ppg,0.28852851818324543,0.26258964553150943,83.0,97.0
