Category,Value1,Value2,Value3,Value4
ppg,0.34602755862855394,0.3494877750088166,65.0,85.0
ppg,0.34704463643666333,0.35043613708192,65.0,85.0
ppg,0.3481354155352156,0.3518096269808973,65.0,85.0
ppg,0.3487250258587573,0.3521693505258675,65.0,85.0
ppg,0.3492556751499449,0.35275798905400063,65.0,85.0
ppg,0.3498747659896637,0.3528560954753562,65.0,85.0
ppg,0.3501106101190804,0.3531177125989709,65.0,85.0
ppg,0.35053807760364813,0.3537063511271041,65.0,85.0
ppg,0.35102450612057007,0.3540333725316224,65.0,85.0
ppg,0.3511129476691014,0.3541641810934298,65.0,85.0
ppg,0.3511129476691014,0.3541641810934298,65.0,85.0
ppg,0.3512898307661638,0.3538371596889114,65.0,85.0
ppg,0.3512898307661638,0.3538371596889114,65.0,85.0
ppg,0.3512898307661638,0.3538371596889114,65.0,85.0
ppg,0.35105398663674714,0.35393526611026693,65.0,85.0
ppg,0.35112768792718985,0.35396796825071875,65.0,85.0
ppg,0.35106872689483565,0.353313925441682,65.0,85.0
ppg,0.3507591814749763,0.35252907407083783,65.0,85.0
ppg,0.35072970095879924,0.3527252869135488,65.0,85.0
ppg,0.350508597087471,0.35197313768315647,65.0,85.0
ppg,0.35046437631320543,0.35167881841908993,65.0,85.0
ppg,0.35039067502276267,0.3517442226999936,65.0,85.0
ppg,0.3506265191521794,0.3518096269808973,65.0,85.0
ppg,0.35072970095879924,0.35200583982360834,65.0,85.0
ppg,0.35099502560439294,0.35210394624496383,65.0,85.0
ppg,0.35106872689483565,0.35249637193038585,65.0,85.0
ppg,0.3513045710242524,0.35256177621128965,65.0,85.0
ppg,0.35148145412131493,0.352692584773097,65.0,85.0
ppg,0.3516141164441118,0.35252907407083783,65.0,85.0
ppg,0.351864700831617,0.35256177621128965,65.0,85.0
ppg,0.352026843670591,0.3526271804921933,65.0,85.0
ppg,0.3521742462514765,0.35249637193038585,65.0,85.0
ppg,0.35252801244560145,0.3530196061776154,65.0,85.0
ppg,0.34134015655639716,0.3377804087270578,68.0,85.0
ppg,0.3417234032666992,0.3382709408338354,68.0,85.0
ppg,0.34240145513877224,0.3391538986260351,68.0,85.0
ppg,0.34312372778511085,0.3396444307328127,68.0,85.0
ppg,0.3435806757858557,0.34062549494636796,68.0,85.0
ppg,0.34408184456086616,0.34101792063179,68.0,85.0
ppg,0.3444945717873453,0.34131223989585663,68.0,85.0
ppg,0.3449220392719131,0.34209709126670074,68.0,85.0
ppg,0.34526106520794964,0.3425876233734783,68.0,85.0
ppg,0.34570327295060593,0.3428819426375449,68.0,85.0
ppg,0.3460128183704653,0.3429473469184486,68.0,85.0
ppg,0.3460128183704653,0.3429473469184486,68.0,85.0
ppg,0.3463960650807675,0.3434705811656781,68.0,85.0
ppg,0.3468972338557779,0.3436340918679372,68.0,85.0
ppg,0.34726574030799157,0.3439284111320038,68.0,85.0
ppg,0.3475163246954968,0.34441894323878136,68.0,85.0
ppg,0.3479143116638874,0.34474596464329976,68.0,85.0
ppg,0.34825333759992394,0.3451383903287219,68.0,85.0
ppg,0.34859236353596046,0.34530190103098113,68.0,85.0
ppg,0.34890190895581985,0.34566162457595134,68.0,85.0
ppg,0.3494620387631845,0.3462829652445363,68.0,85.0
ppg,0.3500369088286377,0.3468389016322176,68.0,85.0
ppg,0.350154830893346,0.34706781661538044,68.0,85.0
ppg,0.35043489579702836,0.34736213587944703,68.0,85.0
ppg,0.3509213243139503,0.34781996584577285,68.0,85.0
ppg,0.3513193112823409,0.34827779581209856,68.0,85.0
ppg,0.35158463592793465,0.3484413065143578,68.0,85.0
ppg,0.3521300254772108,0.3489645407615872,68.0,85.0
ppg,0.3458654157895799,0.3405927928059161,70.0,85.0
