Category,Value1,Value2,Value3,Value4
ppg,0.35112972666545667,0.3541641810934298,82.0,94.0
ppg,0.3494886441686958,0.3525383653737701,82.0,94.0
ppg,0.3472592490787563,0.3506928448271295,82.0,94.0
ppg,0.3446273243198001,0.34814426883414934,82.0,94.0
ppg,0.3415619060711334,0.34651845311448976,82.0,94.0
ppg,0.3382797410776115,0.344453227740868,82.0,94.0
ppg,0.3363290203739146,0.34317893974437796,82.0,94.0
ppg,0.3347189016978471,0.34221223850566146,82.0,94.0
ppg,0.33493564844270235,0.3417288878863032,82.0,94.0
ppg,0.3353072142910256,0.3425637662288311,82.0,94.0
ppg,0.3362980565532209,0.34282741202120837,82.0,94.0
ppg,0.3375056455602714,0.3437062313291325,82.0,94.0
ppg,0.33942540244327485,0.344453227740868,82.0,94.0
ppg,0.34081877437448693,0.3457714567027542,82.0,94.0
ppg,0.3421502186643119,0.34629874828750873,82.0,94.0
ppg,0.34326491620928157,0.3473533314570177,82.0,94.0
ppg,0.3441319031887025,0.3481003278687532,82.0,94.0
ppg,0.3450298539888169,0.3488912652458849,82.0,94.0
ppg,0.3457420218647698,0.34902308814207356,82.0,94.0
ppg,0.34623744299586745,0.3497700845538091,82.0,94.0
ppg,0.34732117672014357,0.3506928448271295,82.0,94.0
ppg,0.3475379234649988,0.35091254965411045,82.0,94.0
ppg,0.34865262100996847,0.3515277231696574,82.0,94.0
ppg,0.3493647888859214,0.35227471958139295,82.0,94.0
ppg,0.3497363547342446,0.35271412923535495,82.0,94.0
ppg,0.35041755878950387,0.3531974798547132,82.0,94.0
ppg,0.35041755878950387,0.3531974798547132,82.0,94.0
ppg,0.3506652693550526,0.35390053530105253,82.0,94.0
ppg,0.34264563979540946,0.3449365783602263,76.0,94.0
ppg,0.3439770840852345,0.3463426892529049,76.0,94.0
ppg,0.3446582881404937,0.3463426892529049,76.0,94.0
ppg,0.3457729856854634,0.3468699808376594,76.0,94.0
ppg,0.34623744299586745,0.3473533314570177,76.0,94.0
ppg,0.34735214054083713,0.34801244593796077,76.0,94.0
ppg,0.34781659785124114,0.34893520621128116,76.0,94.0
ppg,0.34871454865135565,0.349110970072866,76.0,94.0
ppg,0.34942671652730856,0.349550379726828,76.0,94.0
ppg,0.34986021001701906,0.35034131710395977,76.0,94.0
ppg,0.35057237789297185,0.350604962896337,76.0,94.0
ppg,0.35082008845852064,0.35100043158490285,76.0,94.0
ppg,0.35143936487239275,0.3515277231696574,76.0,94.0
ppg,0.35212056892765203,0.3518353099274308,76.0,94.0
ppg,0.35212056892765203,0.35205501475441187,76.0,94.0
ppg,0.35224442421042645,0.3524944244083739,76.0,94.0
ppg,0.3523992433138945,0.35240654247758146,76.0,94.0
ppg,0.3524611709552817,0.3525383653737701,76.0,94.0
ppg,0.3530804473691536,0.3525823063391663,76.0,94.0
ppg,0.3532043026519281,0.3526701882699587,76.0,94.0
ppg,0.35326623029331533,0.3525383653737701,76.0,94.0
ppg,0.35314237501054085,0.3530656569585246,76.0,94.0
ppg,0.3526159900587497,0.3525383653737701,76.0,94.0
ppg,0.3528637006242985,0.3521868376506005,76.0,94.0
ppg,0.3529565920863793,0.35227471958139295,76.0,94.0
ppg,0.3530494835484601,0.3521428966852042,76.0,94.0
ppg,0.3528637006242985,0.3517913689620346,76.0,94.0
ppg,0.3530185197277665,0.3523626015121853,76.0,94.0
ppg,0.3530185197277665,0.3523626015121853,76.0,94.0
ppg,0.35317333883123453,0.351879250892827,76.0,94.0
ppg,0.35277080916221765,0.35240654247758146,76.0,94.0
ppg,0.35277080916221765,0.35240654247758146,76.0,94.0
ppg,0.35314237501054085,0.3521428966852042,76.0,94.0
ppg,0.34920996978245333,0.3473533314570177,76.0,93.0
ppg,0.3496124994514702,0.3476609182147911,76.0,93.0
ppg,0.35032466732742307,0.3478366820763759,76.0,93.0
ppg,0.3506343055343591,0.3482321507649418,76.0,93.0
ppg,0.3507891246378271,0.34814426883414934,76.0,93.0
ppg,0.3506652693550526,0.3484079146265266,76.0,93.0
ppg,0.3508820160999079,0.34862761945350773,76.0,93.0
ppg,0.35112972666545667,0.3488912652458849,76.0,93.0
ppg,0.3513774372310055,0.34902308814207356,76.0,93.0
ppg,0.3512845457689247,0.3482760917303381,76.0,93.0
ppg,0.35150129251378,0.3483639736611305,76.0,93.0
ppg,0.3513774372310055,0.3484079146265266,76.0,93.0
ppg,0.35150129251378,0.34862761945350773,76.0,93.0
ppg,0.3512535819482311,0.3488473242804887,76.0,93.0
ppg,0.3512535819482311,0.34849579655731905,76.0,93.0
ppg,0.35153225633447355,0.34867156041890385,76.0,93.0
ppg,0.3516870754379416,0.3488473242804887,76.0,93.0
ppg,0.3520896051069584,0.3488033833150925,76.0,93.0
ppg,0.35267791770013684,0.34950643876143184,76.0,93.0
ppg,0.3523063518518137,0.3488912652458849,76.0,93.0
ppg,0.3523063518518137,0.34893520621128116,76.0,93.0
ppg,0.3526469538794432,0.34902308814207356,76.0,93.0
ppg,0.35283273680360483,0.349330674899847,76.0,93.0
ppg,0.35270888152083046,0.3492427929690545,76.0,93.0
ppg,0.3530804473691536,0.34990190744999766,76.0,93.0
ppg,0.3535449046795577,0.34950643876143184,76.0,93.0
ppg,0.35323526647262166,0.34937461586524327,76.0,93.0
ppg,0.35339008557608964,0.3497700845538091,76.0,93.0
ppg,0.35339008557608964,0.3497700845538091,76.0,93.0
ppg,0.3494886441686958,0.3443653458100756,77.0,93.0
ppg,0.3497363547342446,0.3443214048446794,77.0,93.0
ppg,0.349705390913551,0.344453227740868,77.0,93.0
ppg,0.350015029120487,0.34462899160245286,77.0,93.0
ppg,0.35032466732742307,0.34454110967166046,77.0,93.0
ppg,0.350015029120487,0.34476081449864143,77.0,93.0
ppg,0.350169848223955,0.3445850506370566,77.0,93.0
ppg,0.3506343055343591,0.3449365783602263,77.0,93.0
ppg,0.3507891246378271,0.3450684012564149,77.0,93.0
ppg,0.3511916543068439,0.3453320470487921,77.0,93.0
ppg,0.3511916543068439,0.3456396338065656,77.0,93.0
ppg,0.3514084010516991,0.3453759880141884,77.0,93.0
ppg,0.3512226181275375,0.3455956928411694,77.0,93.0
ppg,0.3516870754379416,0.3456835747719618,77.0,93.0
ppg,0.351810930720716,0.3455517518757732,77.0,93.0
ppg,0.3520586412862648,0.3459032795989428,77.0,93.0
ppg,0.3523682794932008,0.34660633504528215,77.0,93.0
ppg,0.3524921347759753,0.34643057118369736,77.0,93.0
ppg,0.3524611709552817,0.34651845311448976,77.0,93.0
ppg,0.3525230985966688,0.3464745121490935,77.0,93.0
ppg,0.3528637006242985,0.3463866302183012,77.0,93.0
ppg,0.352739845341524,0.34656239407988587,77.0,93.0
ppg,0.3529565920863793,0.3469139218030556,77.0,93.0
ppg,0.3533591217553961,0.3470896856646404,77.0,93.0
ppg,0.35373068760371934,0.34757303628399866,77.0,93.0
ppg,0.35373068760371934,0.3469139218030556,77.0,93.0
ppg,0.35391647052788094,0.3473972724224138,77.0,93.0
ppg,0.35391647052788094,0.3473972724224138,77.0,93.0
ppg,0.34927189742384057,0.340850068578379,77.0,93.0
ppg,0.34976731855493826,0.3410258324399638,77.0,93.0
ppg,0.34976731855493826,0.3415531240247183,77.0,93.0
ppg,0.3541641810934298,0.3472654495262253,77.0,93.0
ppg,0.35391647052788094,0.34704574469924426,77.0,93.0
ppg,0.35047948643089105,0.3418167698170956,79.0,93.0
ppg,0.3506033417136654,0.3416410059555107,79.0,93.0
ppg,0.3507891246378271,0.3420364746440766,79.0,93.0
ppg,0.3507581608171334,0.3418167698170956,79.0,93.0
ppg,0.3507891246378271,0.34208041560947283,79.0,93.0
ppg,0.3508510522792142,0.34208041560947283,79.0,93.0
ppg,0.3511606904861503,0.3425198252634349,79.0,93.0
ppg,0.35143936487239275,0.3429152939520007,79.0,93.0
ppg,0.35153225633447355,0.3431349987789818,79.0,93.0
ppg,0.351810930720716,0.34282741202120837,79.0,93.0
ppg,0.3519038221827968,0.3430031758827931,79.0,93.0
ppg,0.35193478600349043,0.3426516481596235,79.0,93.0
ppg,0.351810930720716,0.34269558912501974,79.0,93.0
ppg,0.3515941839758608,0.3426077071942273,79.0,93.0
ppg,0.35174900307932877,0.3430031758827931,79.0,93.0
ppg,0.35174900307932877,0.34238800236724626,79.0,93.0
ppg,0.3514703286930863,0.3425637662288311,79.0,93.0
ppg,0.3510677990240695,0.34216829754026523,79.0,93.0
ppg,0.35023177586534227,0.34115765533615244,79.0,93.0
ppg,0.34852876572719405,0.339136370927927,79.0,93.0
ppg,0.3458658771475442,0.3372029684504938,79.0,93.0
ppg,0.34323395238858795,0.3350498611460797,79.0,93.0
ppg,0.3389919089535644,0.3327649309454768,79.0,93.0
ppg,0.3357097439600425,0.33043605977947793,79.0,93.0
ppg,0.3320869769388909,0.3285026573020448,79.0,93.0
ppg,0.3301052924145003,0.3269647235131775,79.0,93.0
ppg,0.3285261375591266,0.3257783174474799,79.0,93.0
ppg,0.3281545717108034,0.3259540813090647,79.0,93.0
ppg,0.3532043026519281,0.34247588429803866,79.0,93.0
ppg,0.3532043026519281,0.34247588429803866,79.0,93.0
ppg,0.35339008557608964,0.34230012043645386,79.0,93.0
ppg,0.35363779614163854,0.34282741202120837,79.0,93.0
ppg,0.35314237501054085,0.34278347105581214,79.0,93.0
ppg,0.35227538803112,0.3415970649901145,79.0,93.0
ppg,0.35032466732742307,0.3399712492704549,79.0,93.0
ppg,0.34790948931332194,0.33803784679302173,79.0,93.0
ppg,0.3443796137542513,0.33592868045400376,79.0,93.0
ppg,0.3405091361675509,0.33342404542642,79.0,93.0
ppg,0.3369792606084802,0.3314467019835906,79.0,93.0
ppg,0.33394480618050715,0.32955724047155377,79.0,93.0
ppg,0.33183926637334205,0.3279753657172903,79.0,93.0
ppg,0.33032203915935554,0.32674501868619654,79.0,93.0
ppg,0.3304149306214364,0.326832900616989,79.0,93.0
ppg,0.33056974972490444,0.32639349096302683,79.0,93.0
ppg,0.3316225196284868,0.3268768415823851,79.0,93.0
ppg,0.33323263830455424,0.3279314247518941,79.0,93.0
ppg,0.3349046846220088,0.3290738898521955,79.0,93.0
ppg,0.3366696224015442,0.32964512240234617,79.0,93.0
ppg,0.3381868496155307,0.33087546943344,79.0,93.0
ppg,0.3395492577260492,0.33188611163755277,79.0,93.0
ppg,0.34072588291240613,0.3324134032223073,79.0,93.0
ppg,0.34187154427806943,0.33289675384166556,79.0,93.0
ppg,0.3426146759747159,0.33355586832260864,79.0,93.0
ppg,0.34323395238858795,0.3337755731495896,79.0,93.0
ppg,0.3435745544162176,0.33443468763053275,79.0,93.0
ppg,0.34453443285771934,0.33469833342291,79.0,93.0
ppg,0.3236648177102309,0.32090087028850095,79.0,93.0
ppg,0.3236648177102309,0.32090087028850095,79.0,93.0
ppg,0.3236648177102309,0.32090087028850095,79.0,93.0
ppg,0.3236648177102309,0.32090087028850095,79.0,93.0
ppg,0.3236648177102309,0.32090087028850095,79.0,93.0
ppg,0.32484144289658784,0.32046146063453884,79.0,93.0
ppg,0.32570842987600873,0.3213842209078592,79.0,93.0
ppg,0.3272256570899953,0.3221312173195947,79.0,93.0
ppg,0.3293311968971603,0.3233615643506885,79.0,93.0
ppg,0.3315605919870997,0.32472373427797097,79.0,93.0
ppg,0.3333255297666351,0.3259540813090647,79.0,93.0
ppg,0.3352143228289448,0.3268768415823851,79.0,93.0
ppg,0.3364219118359954,0.32779960185570545,79.0,93.0
ppg,0.3379391390499819,0.32885418502521446,79.0,93.0
ppg,0.339332510981194,0.3297330043331386,79.0,93.0
ppg,0.339796968291598,0.33004059109091205,79.0,93.0
ppg,0.34103552111934216,0.33052394171027033,79.0,93.0
ppg,0.34218118248500545,0.33113911522581724,79.0,93.0
ppg,0.34264563979540946,0.33214975742993,79.0,93.0
ppg,0.3433268438506688,0.3327209899800807,79.0,93.0
ppg,0.34394612026454086,0.33289675384166556,79.0,93.0
ppg,0.34441057757494487,0.3331603996340428,79.0,93.0
ppg,0.3447202157818809,0.33355586832260864,79.0,93.0
ppg,0.34555623894060816,0.33403921894196686,79.0,93.0
ppg,0.3458658771475442,0.33443468763053275,79.0,93.0
ppg,0.34611358771309303,0.33461045149211754,79.0,93.0
ppg,0.34617551535448027,0.3343468056997403,79.0,93.0
ppg,0.3335422765114903,0.32366915110846206,82.0,93.0
ppg,0.3345331187736855,0.32406461979702783,82.0,93.0
ppg,0.34636129827864187,0.33452256956132514,79.0,93.0
