Category,Value1,Value2,Value3,Value4
ppg,0.9986339419880698,0.9989285714285714,106.0,96.0
ppg,0.9993625062610992,0.9986904761904762,106.0,96.0
ppg,0.9996357178634853,0.9988095238095238,106.0,96.0
ppg,0.9996357178634853,0.9988095238095238,106.0,96.0
ppg,1.0,1.0,106.0,96.0
ppg,0.9993169709940348,0.9977380952380952,106.0,96.0
ppg,0.9988160830563271,0.9978571428571429,106.0,96.0
ppg,0.9972223487090752,0.9966666666666667,106.0,96.0
ppg,0.9929875688720914,0.9909523809523809,106.0,96.0
ppg,0.9857474614088612,0.9830952380952381,106.0,96.0
ppg,0.9762305905924138,0.9738095238095238,106.0,96.0
ppg,0.9664860434406448,0.9653571428571428,106.0,96.0
ppg,0.9591093301762215,0.955952380952381,106.0,96.0
ppg,0.9556486498793315,0.9528571428571428,106.0,96.0
ppg,0.9551477619416238,0.9520238095238095,106.0,96.0
ppg,0.9573334547607122,0.9542857142857143,106.0,96.0
ppg,0.9593370065115432,0.955952380952381,106.0,96.0
ppg,0.9627066162743044,0.9601190476190476,106.0,96.0
ppg,0.9657119439005509,0.9620238095238095,106.0,96.0
ppg,0.9682619188561541,0.9641666666666666,106.0,96.0
ppg,0.9700833295387278,0.965952380952381,106.0,96.0
ppg,0.9725422339602022,0.9526190476190476,115.0,96.0
ppg,0.9753654205181913,0.9547619047619048,115.0,96.0
ppg,0.9781430718091162,0.9580952380952381,115.0,96.0
ppg,0.9807385820317837,0.9608333333333333,115.0,96.0
ppg,0.9818314284413278,0.9625,115.0,96.0
ppg,0.9835162333227084,0.9636904761904762,115.0,96.0
ppg,0.9852465734711534,0.9651190476190477,115.0,96.0
ppg,0.9866126314830836,0.9671428571428572,115.0,96.0
ppg,0.9873867310231774,0.968452380952381,115.0,96.0
ppg,0.9879786894950139,0.968452380952381,115.0,96.0
ppg,0.9885251126997859,0.97,115.0,96.0
ppg,0.9887983243021721,0.9689285714285715,115.0,96.0
ppg,0.9887072537680434,0.97,115.0,96.0
ppg,0.9888438595692364,0.97,115.0,96.0
ppg,0.9890715359045581,0.9695238095238096,115.0,96.0
ppg,0.9891626064386868,0.969047619047619,115.0,96.0
ppg,0.9893447475069441,0.969047619047619,115.0,96.0
ppg,0.9899822412458449,0.9707142857142858,115.0,96.0
ppg,0.9908018760530031,0.9708333333333333,115.0,96.0
ppg,0.9908018760530031,0.9708333333333333,115.0,96.0
ppg,0.9913938345248395,0.9717857142857143,115.0,96.0
ppg,0.9914393697919038,0.9720238095238095,115.0,96.0
ppg,0.9913938345248395,0.9713095238095238,115.0,96.0
ppg,0.9926232867355766,0.971547619047619,115.0,96.0
ppg,0.9929875688720914,0.9720238095238095,115.0,96.0
ppg,0.9935795273439278,0.9729761904761904,115.0,96.0
ppg,0.993989344747507,0.9748809523809524,115.0,96.0
ppg,0.9941714858157643,0.975,115.0,96.0
ppg,0.9958107554300806,0.9663095238095238,116.0,96.0
ppg,0.9951732616911798,0.9657142857142857,116.0,96.0
