Category,Value1,Value2,Value3,Value4
ppg,0.03988283010365029,0.0007524454477050414,88.0,93.0
ppg,0.0,0.028969149736644093,88.0,93.0
ppg,0.036953582694907616,0.0,88.0,93.0
ppg,0.7174402884182064,0.6621519939804364,85.0,90.0
ppg,0.717214961694457,0.6629044394281415,85.0,90.0
ppg,0.7160883280757098,0.6613995485327314,85.0,90.0
ppg,0.7185669220369536,0.663280662151994,85.0,90.0
ppg,0.7196935556557008,0.6674191121143717,85.0,90.0
ppg,0.7221721496169445,0.6700526711813394,85.0,90.0
ppg,0.7242000901306895,0.6704288939051919,85.0,90.0
ppg,0.7239747634069401,0.672686230248307,85.0,90.0
ppg,0.7278053177106805,0.6756960120391272,85.0,90.0
ppg,0.7271293375394322,0.6760722347629797,85.0,90.0
ppg,0.7271293375394322,0.6760722347629797,85.0,90.0
ppg,0.7242000901306895,0.6704288939051919,85.0,90.0
ppg,0.7251013970256872,0.6693002257336343,85.0,90.0
ppg,0.7246507435781884,0.6704288939051919,85.0,90.0
ppg,0.726002703920685,0.6730624529721595,85.0,90.0
ppg,0.7266786840919333,0.6768246802106848,85.0,90.0
ppg,0.7296079315006759,0.6753197893152746,85.0,90.0
ppg,0.7300585849481749,0.6787057938299473,85.0,90.0
ppg,0.7318611987381703,0.6798344620015049,85.0,90.0
ppg,0.7370437133844074,0.6824680210684725,85.0,90.0
ppg,0.7372690401081569,0.6854778028592927,85.0,90.0
ppg,0.7381703470031545,0.6884875846501128,85.0,90.0
ppg,0.7386210004506535,0.6884875846501128,85.0,90.0
ppg,0.7392969806219017,0.690744920993228,85.0,90.0
ppg,0.7406489409643984,0.6899924755455229,85.0,90.0
ppg,0.7392969806219017,0.6903686982693755,85.0,90.0
ppg,0.7408742676881478,0.6926260346124906,85.0,90.0
ppg,0.7433528616493916,0.6967644845748683,85.0,90.0
ppg,0.7365930599369085,0.698645598194131,86.0,91.0
ppg,0.7352410995944119,0.7024078254326561,86.0,91.0
ppg,0.7343397926994142,0.698645598194131,86.0,91.0
ppg,0.7336638125281658,0.6948833709556057,86.0,91.0
ppg,0.7354664263181613,0.6967644845748683,86.0,91.0
ppg,0.7368183866606579,0.6963882618510158,86.0,91.0
ppg,0.7379450202794051,0.6975169300225733,86.0,91.0
ppg,0.7381703470031545,0.7005267118133935,86.0,91.0
ppg,0.7413249211356467,0.7035364936042137,86.0,91.0
ppg,0.7429022082018928,0.7027840481565086,86.0,91.0
ppg,0.7415502478593962,0.7046651617757712,86.0,91.0
ppg,0.7415502478593962,0.7046651617757712,86.0,91.0
ppg,0.7440288418206399,0.7057938299473289,86.0,91.0
ppg,0.7440288418206399,0.7057938299473289,86.0,91.0
ppg,0.7440288418206399,0.7057938299473289,86.0,91.0
ppg,0.7417755745831456,0.699398043641836,86.0,91.0
ppg,0.7399729607931501,0.6990218209179835,86.0,91.0
ppg,0.7392969806219017,0.6967644845748683,86.0,91.0
ppg,0.7395223073456512,0.6971407072987208,86.0,91.0
ppg,0.7381703470031545,0.6975169300225733,86.0,91.0
ppg,0.7311852185669221,0.6918735891647856,86.0,91.0
ppg,0.7264533573681838,0.6828442437923251,86.0,91.0
ppg,0.7165389815232086,0.6704288939051919,86.0,91.0
ppg,0.7050473186119873,0.6565086531226486,86.0,91.0
ppg,0.6922036953582695,0.6437170805116629,86.0,91.0
ppg,0.6773321315908066,0.627915726109857,86.0,91.0
ppg,0.6674177557458315,0.617005267118134,86.0,91.0
ppg,0.6577287066246057,0.6113619262603461,86.0,91.0
ppg,0.7235241099594412,0.6873589164785553,86.0,92.0
ppg,0.7235241099594412,0.6798344620015049,86.0,92.0
ppg,0.7210455159981974,0.6817155756207675,86.0,92.0
ppg,0.7201442091031997,0.6775771256583898,86.0,92.0
ppg,0.6586300135196034,0.6049661399548533,86.0,91.0
ppg,0.7160883280757098,0.6753197893152746,86.0,92.0
ppg,0.7109058134294728,0.6715575620767494,86.0,92.0
ppg,0.7018927444794952,0.6655379984951091,86.0,92.0
ppg,0.6964849031095088,0.662528216704289,86.0,92.0
ppg,0.6876971608832808,0.6523702031602708,86.0,92.0
ppg,0.6818386660657954,0.6497366440933032,86.0,92.0
ppg,0.6827399729607931,0.6471030850263356,86.0,92.0
ppg,0.6771068048670572,0.6452219714070729,86.0,92.0
ppg,0.6791347453808022,0.6474793077501881,86.0,92.0
ppg,0.6843172600270392,0.6527464258841233,86.0,92.0
ppg,0.6849932401982876,0.6598946576373212,86.0,92.0
ppg,0.6849932401982876,0.6598946576373212,86.0,92.0
ppg,0.6899504281207751,0.6591422121896162,86.0,92.0
ppg,0.6906264082920235,0.6613995485327314,86.0,92.0
ppg,0.6933303289770166,0.6587659894657637,86.0,92.0
ppg,0.6935556557007662,0.6598946576373212,86.0,92.0
ppg,0.6958089229382605,0.6651617757712566,86.0,92.0
ppg,0.7003154574132492,0.6644093303235515,86.0,92.0
ppg,0.6985128436232537,0.6670428893905191,86.0,92.0
ppg,0.6973862100045065,0.6711813393528969,86.0,92.0
ppg,0.701216764308247,0.6711813393528969,86.0,92.0
ppg,0.7023433979269942,0.6715575620767494,86.0,92.0
ppg,0.7043713384407391,0.6708051166290444,86.0,92.0
ppg,0.7039206849932402,0.6711813393528969,86.0,92.0
ppg,0.7016674177557458,0.6711813393528969,86.0,92.0
ppg,0.7005407841369986,0.6681715575620768,86.0,92.0
ppg,0.7034700315457413,0.672686230248307,86.0,92.0
ppg,0.7036953582694908,0.6738148984198645,86.0,92.0
ppg,0.7021180712032447,0.6666666666666666,86.0,92.0
ppg,0.7036953582694908,0.6689240030097818,86.0,92.0
ppg,0.7050473186119873,0.6681715575620768,86.0,92.0
ppg,0.7054979720594863,0.6685477802859293,86.0,92.0
ppg,0.7102298332582244,0.6738148984198645,86.0,92.0
ppg,0.7131590806669671,0.6790820165537998,86.0,92.0
ppg,0.7136097341144659,0.6790820165537998,86.0,92.0
ppg,0.715187021180712,0.6824680210684725,86.0,92.0
ppg,0.7140603875619649,0.6783295711060948,86.0,92.0
ppg,0.7111311401532222,0.674191121143717,86.0,92.0
ppg,0.7097791798107256,0.672686230248307,86.0,92.0
ppg,0.7118071203244705,0.6708051166290444,86.0,92.0
ppg,0.7097791798107256,0.6696764484574869,86.0,92.0
ppg,0.7120324470482199,0.6704288939051919,86.0,92.0
ppg,0.7124831004957188,0.6760722347629797,86.0,92.0
ppg,0.7149616944569626,0.6779533483822423,86.0,92.0
ppg,0.7136097341144659,0.6749435665914221,87.0,92.0
ppg,0.7165389815232086,0.6775771256583898,87.0,92.0
ppg,0.7165389815232086,0.6775771256583898,87.0,92.0
ppg,0.7136097341144659,0.6745673438675696,87.0,92.0
ppg,0.7142857142857143,0.671933784800602,87.0,92.0
ppg,0.7149616944569626,0.6723100075244545,87.0,92.0
ppg,0.7221721496169445,0.6794582392776524,87.0,92.0
