Category,Value1,Value2,Value3,Value4
ppg,0.0,0.0,92.0,89.0
ppg,0.007613293051359517,0.010680069106329512,92.0,89.0
ppg,0.014380664652567977,0.01978953981466939,92.0,89.0
ppg,0.021329305135951663,0.028899010523009267,92.0,89.0
ppg,0.026163141993957705,0.03549552379456573,92.0,89.0
ppg,0.030574018126888217,0.0433485157845139,92.0,89.0
ppg,0.034320241691842904,0.04868855033767865,92.0,89.0
ppg,0.03794561933534743,0.05387152505104445,92.0,89.0
ppg,0.04078549848942598,0.05858332024501335,92.0,89.0
ppg,0.04398791540785499,0.06455159415737396,92.0,89.0
ppg,0.04398791540785499,0.06455159415737396,92.0,89.0
ppg,0.045317220543806644,0.06816397047275012,92.0,89.0
ppg,0.047069486404833834,0.07020574839013664,92.0,89.0
ppg,0.048157099697885196,0.06863514999214701,92.0,89.0
ppg,0.04755287009063444,0.06957750903094079,92.0,89.0
ppg,0.04797583081570997,0.07146222710852836,92.0,89.0
ppg,0.048398791540785496,0.07334694518611591,92.0,89.0
ppg,0.25444108761329304,0.3222867912674729,92.0,89.0
ppg,0.2731722054380665,0.3427045704413382,92.0,89.0
ppg,0.2904531722054381,0.3615517512172138,92.0,89.0
ppg,0.30459214501510573,0.37694361551751215,92.0,89.0
ppg,0.31734138972809667,0.3899795822208261,92.0,89.0
ppg,0.3299697885196375,0.40317260876393907,92.0,89.0
ppg,0.3424773413897281,0.41400973771006755,92.0,89.0
ppg,0.355226586102719,0.4289304224909691,92.0,89.0
ppg,0.3675528700906344,0.44149520967488615,92.0,89.0
ppg,0.37812688821752266,0.45563059525679284,92.0,89.0
ppg,0.389607250755287,0.467724202921313,92.0,89.0
ppg,0.3982477341389728,0.47824721218784355,92.0,89.0
ppg,0.4061631419939577,0.48829904193497725,92.0,89.0
ppg,0.4126283987915408,0.49505261504633263,92.0,89.0
ppg,0.41818731117824776,0.5008638291188943,92.0,89.0
ppg,0.421570996978852,0.5051044447934663,92.0,89.0
ppg,0.4257401812688822,0.5102874195068321,92.0,89.0
ppg,0.4291238670694864,0.5142139155018062,92.0,89.0
ppg,0.43305135951661633,0.5167268729385897,92.0,89.0
ppg,0.43697885196374625,0.5214386681325585,92.0,89.0
ppg,0.44157099697885194,0.5253651641275325,92.0,89.0
ppg,0.44731117824773414,0.532432856918486,92.0,89.0
ppg,0.454380664652568,0.5399717292288362,92.0,89.0
ppg,0.4609667673716012,0.5476676613789854,92.0,89.0
ppg,0.4659214501510574,0.5509659180147636,92.0,89.0
ppg,0.471238670694864,0.5561488927281294,92.0,89.0
ppg,0.471238670694864,0.5561488927281294,92.0,89.0
ppg,0.47619335347432024,0.5602324485629024,92.0,89.0
ppg,0.6012084592145015,0.7111669546097062,92.0,89.0
ppg,0.6068277945619336,0.7180775875608607,92.0,89.0
ppg,0.6117824773413897,0.7218470237160358,92.0,89.0
ppg,0.6164954682779457,0.7264017590702058,92.0,89.0
ppg,0.6201812688821752,0.729700015705984,92.0,89.0
ppg,0.6229003021148036,0.7322129731427673,92.0,89.0
ppg,0.6259818731117824,0.733783571540757,92.0,89.0
ppg,0.6296676737160121,0.7369247683367363,92.0,89.0
ppg,0.6326283987915408,0.7403800848123135,92.0,89.0
ppg,0.6374018126888218,0.7471336579236689,92.0,89.0
ppg,0.6422356495468278,0.7531019318360296,92.0,89.0
ppg,0.6470090634441088,0.7590702057483901,92.0,89.0
ppg,0.6525075528700907,0.7666090780587403,92.0,89.0
ppg,0.6559516616314199,0.7695932150149207,92.0,89.0
ppg,0.6584894259818731,0.7727344118109,92.0,89.0
ppg,0.659939577039275,0.7752473692476833,92.0,89.0
ppg,0.6608459214501511,0.772577351971101,92.0,89.0
ppg,0.6633232628398792,0.7739908905292917,92.0,89.0
ppg,0.665558912386707,0.776817967645673,92.0,89.0
ppg,0.6691842900302115,0.781058583320245,92.0,89.0
ppg,0.6726283987915408,0.7831003612376315,92.0,89.0
ppg,0.6773413897280967,0.7878121564316004,92.0,89.0
ppg,0.6809667673716012,0.7917386524265745,92.0,89.0
ppg,0.6854380664652568,0.7969216271399403,92.0,89.0
ppg,0.6894864048338368,0.7992775247369248,92.0,89.0
ppg,0.6927492447129909,0.8038322600910947,92.0,89.0
ppg,0.6961329305135951,0.8082299356054656,92.0,89.0
ppg,0.6985498489425982,0.8090152348044605,92.0,89.0
ppg,0.6985498489425982,0.8090152348044605,92.0,89.0
ppg,0.7,0.8099575938432543,92.0,89.0
ppg,0.7013293051359517,0.8085440552850636,92.0,89.0
ppg,0.7041087613293051,0.8127846709596356,92.0,89.0
ppg,0.7077945619335347,0.8162399874352129,92.0,89.0
ppg,0.7041087613293051,0.8135699701586304,90.0,89.0
ppg,0.7070090634441087,0.8165541071148107,90.0,89.0
ppg,0.7097280966767372,0.8189100047117952,90.0,89.0
ppg,0.7113595166163142,0.81969530391079,90.0,89.0
ppg,0.7140181268882175,0.8209517826291817,90.0,89.0
ppg,0.7173413897280967,0.8245641589445579,90.0,89.0
ppg,0.7207250755287009,0.828647714779331,90.0,89.0
ppg,0.7245921450151057,0.8314747918957123,90.0,89.0
ppg,0.7271299093655589,0.8335165698130987,90.0,89.0
ppg,0.7314199395770393,0.837286005968274,90.0,89.0
ppg,0.7353474320241692,0.8430972200408355,90.0,89.0
ppg,0.7398187311178248,0.84545311763782,90.0,89.0
ppg,0.7433836858006042,0.850164912831789,90.0,89.0
ppg,0.7477341389728097,0.8553478875451547,90.0,89.0
ppg,0.7521450151057402,0.8569184859431443,90.0,89.0
ppg,0.756797583081571,0.8611591016177164,90.0,89.0
ppg,0.7606042296072507,0.8660279566514842,90.0,89.0
ppg,0.7651359516616314,0.8712109313648501,90.0,89.0
ppg,0.770392749244713,0.8765509659180147,90.0,89.0
ppg,0.7753474320241692,0.8809486414323857,90.0,89.0
ppg,0.7810876132930513,0.8870739751845453,90.0,89.0
ppg,0.7859818731117825,0.8919428302183132,90.0,89.0
ppg,0.7917824773413897,0.8961834458928852,90.0,89.0
ppg,0.7966767371601209,0.9007381812470552,90.0,89.0
ppg,0.8006646525679758,0.9073346945186116,90.0,89.0
ppg,0.8057401812688821,0.9109470708339877,90.0,89.0
ppg,0.8108157099697885,0.9159729857075546,90.0,89.0
ppg,0.8161329305135951,0.9217841997801163,90.0,89.0
ppg,0.8229003021148036,0.9019946599654468,90.0,94.0
ppg,0.8242296072507553,0.9035652583634365,90.0,94.0
ppg,0.8258006042296072,0.905135856761426,90.0,94.0
ppg,0.8267673716012085,0.905449976441024,90.0,94.0
ppg,0.8280966767371601,0.9057640961206219,90.0,94.0
ppg,0.830453172205438,0.9065493953196168,90.0,94.0
ppg,0.8325075528700906,0.909847651955395,90.0,94.0
ppg,0.8363141993957703,0.9120464897125805,90.0,94.0
ppg,0.8393353474320242,0.914245327469766,90.0,94.0
ppg,0.8427190332326284,0.9175435841055443,90.0,94.0
ppg,0.8467673716012084,0.9230406784985079,90.0,94.0
ppg,0.8503323262839879,0.9261818752944871,90.0,94.0
ppg,0.8537764350453172,0.927124234333281,90.0,94.0
