Category,Value1,Value2,Value3,Value4
ppg,0.9493455497382199,0.9482995534180694,118.0,94.0
ppg,0.9523560209424083,0.9536241841291653,118.0,94.0
ppg,0.9553664921465969,0.9596358639642735,118.0,94.0
ppg,0.9584424083769634,0.9653040192373755,118.0,94.0
ppg,0.9584424083769634,0.9653040192373755,118.0,94.0
ppg,0.9607984293193718,0.9713156990724837,118.0,94.0
ppg,0.9638089005235602,0.9750944692545517,118.0,94.0
ppg,0.9649869109947644,0.9785297148746135,118.0,94.0
ppg,0.9681937172774869,0.9833390587427001,118.0,94.0
ppg,0.9698952879581152,0.9841978701477155,118.0,94.0
ppg,0.9719240837696335,0.9890072140158022,118.0,94.0
ppg,0.9733638743455497,0.9920989350738578,118.0,94.0
ppg,0.975065445026178,0.9946753692889042,118.0,94.0
ppg,0.9768324607329842,0.9955341806939196,118.0,94.0
ppg,0.9771596858638744,0.9955341806939196,118.0,94.0
ppg,0.9787958115183246,0.9977670903469598,118.0,94.0
ppg,0.9802356020942409,1.0,118.0,94.0
ppg,0.9802356020942409,0.9977670903469598,118.0,94.0
ppg,0.981217277486911,0.9991411885949846,118.0,94.0
ppg,0.9806937172774869,0.9979388526279629,118.0,94.0
ppg,0.9804319371727749,0.9975953280659567,118.0,94.0
ppg,0.9799083769633508,0.9972518035039505,118.0,94.0
ppg,0.9819371727748691,0.9975953280659567,118.0,94.0
ppg,0.9817408376963351,0.9902095499828237,119.0,93.0
ppg,0.981217277486911,0.9891789762968052,119.0,93.0
ppg,0.981282722513089,0.988835451734799,119.0,93.0
ppg,0.9818062827225131,0.9883201648917898,119.0,93.0
ppg,0.9836387434554974,0.9910683613878393,119.0,93.0
ppg,0.9844895287958115,0.9931295087598764,119.0,93.0
ppg,0.9850130890052357,0.9933012710408794,119.0,93.0
ppg,0.9853403141361257,0.992442459635864,119.0,93.0
ppg,0.9858638743455498,0.9938165578838887,119.0,93.0
ppg,0.9858638743455498,0.9938165578838887,119.0,93.0
ppg,0.9865183246073298,0.9946753692889042,119.0,93.0
ppg,0.9873691099476439,0.9948471315699072,119.0,93.0
ppg,0.987958115183246,0.9950188938509104,119.0,93.0
ppg,0.9888089005235602,0.9946753692889042,119.0,93.0
ppg,0.9884162303664922,0.9946753692889042,119.0,93.0
ppg,0.9832460732984293,0.9866025420817588,119.0,93.0
ppg,0.9732329842931937,0.9733768464445208,119.0,93.0
ppg,0.9605366492146596,0.9575747165922364,119.0,93.0
ppg,0.9528795811518325,0.9470972174510478,119.0,93.0
ppg,0.9467931937172774,0.9410855376159395,119.0,93.0
ppg,0.944240837696335,0.9391961525249055,119.0,93.0
ppg,0.9427356020942408,0.9336997595328066,119.0,93.0
ppg,0.9427356020942408,0.9352456200618344,119.0,93.0
ppg,0.944306282722513,0.9355891446238406,119.0,93.0
ppg,0.9458769633507853,0.9378220542768808,119.0,93.0
ppg,0.949803664921466,0.9429749227069736,119.0,93.0
ppg,0.9529450261780105,0.9462384060460323,119.0,93.0
ppg,0.9770942408376964,0.9754379938165579,118.0,93.0
ppg,0.9775523560209424,0.973720371006527,118.0,93.0
ppg,0.9620418848167539,0.9632428718653384,119.0,93.0
ppg,0.9656413612565445,0.9668498797664034,119.0,93.0
ppg,0.9671465968586388,0.9689110271384404,119.0,93.0
ppg,0.9791884816753926,0.9742356578495363,118.0,93.0
ppg,0.9805628272251309,0.9754379938165579,118.0,93.0
ppg,0.981151832460733,0.9754379938165579,118.0,93.0
ppg,0.9839659685863874,0.9785297148746135,118.0,93.0
ppg,0.9839659685863874,0.9785297148746135,118.0,93.0
ppg,0.9846204188481675,0.9797320508416352,118.0,93.0
ppg,0.9846204188481675,0.9797320508416352,118.0,93.0
ppg,0.9846204188481675,0.9797320508416352,118.0,93.0
ppg,0.9844240837696335,0.9790450017176228,118.0,93.0
ppg,0.9846204188481675,0.9768120920645826,118.0,93.0
ppg,0.9844240837696335,0.9761250429405702,118.0,93.0
ppg,0.9846204188481675,0.9757815183785641,118.0,93.0
ppg,0.9857984293193718,0.9759532806595672,118.0,93.0
ppg,0.9869764397905759,0.9768120920645826,118.0,93.0
ppg,0.9871727748691099,0.9783579525936105,118.0,93.0
