Category,Value1,Value2,Value3,Value4
ppg,0.8472998137802608,0.984863523573201,82.0,95.0
ppg,0.851127663976826,0.9864764267990075,82.0,95.0
ppg,0.8526794951375957,0.9873449131513647,82.0,95.0
ppg,0.8550589695841092,0.9874689826302729,82.0,95.0
ppg,0.8550589695841092,0.9874689826302729,82.0,95.0
ppg,0.8559900682805711,0.9895781637717121,82.0,95.0
ppg,0.8593006414235465,0.9905707196029777,82.0,95.0
ppg,0.8599213738878544,0.9909429280397022,82.0,95.0
ppg,0.861266294227188,0.9918114143920596,82.0,95.0
ppg,0.8759569625491413,0.9681141439205956,88.0,95.0
ppg,0.861266294227188,0.961166253101737,88.0,95.0
ppg,0.8466790813159528,0.9534739454094293,88.0,95.0
ppg,0.835092075315539,0.9480148883374689,88.0,95.0
ppg,0.8269190978688186,0.9446650124069479,88.0,95.0
ppg,0.8251603558866129,0.9430521091811415,88.0,95.0
ppg,0.8248499896544589,0.9442928039702233,88.0,95.0
ppg,0.8295054831367681,0.9447890818858561,88.0,95.0
ppg,0.8344713428512311,0.9481389578163771,88.0,95.0
ppg,0.840368301262156,0.9513647642679901,88.0,95.0
ppg,0.8466790813159528,0.9535980148883375,88.0,95.0
ppg,0.8466790813159528,0.9535980148883375,88.0,95.0
ppg,0.8530933167804676,0.9560794044665012,88.0,95.0
ppg,0.8579557210842127,0.9581885856079404,88.0,95.0
ppg,0.8634388578522657,0.963151364764268,88.0,95.0
ppg,0.8691289054417546,0.9655086848635236,88.0,95.0
ppg,0.8707841920132423,0.9668734491315136,88.0,95.0
ppg,0.8737843989240637,0.969106699751861,88.0,95.0
ppg,0.8761638733705773,0.9709677419354839,88.0,95.0
ppg,0.877612249120629,0.9702233250620348,88.0,95.0
ppg,0.8782329815849369,0.9707196029776675,88.0,95.0
ppg,0.8790606248706807,0.9698511166253102,88.0,95.0
ppg,0.8804055452100145,0.9715880893300248,88.0,95.0
ppg,0.882888475067246,0.9720843672456576,88.0,95.0
ppg,0.8845437616387337,0.9718362282878412,88.0,95.0
ppg,0.8848541278708877,0.9735732009925558,88.0,95.0
ppg,0.8852679495137595,0.9745657568238213,88.0,95.0
ppg,0.888164701013863,0.9753101736972705,88.0,95.0
ppg,0.9026484585143802,0.9807692307692307,88.0,95.0
ppg,0.9025450031036624,0.9822580645161291,88.0,95.0
ppg,0.9047175667287399,0.9822580645161291,88.0,95.0
ppg,0.9064763087109455,0.9818858560794045,88.0,95.0
ppg,0.9077177736395613,0.9823821339950373,88.0,95.0
ppg,0.9079246844609973,0.9843672456575683,88.0,95.0
ppg,0.9109248913718188,0.9839950372208437,88.0,95.0
ppg,0.9117525346575626,0.9857320099255583,88.0,95.0
ppg,0.914752741568384,0.9874689826302729,88.0,95.0
ppg,0.9160976619077178,0.9885856079404467,88.0,95.0
ppg,0.9174425822470516,0.9889578163771712,88.0,95.0
ppg,0.9183736809435133,0.9900744416873449,88.0,95.0
ppg,0.9195116904614111,0.9904466501240695,88.0,95.0
ppg,0.9189944134078212,0.990818858560794,88.0,95.0
ppg,0.9195116904614111,0.9916873449131514,88.0,95.0
ppg,0.9201324229257191,0.9910669975186104,88.0,95.0
ppg,0.9201324229257191,0.9895781637717121,88.0,95.0
ppg,0.9198220566935651,0.9884615384615385,88.0,95.0
ppg,0.9196151458721291,0.9880893300248139,88.0,95.0
ppg,0.9196151458721291,0.9880893300248139,88.0,95.0
ppg,0.9216842540864887,0.9903225806451613,88.0,95.0
ppg,0.9262362921580799,0.9939205955334988,88.0,95.0
ppg,0.9290295882474653,0.9968982630272953,88.0,95.0
ppg,0.9295468653010552,0.9976426799007444,88.0,95.0
ppg,0.9316159735154148,0.9972704714640198,88.0,95.0
ppg,0.930788330229671,0.9962779156327544,88.0,95.0
ppg,0.9302710531760812,0.9951612903225806,88.0,95.0
ppg,0.9292364990689013,0.9949131513647642,88.0,95.0
ppg,0.9300641423546452,0.9937965260545906,88.0,95.0
ppg,0.9319263397475688,0.9955334987593052,88.0,95.0
ppg,0.9340989033726463,0.9971464019851116,88.0,95.0
