Category,Value1,Value2,Value3,Value4
ppg,0.23164258330875848,0.15304396843291995,99.0,95.0
ppg,0.23164258330875848,0.14937993235625704,99.0,95.0
ppg,0.2285461515777057,0.1488162344983089,99.0,95.0
ppg,0.224417575936302,0.14656144306651633,99.0,95.0
ppg,0.217782365084046,0.13697857948139797,99.0,95.0
ppg,0.217782365084046,0.13697857948139797,99.0,95.0
ppg,0.2118843998820407,0.133032694475761,99.0,95.0
ppg,0.20805072250073725,0.12965050732807215,99.0,95.0
ppg,0.20171040990858155,0.12344983089064261,99.0,95.0
ppg,0.19507519905632556,0.1161217587373168,99.0,95.0
ppg,0.1884399882040696,0.1104847801578354,99.0,95.0
ppg,0.1840165143025656,0.10738444193912063,99.0,95.0
ppg,0.1794455912710115,0.1011837655016911,99.0,95.0
ppg,0.1762017104099086,0.09892897406989853,99.0,95.0
ppg,0.17457976997935712,0.09695603156708005,99.0,95.0
ppg,0.17281038041875552,0.09385569334836527,99.0,95.0
ppg,0.1757593630197582,0.09526493799323563,99.0,95.0
ppg,0.17487466823945738,0.09413754227733935,99.0,95.0
ppg,0.1754644647596579,0.09470124013528748,99.0,95.0
ppg,0.17428487171925686,0.09526493799323563,99.0,95.0
ppg,0.1754644647596579,0.09385569334836527,99.0,95.0
ppg,0.17679150693010912,0.09498308906426156,99.0,95.0
ppg,0.17826599823061043,0.09780157835400226,99.0,95.0
ppg,0.18195222648186377,0.10090191657271702,99.0,95.0
ppg,0.1857859038631672,0.10484780157835401,99.0,95.0
ppg,0.4361545266882925,0.3430101465614431,99.0,95.0
ppg,0.44102034797994694,0.3455467869222097,99.0,95.0
ppg,0.44249483928044825,0.350901916572717,99.0,95.0
ppg,0.44249483928044825,0.350901916572717,99.0,95.0
ppg,0.4413152462400472,0.34892897406989853,99.0,95.0
ppg,0.4391035092892952,0.3483652762119504,99.0,95.0
ppg,0.43939840754939546,0.3475197294250282,99.0,95.0
ppg,0.4373341197286936,0.34498308906426156,99.0,95.0
ppg,0.435564730168092,0.34244644870349494,99.0,95.0
ppg,0.4327631966971395,0.33934611048478014,99.0,95.0
ppg,0.4292244175759363,0.33540022547914317,99.0,95.0
ppg,0.4256856384547331,0.33286358511837655,99.0,95.0
ppg,0.4215570628133294,0.33089064261555806,99.0,95.0
ppg,0.4183131819522265,0.3272266065388951,99.0,95.0
ppg,0.41447950457092303,0.3218714768883878,99.0,95.0
ppg,0.4109407254497198,0.3196166854565953,99.0,95.0
ppg,0.4063698024181657,0.31651634723788047,99.0,95.0
ppg,0.4020937776467119,0.3086245772266065,99.0,95.0
ppg,0.4020937776467119,0.3108793686583991,99.0,95.0
ppg,0.21719256856384547,0.15050732807215333,109.0,95.0
ppg,0.22898849896785609,0.1637542277339346,109.0,95.0
ppg,0.24048953111176644,0.17446448703494927,109.0,95.0
ppg,0.25272780890592744,0.18742953776775648,109.0,95.0
ppg,0.26393394278973753,0.19701240135287487,109.0,95.0
ppg,0.27204364494249483,0.2077226606538895,109.0,95.0
ppg,0.2791212031849012,0.21025930101465615,109.0,95.0
ppg,0.2831023296962548,0.21956031567080045,109.0,95.0
ppg,0.28649365968740786,0.22012401352874858,109.0,95.0
ppg,0.2913594809790622,0.22519729425028184,109.0,95.0
ppg,0.29563550575051606,0.2274520856820744,109.0,95.0
ppg,0.3016809200825715,0.23421645997745208,109.0,95.0
