Category,Value1,Value2,Value3,Value4
ppg,0.9770258459233363,0.9867959372114496,65.0,85.0
ppg,0.9798976151829192,0.9894736842105263,65.0,85.0
ppg,0.9829774836642111,0.9933518005540166,65.0,85.0
ppg,0.9846422774378824,0.9943674976915974,65.0,85.0
ppg,0.9861405918341866,0.9960295475530933,65.0,85.0
ppg,0.9878886252965414,0.9963065558633426,65.0,85.0
ppg,0.9885545428060099,0.997045244690674,65.0,85.0
ppg,0.9897615182919216,0.9987072945521699,65.0,85.0
ppg,0.9911349731552004,0.9996306555863342,65.0,85.0
ppg,0.9913846922212511,1.0,65.0,85.0
ppg,0.9913846922212511,1.0,65.0,85.0
ppg,0.9918841303533524,0.9990766389658357,65.0,85.0
ppg,0.9918841303533524,0.9990766389658357,65.0,85.0
ppg,0.9918841303533524,0.9990766389658357,65.0,85.0
ppg,0.991218212843884,0.999353647276085,65.0,85.0
ppg,0.9914263120655928,0.9994459833795014,65.0,85.0
ppg,0.9912598326882257,0.9975992613111727,65.0,85.0
ppg,0.9903858159570483,0.9953831948291783,65.0,85.0
ppg,0.9903025762683647,0.9959372114496768,65.0,85.0
ppg,0.989678278603238,0.9938134810710988,65.0,85.0
ppg,0.9895534190702127,0.9929824561403509,65.0,85.0
ppg,0.9893453198485037,0.9931671283471838,65.0,85.0
ppg,0.9900112373579723,0.9933518005540166,65.0,85.0
ppg,0.9903025762683647,0.9939058171745152,65.0,85.0
ppg,0.9910517334665169,0.9941828254847646,65.0,85.0
ppg,0.9912598326882257,0.9952908587257617,65.0,85.0
ppg,0.9919257501976942,0.9954755309325947,65.0,85.0
ppg,0.9924251883297956,0.9958448753462604,65.0,85.0
ppg,0.9927997669288717,0.9953831948291783,65.0,85.0
ppg,0.993507304282682,0.9954755309325947,65.0,85.0
ppg,0.9939651225704416,0.9956602031394275,65.0,85.0
ppg,0.9943813210138595,0.9952908587257617,65.0,85.0
ppg,0.9953801972780622,0.9967682363804248,65.0,85.0
ppg,0.9637907354226495,0.9537396121883657,68.0,85.0
ppg,0.9648728513755358,0.9551246537396122,68.0,85.0
ppg,0.9667873642152578,0.957617728531856,68.0,85.0
ppg,0.9688267365880051,0.9590027700831025,68.0,85.0
ppg,0.9701169517626004,0.9617728531855956,68.0,85.0
ppg,0.971532026470221,0.9628808864265928,68.0,85.0
ppg,0.9726973821117909,0.9637119113573407,68.0,85.0
ppg,0.9739043575977026,0.9659279778393352,68.0,85.0
ppg,0.9748616140175635,0.9673130193905817,68.0,85.0
ppg,0.976110209347817,0.9681440443213296,68.0,85.0
ppg,0.9769842260789945,0.9683287165281625,68.0,85.0
ppg,0.9769842260789945,0.9683287165281625,68.0,85.0
ppg,0.9780663420318808,0.9698060941828255,68.0,85.0
ppg,0.9794814167395014,0.9702677746999077,68.0,85.0
ppg,0.9805219128480459,0.9710987996306556,68.0,85.0
ppg,0.9812294502018563,0.9724838411819021,68.0,85.0
