Category,Value1,Value2,Value3,Value4
ppg,0.8767529449475118,0.8794579172610556,114.0,96.0
ppg,0.8794775222373588,0.8812410841654779,114.0,96.0
ppg,0.8819616956486898,0.8856990014265336,114.0,96.0
ppg,0.8848465421908807,0.8873038516405135,114.0,96.0
ppg,0.886769773219008,0.8890870185449358,114.0,96.0
ppg,0.8895744851350268,0.8940798858773181,114.0,96.0
ppg,0.8895744851350268,0.8940798858773181,114.0,96.0
ppg,0.8914977161631541,0.896398002853067,114.0,96.0
ppg,0.891898389294014,0.8933666191155493,114.0,96.0
ppg,0.8898148890135428,0.8903352353780314,114.0,96.0
ppg,0.8821219649010338,0.8826676176890157,114.0,96.0
ppg,0.8646526163955445,0.8657275320970043,114.0,96.0
ppg,0.829794054010738,0.8343437945791726,114.0,96.0
ppg,0.7941341453642119,0.8045649072753209,114.0,96.0
ppg,0.7715361807837167,0.7854850213980028,114.0,96.0
ppg,0.7550284477922911,0.7722895863052782,114.0,96.0
ppg,0.7434890616235276,0.7621255349500713,114.0,96.0
ppg,0.7339530411090632,0.7553495007132668,114.0,96.0
ppg,0.7282634826508534,0.7491084165477889,114.0,96.0
ppg,0.7235355397067073,0.7466119828815977,114.0,96.0
ppg,0.7224136549402997,0.7453637660485022,114.0,96.0
ppg,0.7238560782113952,0.7476818830242511,114.0,96.0
ppg,0.7262601169965542,0.7510699001426534,114.0,96.0
ppg,0.8452600368619281,0.8634094151212554,113.0,96.0
ppg,0.8135267248978284,0.8364835948644793,113.0,96.0
ppg,0.7962977802708551,0.8207917261055635,113.0,96.0
ppg,0.7837967785880279,0.807774607703281,113.0,96.0
ppg,0.7755429120923151,0.8017118402282454,113.0,96.0
ppg,0.7712156422790287,0.797432239657632,113.0,96.0
ppg,0.767930122605978,0.7947574893009985,113.0,96.0
ppg,0.7663274300825387,0.7924393723252496,113.0,96.0
ppg,0.7678499879798061,0.793509272467903,113.0,96.0
ppg,0.7714560461575447,0.7956490727532097,113.0,96.0
ppg,0.7765846622325507,0.800641940085592,113.0,96.0
ppg,0.7827550284477923,0.8070613409415122,113.0,96.0
ppg,0.7900472794294414,0.81169757489301,113.0,96.0
ppg,0.7983011459251542,0.8193651925820257,113.0,96.0
ppg,0.8055132622806315,0.8247146932952925,113.0,96.0
ppg,0.8161711675615033,0.8352353780313837,113.0,96.0
ppg,0.8265886689638593,0.8448644793152639,113.0,96.0
ppg,0.8265886689638593,0.8448644793152639,113.0,96.0
ppg,0.8372465742447311,0.8575249643366619,113.0,96.0
ppg,0.8475038063947432,0.867867332382311,113.0,96.0
ppg,0.8559980767689719,0.8751783166904422,113.0,96.0
ppg,0.8625691161150734,0.8828459343794579,113.0,96.0
ppg,0.868418943825627,0.8883737517831669,113.0,96.0
ppg,0.873627694526805,0.8919400855920114,113.0,96.0
ppg,0.8780350989662633,0.8951497860199714,113.0,96.0
ppg,0.8811603493869701,0.8992510699001427,113.0,96.0
ppg,0.8850068114432246,0.9022824536376605,113.0,96.0
ppg,0.9003926596682427,0.9218972895863052,105.0,96.0
ppg,0.9054411411170767,0.9265335235378032,105.0,96.0
ppg,0.894382562705345,0.911376604850214,113.0,96.0
ppg,0.8954243128455806,0.9144079885877318,113.0,96.0
ppg,0.8980687555092556,0.9145863052781741,113.0,96.0
ppg,0.9229906242487379,0.9425820256776034,105.0,96.0
ppg,0.9264364131741325,0.9449001426533523,105.0,96.0
ppg,0.930202740604215,0.9468616262482168,105.0,96.0
ppg,0.9316451638753105,0.9507845934379457,105.0,96.0
ppg,0.9342896065389855,0.9531027104136948,105.0,96.0
ppg,0.9367737799503165,0.9534593437945792,105.0,96.0
ppg,0.9371744530811764,0.9538159771754636,105.0,96.0
ppg,0.9374949915858642,0.9536376604850214,105.0,96.0
ppg,0.9394182226139915,0.9539942938659058,105.0,96.0
ppg,0.940860645885087,0.9561340941512125,105.0,96.0
ppg,0.9427037422870422,0.9557774607703281,105.0,96.0
ppg,0.9427838769132142,0.9554208273894437,105.0,96.0
ppg,0.9427838769132142,0.9554208273894437,105.0,96.0
ppg,0.9451077810722013,0.958095577746077,105.0,96.0
ppg,0.9453481849507172,0.9591654778887304,105.0,96.0
ppg,0.9468707428479846,0.9586305278174037,105.0,96.0
ppg,0.948233031492908,0.9604136947218259,105.0,96.0
ppg,0.9500761278948634,0.9623751783166904,105.0,96.0
ppg,0.953521916820258,0.9648716119828816,105.0,96.0
ppg,0.9556855517269012,0.9693295292439372,105.0,96.0
ppg,0.9591313406522959,0.9723609129814551,105.0,96.0
ppg,0.9610545716804231,0.973965763195435,105.0,96.0
ppg,0.9642599567273019,0.9784236804564908,105.0,96.0
ppg,0.9659427838769132,0.9780670470756063,105.0,96.0
ppg,0.9681064187835564,0.9821683309557775,105.0,96.0
ppg,0.9697892459331677,0.9832382310984308,105.0,96.0
ppg,0.9721131500921548,0.9846647646219686,105.0,96.0
ppg,0.9864572481769373,0.9907275320970043,97.0,97.0
ppg,0.9885407484574085,0.9903708987161198,97.0,97.0
ppg,0.9900633063546759,0.9921540656205421,97.0,97.0
ppg,0.992307075887491,0.9942938659058488,97.0,97.0
ppg,0.9932686914015546,0.9948288159771754,97.0,97.0
ppg,0.994871383924994,0.9971469329529244,97.0,97.0
ppg,0.9976760958410129,0.9985734664764622,97.0,97.0
ppg,0.9984774421027326,0.9996433666191156,97.0,97.0
ppg,1.0,0.9989300998573466,97.0,97.0
ppg,0.9993589229906242,1.0,97.0,97.0
ppg,0.997355557336325,0.9958987161198288,97.0,97.0
ppg,0.9924673451398349,0.9912624821683309,97.0,97.0
ppg,0.9807676897187274,0.978601997146933,97.0,97.0
ppg,0.9575286481288565,0.9570256776034237,97.0,97.0
ppg,0.9262761439217886,0.931169757489301,97.0,97.0
ppg,0.8987899671448033,0.9069186875891584,97.0,97.0
ppg,0.8805994070037664,0.889978601997147,97.0,97.0
ppg,0.8703421748537543,0.8801711840228246,97.0,97.0
ppg,0.8647327510217165,0.8755349500713266,97.0,97.0
ppg,0.8647327510217165,0.8755349500713266,97.0,97.0
ppg,0.8622485776103854,0.8730385164051355,97.0,97.0
ppg,0.8616075006010097,0.8714336661911555,97.0,97.0
ppg,0.8631300584982771,0.8723252496433667,97.0,97.0
ppg,0.8664155781713279,0.8748216833095578,97.0,97.0
ppg,0.871143521115474,0.8769614835948645,97.0,97.0
ppg,0.87627213719048,0.8819543509272468,97.0,97.0
ppg,0.8822822341533777,0.8856990014265336,97.0,97.0
ppg,0.8897347543873708,0.8889087018544936,97.0,97.0
ppg,0.8570398269092074,0.8439728958630528,97.0,97.0
ppg,0.8648128856478885,0.8543152639087018,97.0,97.0
ppg,0.8732270213959452,0.8596647646219686,97.0,97.0
ppg,0.8819616956486898,0.8671540656205421,97.0,97.0
ppg,0.8901354275182306,0.8751783166904422,97.0,97.0
ppg,0.8979084862569117,0.8810627674750356,97.0,97.0
ppg,0.904719929481529,0.889265335235378,97.0,97.0
ppg,0.9108902956967706,0.8922967189728959,96.0,97.0
ppg,0.9155381040147448,0.8987161198288159,96.0,97.0
ppg,0.9209071239682667,0.901034236804565,96.0,97.0
ppg,0.9250741245292091,0.9022824536376605,96.0,97.0
ppg,0.9279589710713999,0.905848787446505,96.0,97.0
ppg,0.9318855677538265,0.9078102710413695,96.0,97.0
ppg,0.9342094719128136,0.9124465049928673,96.0,97.0
ppg,0.9365333760718006,0.9142296718972895,96.0,97.0
ppg,0.938216203221412,0.912981455064194,96.0,97.0
ppg,0.9394983572401635,0.9138730385164051,96.0,97.0
ppg,0.9405401073803991,0.9135164051355207,96.0,97.0
ppg,0.9396586264925074,0.9136947218259629,96.0,97.0
ppg,0.9396586264925074,0.9136947218259629,96.0,97.0
ppg,0.9399791649971952,0.9131597717546363,96.0,97.0
ppg,0.9399791649971952,0.9131597717546363,96.0,97.0
ppg,0.9399791649971952,0.9131597717546363,96.0,97.0
ppg,0.9399791649971952,0.9131597717546363,96.0,97.0
ppg,0.9398990303710233,0.911376604850214,96.0,97.0
ppg,0.9402997035018832,0.9106633380884451,96.0,97.0
ppg,0.9384566070999278,0.9085235378031383,96.0,97.0
ppg,0.938216203221412,0.9081669044222539,96.0,97.0
ppg,0.9190640275663114,0.8716119828815977,96.0,97.0
ppg,0.9192242968186554,0.8725035663338089,96.0,97.0
