,Category,Value,Value.1,Value.2,Value.3
1,ppg,118.0,7.0,0.0,0.0
2,ppg,120.0,3.0,0.0,0.0
3,ppg,120.0,3.0,0.0,0.0
4,ppg,121.0,2.0,0.0,0.0
5,ppg,121.0,2.0,0.0,0.0
6,ppg,123.0,3.0,,
19,ppg,183925.0,166685.0,70.0,94.0
20,ppg,183822.0,166644.0,70.0,94.0
21,ppg,183710.0,166614.0,70.0,94.0
22,ppg,183584.0,166554.0,70.0,94.0
23,ppg,183584.0,166554.0,70.0,94.0
24,ppg,183466.0,166496.0,70.0,94.0
25,ppg,183346.0,166443.0,70.0,94.0
26,ppg,183228.0,166391.0,70.0,94.0
27,ppg,183103.0,166340.0,70.0,94.0
28,ppg,183005.0,166285.0,70.0,94.0
29,ppg,182920.0,166246.0,70.0,94.0
30,ppg,182824.0,166197.0,70.0,94.0
31,ppg,182769.0,166167.0,70.0,94.0
32,ppg,182731.0,166141.0,70.0,94.0
33,ppg,182693.0,166122.0,70.0,94.0
34,ppg,182656.0,166109.0,70.0,94.0
35,ppg,182651.0,166099.0,70.0,94.0
36,ppg,182623.0,166099.0,70.0,94.0
37,ppg,182630.0,166099.0,70.0,94.0
38,ppg,182636.0,166100.0,70.0,94.0
39,ppg,182645.0,166113.0,70.0,94.0
40,ppg,182664.0,166114.0,70.0,94.0
41,ppg,182686.0,166135.0,70.0,94.0
42,ppg,182712.0,166130.0,70.0,94.0
43,ppg,183481.0,166492.0,68.0,94.0
44,ppg,183509.0,166501.0,68.0,94.0
45,ppg,183531.0,166503.0,68.0,94.0
46,ppg,183554.0,166520.0,68.0,94.0
47,ppg,183574.0,166523.0,68.0,94.0
48,ppg,183615.0,166546.0,68.0,94.0
49,ppg,183630.0,166554.0,68.0,94.0
50,ppg,183656.0,166563.0,68.0,94.0
51,ppg,183684.0,166574.0,68.0,94.0
52,ppg,183684.0,166574.0,68.0,94.0
53,ppg,183712.0,166583.0,68.0,94.0
54,ppg,183756.0,166597.0,68.0,94.0
55,ppg,183772.0,166607.0,68.0,94.0
56,ppg,183785.0,166609.0,68.0,94.0
57,ppg,183762.0,166613.0,68.0,94.0
58,ppg,183708.0,166595.0,68.0,94.0
59,ppg,183632.0,166562.0,68.0,94.0
60,ppg,183527.0,166520.0,68.0,94.0
61,ppg,183410.0,166473.0,68.0,94.0
62,ppg,183301.0,166427.0,68.0,94.0
63,ppg,183168.0,166372.0,68.0,94.0
64,ppg,183060.0,166327.0,68.0,94.0
65,ppg,182942.0,166285.0,68.0,94.0
66,ppg,182845.0,166232.0,68.0,94.0
67,ppg,182768.0,166188.0,68.0,94.0
68,ppg,182681.0,166151.0,68.0,94.0
69,ppg,182623.0,166118.0,68.0,94.0
70,ppg,182565.0,166096.0,68.0,94.0
71,ppg,182530.0,166081.0,68.0,94.0
72,ppg,182507.0,166055.0,68.0,94.0
73,ppg,182481.0,166049.0,68.0,94.0
74,ppg,182477.0,166059.0,68.0,94.0
75,ppg,182480.0,166044.0,68.0,94.0
76,ppg,182464.0,166044.0,68.0,94.0
77,ppg,183585.0,166564.0,67.0,94.0
78,ppg,183605.0,166580.0,67.0,94.0
79,ppg,183625.0,166575.0,67.0,94.0
80,ppg,183645.0,166585.0,67.0,94.0
81,ppg,183667.0,166594.0,67.0,94.0
82,ppg,183697.0,166606.0,67.0,94.0
83,ppg,183719.0,166630.0,67.0,94.0
84,ppg,183740.0,166627.0,67.0,94.0
85,ppg,183753.0,166636.0,67.0,94.0
86,ppg,183753.0,166636.0,67.0,94.0
87,ppg,183788.0,166649.0,67.0,94.0
88,ppg,183810.0,166663.0,67.0,94.0
89,ppg,183837.0,166668.0,67.0,94.0
90,ppg,183854.0,166683.0,67.0,94.0
91,ppg,183876.0,166681.0,67.0,94.0
92,ppg,183876.0,166684.0,67.0,94.0
93,ppg,183866.0,166682.0,67.0,94.0
94,ppg,183801.0,166656.0,67.0,94.0
95,ppg,183714.0,166625.0,67.0,94.0
96,ppg,183605.0,166583.0,67.0,94.0
97,ppg,183473.0,166526.0,67.0,94.0
98,ppg,183325.0,166464.0,67.0,94.0
99,ppg,183191.0,166398.0,67.0,94.0
100,ppg,183067.0,166353.0,67.0,94.0
101,ppg,182934.0,166291.0,67.0,94.0
102,ppg,182824.0,166235.0,67.0,94.0
103,ppg,182708.0,166184.0,67.0,94.0
104,ppg,182622.0,166147.0,67.0,94.0
105,ppg,182810.0,166164.0,67.0,94.0
106,ppg,182821.0,166163.0,67.0,94.0
107,ppg,182845.0,166175.0,67.0,94.0
108,ppg,182873.0,166190.0,67.0,94.0
109,ppg,182897.0,166204.0,67.0,94.0
110,ppg,182913.0,166212.0,67.0,94.0
111,ppg,182938.0,166217.0,67.0,94.0
112,ppg,182947.0,166223.0,67.0,94.0
113,ppg,182952.0,166216.0,67.0,94.0
114,ppg,182973.0,166225.0,67.0,94.0
115,ppg,182973.0,166225.0,67.0,94.0
116,ppg,182994.0,166235.0,67.0,94.0
117,ppg,183016.0,166242.0,67.0,94.0
118,ppg,183038.0,166264.0,67.0,94.0
119,ppg,183047.0,166252.0,67.0,94.0
120,ppg,183078.0,166282.0,67.0,94.0
121,ppg,183094.0,166280.0,67.0,94.0
122,ppg,183120.0,166293.0,67.0,94.0
123,ppg,183137.0,166289.0,67.0,94.0
124,ppg,183150.0,166302.0,67.0,94.0
125,ppg,183176.0,166307.0,67.0,94.0
126,ppg,183190.0,166318.0,67.0,94.0
127,ppg,183221.0,166327.0,67.0,94.0
128,ppg,183246.0,166336.0,67.0,94.0
129,ppg,183272.0,166336.0,67.0,94.0
130,ppg,183296.0,166348.0,67.0,94.0
131,ppg,183314.0,166367.0,67.0,94.0
132,ppg,183310.0,166355.0,67.0,94.0
133,ppg,181548.0,165585.0,67.0,95.0
134,ppg,181577.0,165595.0,67.0,95.0
135,ppg,181600.0,165596.0,67.0,95.0
136,ppg,183013.0,166244.0,67.0,94.0
137,ppg,182870.0,166188.0,67.0,94.0
138,ppg,181651.0,165631.0,66.0,95.0
139,ppg,181664.0,165626.0,66.0,95.0
140,ppg,181686.0,165625.0,66.0,95.0
141,ppg,181709.0,165652.0,66.0,95.0
142,ppg,181719.0,165654.0,66.0,95.0
143,ppg,181743.0,165661.0,66.0,95.0
144,ppg,181761.0,165665.0,66.0,95.0
145,ppg,181788.0,165682.0,66.0,95.0
146,ppg,181809.0,165702.0,66.0,95.0
147,ppg,181815.0,165698.0,66.0,95.0
148,ppg,181822.0,165699.0,66.0,95.0
149,ppg,181822.0,165699.0,66.0,95.0
150,ppg,181845.0,165704.0,66.0,95.0
151,ppg,181864.0,165715.0,66.0,95.0
152,ppg,181882.0,165732.0,66.0,95.0
153,ppg,181893.0,165738.0,66.0,95.0
154,ppg,181902.0,165746.0,66.0,95.0
155,ppg,181908.0,165731.0,66.0,95.0
156,ppg,181924.0,165748.0,66.0,95.0
