Category,Value1,Value2,Value3,Value4
ppg,163647.0,154217.0,0.0,0.0
ppg,163680.0,154226.0,0.0,0.0
ppg,163667.0,154219.0,0.0,0.0
ppg,160994.0,156165.0,106.0,97.0
ppg,161077.0,156190.0,106.0,97.0
ppg,161175.0,156235.0,106.0,97.0
ppg,161283.0,156288.0,106.0,97.0
ppg,161376.0,156316.0,106.0,97.0
ppg,161376.0,156316.0,106.0,97.0
ppg,161451.0,156354.0,106.0,97.0
ppg,161530.0,156404.0,106.0,97.0
ppg,161598.0,156425.0,106.0,97.0
ppg,161661.0,156450.0,106.0,97.0
ppg,161722.0,156477.0,106.0,97.0
ppg,161768.0,156501.0,106.0,97.0
ppg,161817.0,156533.0,106.0,97.0
ppg,161850.0,156541.0,106.0,97.0
ppg,161903.0,156558.0,106.0,97.0
ppg,161939.0,156589.0,106.0,97.0
ppg,161969.0,156603.0,106.0,97.0
ppg,162003.0,156605.0,106.0,97.0
ppg,161992.0,156611.0,106.0,97.0
ppg,161938.0,156584.0,106.0,97.0
ppg,161793.0,156517.0,106.0,97.0
ppg,161550.0,156406.0,106.0,97.0
ppg,161216.0,156265.0,106.0,97.0
ppg,163481.0,157214.0,106.0,97.0
ppg,163282.0,157128.0,106.0,97.0
ppg,163019.0,157014.0,106.0,97.0
ppg,162733.0,156899.0,106.0,97.0
ppg,162432.0,156765.0,106.0,97.0
ppg,162193.0,156660.0,106.0,97.0
ppg,161992.0,156570.0,106.0,97.0
ppg,161856.0,156506.0,106.0,97.0
ppg,161758.0,156458.0,106.0,97.0
ppg,161741.0,156450.0,106.0,97.0
ppg,161741.0,156450.0,106.0,97.0
ppg,161742.0,156444.0,106.0,97.0
ppg,161790.0,156461.0,106.0,97.0
ppg,161860.0,156499.0,106.0,97.0
ppg,161928.0,156524.0,106.0,97.0
ppg,161992.0,156562.0,106.0,97.0
ppg,162053.0,156588.0,106.0,97.0
ppg,162115.0,156613.0,106.0,97.0
ppg,162166.0,156631.0,106.0,97.0
ppg,162232.0,156662.0,106.0,97.0
ppg,162297.0,156678.0,106.0,97.0
ppg,162353.0,156712.0,106.0,97.0
ppg,162392.0,156722.0,106.0,97.0
ppg,162398.0,156730.0,106.0,97.0
ppg,162372.0,156716.0,106.0,97.0
ppg,162321.0,156697.0,106.0,97.0
ppg,162251.0,156674.0,106.0,97.0
ppg,162285.0,156687.0,106.0,97.0
ppg,162258.0,156682.0,106.0,97.0
ppg,161948.0,156549.0,106.0,97.0
ppg,161847.0,156497.0,106.0,97.0
ppg,161771.0,156464.0,106.0,97.0
ppg,162048.0,156594.0,106.0,97.0
ppg,161983.0,156555.0,106.0,97.0
ppg,161912.0,156534.0,106.0,97.0
ppg,161861.0,156500.0,106.0,97.0
ppg,161818.0,156490.0,106.0,97.0
ppg,161799.0,156477.0,106.0,97.0
ppg,161780.0,156473.0,106.0,97.0
ppg,161779.0,156474.0,106.0,97.0
ppg,161804.0,156486.0,106.0,97.0
ppg,161842.0,156500.0,106.0,97.0
ppg,161876.0,156511.0,106.0,97.0
ppg,161921.0,156533.0,106.0,97.0
ppg,161921.0,156533.0,106.0,97.0
ppg,161974.0,156556.0,106.0,97.0
ppg,162044.0,156583.0,106.0,97.0
ppg,162111.0,156613.0,106.0,97.0
ppg,162203.0,156660.0,106.0,97.0
ppg,162298.0,156703.0,106.0,97.0
ppg,162400.0,156753.0,106.0,97.0
ppg,162506.0,156800.0,106.0,97.0
ppg,162631.0,156843.0,106.0,97.0
ppg,162756.0,156900.0,106.0,97.0
ppg,162859.0,156955.0,106.0,97.0
ppg,162945.0,156989.0,106.0,97.0
ppg,162988.0,157002.0,106.0,97.0
ppg,162972.0,156996.0,106.0,97.0
ppg,162850.0,156955.0,106.0,97.0
ppg,162605.0,156789.0,106.0,97.0
ppg,162328.0,156671.0,106.0,97.0
ppg,162038.0,156528.0,106.0,97.0
ppg,161760.0,156387.0,106.0,97.0
ppg,161518.0,156292.0,106.0,97.0
ppg,161322.0,156194.0,106.0,97.0
ppg,161192.0,156139.0,106.0,97.0
ppg,161113.0,156094.0,106.0,97.0
ppg,161078.0,156069.0,106.0,97.0
ppg,161097.0,156073.0,106.0,97.0
ppg,161136.0,156087.0,106.0,97.0
ppg,161202.0,156114.0,106.0,97.0
ppg,161305.0,156158.0,106.0,97.0
ppg,161422.0,156201.0,106.0,97.0
ppg,161565.0,156266.0,106.0,97.0
ppg,161704.0,156325.0,106.0,97.0
ppg,161850.0,156401.0,106.0,97.0
ppg,161850.0,156401.0,106.0,97.0
ppg,162012.0,156463.0,106.0,97.0
ppg,162179.0,156544.0,106.0,97.0
ppg,162324.0,156609.0,106.0,97.0
ppg,162468.0,156663.0,106.0,97.0
ppg,162593.0,156738.0,106.0,97.0
ppg,162702.0,156785.0,106.0,97.0
ppg,162805.0,156826.0,106.0,97.0
ppg,162869.0,156857.0,106.0,97.0
ppg,162912.0,156873.0,106.0,97.0
ppg,165058.0,157808.0,106.0,97.0
ppg,165096.0,157836.0,106.0,97.0
ppg,165093.0,157841.0,106.0,97.0
ppg,165097.0,157836.0,106.0,97.0
ppg,165102.0,157846.0,106.0,97.0
ppg,165082.0,157833.0,106.0,97.0
ppg,165065.0,157837.0,106.0,97.0
ppg,165048.0,157829.0,106.0,97.0
ppg,165045.0,157827.0,107.0,97.0
ppg,165032.0,157826.0,107.0,97.0
ppg,165041.0,157837.0,107.0,97.0
ppg,165032.0,157830.0,107.0,97.0
ppg,165042.0,157836.0,107.0,97.0
ppg,165065.0,157845.0,107.0,97.0
ppg,165080.0,157863.0,107.0,97.0
ppg,165091.0,157867.0,107.0,97.0
ppg,165123.0,157877.0,107.0,97.0
ppg,165123.0,157877.0,107.0,97.0
ppg,165146.0,157879.0,107.0,97.0
ppg,165164.0,157899.0,107.0,97.0
ppg,165204.0,157916.0,107.0,97.0
ppg,165231.0,157925.0,107.0,97.0
ppg,165257.0,157925.0,107.0,97.0
ppg,165296.0,157954.0,107.0,97.0
ppg,165344.0,157974.0,107.0,97.0
ppg,165385.0,157988.0,107.0,97.0
ppg,165399.0,157995.0,107.0,97.0
ppg,165504.0,157978.0,107.0,97.0
ppg,165348.0,157967.0,107.0,97.0
ppg,165239.0,157929.0,107.0,97.0
ppg,165089.0,157861.0,107.0,97.0
ppg,164899.0,157779.0,107.0,97.0
ppg,164572.0,157538.0,107.0,97.0
ppg,164415.0,157464.0,107.0,97.0
ppg,164305.0,157419.0,107.0,97.0
ppg,164230.0,157371.0,107.0,97.0
ppg,164204.0,157362.0,107.0,97.0
ppg,164201.0,157368.0,107.0,97.0
ppg,164243.0,157370.0,107.0,97.0
ppg,164318.0,157408.0,107.0,97.0
ppg,164411.0,157454.0,107.0,97.0
ppg,164519.0,157516.0,107.0,97.0
ppg,164632.0,157563.0,107.0,97.0
ppg,164766.0,157628.0,107.0,97.0
ppg,164889.0,157680.0,107.0,97.0
ppg,165028.0,157741.0,107.0,97.0
