Category,Value1,Value2,Value3,Value4
ppg,177888.0,169053.0,86.0,96.0
ppg,177909.0,169064.0,86.0,96.0
ppg,177919.0,169070.0,86.0,96.0
ppg,177939.0,169061.0,86.0,96.0
ppg,177973.0,169080.0,86.0,96.0
ppg,178008.0,169091.0,86.0,96.0
ppg,178008.0,169091.0,86.0,96.0
ppg,178043.0,169095.0,86.0,96.0
ppg,178083.0,169108.0,86.0,96.0
ppg,178127.0,169114.0,86.0,96.0
ppg,178163.0,169140.0,86.0,96.0
ppg,178198.0,169142.0,86.0,96.0
ppg,178255.0,169166.0,86.0,96.0
ppg,178302.0,169187.0,86.0,96.0
ppg,178358.0,169214.0,86.0,96.0
ppg,178414.0,169240.0,86.0,96.0
ppg,178479.0,169274.0,86.0,96.0
ppg,178550.0,169302.0,86.0,96.0
ppg,178595.0,169316.0,86.0,96.0
ppg,178653.0,169338.0,86.0,96.0
ppg,178697.0,169368.0,86.0,96.0
ppg,178746.0,169390.0,86.0,96.0
ppg,178805.0,169406.0,86.0,96.0
ppg,178878.0,169426.0,86.0,96.0
ppg,178915.0,169457.0,86.0,96.0
ppg,177651.0,168819.0,86.0,97.0
ppg,177718.0,168837.0,86.0,97.0
ppg,177795.0,168860.0,86.0,97.0
ppg,177863.0,168911.0,86.0,97.0
ppg,177922.0,168933.0,86.0,97.0
ppg,178004.0,168975.0,86.0,97.0
ppg,178062.0,168998.0,86.0,97.0
ppg,178114.0,169013.0,86.0,97.0
ppg,178176.0,169039.0,86.0,97.0
ppg,178176.0,169039.0,86.0,97.0
ppg,178218.0,169055.0,86.0,97.0
ppg,178266.0,169082.0,86.0,97.0
ppg,178320.0,169099.0,86.0,97.0
ppg,178358.0,169114.0,86.0,97.0
ppg,178410.0,169137.0,86.0,97.0
ppg,178461.0,169149.0,86.0,97.0
ppg,178500.0,169168.0,86.0,97.0
ppg,178539.0,169177.0,86.0,97.0
ppg,178573.0,169193.0,86.0,97.0
ppg,178593.0,169204.0,86.0,97.0
ppg,178601.0,169205.0,86.0,97.0
ppg,178605.0,169200.0,86.0,97.0
ppg,178623.0,169205.0,86.0,97.0
ppg,178622.0,169214.0,86.0,97.0
ppg,178628.0,169211.0,86.0,97.0
ppg,178585.0,169200.0,86.0,97.0
ppg,178518.0,169169.0,86.0,97.0
ppg,178412.0,169133.0,86.0,97.0
ppg,178255.0,169069.0,86.0,97.0
ppg,178053.0,169002.0,86.0,97.0
ppg,177814.0,168898.0,86.0,97.0
ppg,177572.0,168808.0,86.0,97.0
ppg,177330.0,168712.0,86.0,97.0
ppg,179195.0,169539.0,86.0,97.0
ppg,179231.0,169562.0,86.0,97.0
ppg,179262.0,169580.0,86.0,97.0
ppg,179302.0,169597.0,86.0,97.0
ppg,179326.0,169618.0,86.0,97.0
ppg,179320.0,169612.0,86.0,97.0
ppg,179276.0,169606.0,86.0,97.0
ppg,179179.0,169577.0,86.0,97.0
ppg,179032.0,169533.0,86.0,97.0
ppg,178863.0,169476.0,86.0,97.0
ppg,178863.0,169476.0,86.0,97.0
ppg,178660.0,169392.0,86.0,97.0
ppg,178442.0,169303.0,86.0,97.0
ppg,178220.0,169213.0,86.0,97.0
ppg,177989.0,169132.0,86.0,97.0
ppg,177783.0,169038.0,86.0,97.0
ppg,177595.0,168962.0,86.0,97.0
ppg,177447.0,168904.0,86.0,97.0
ppg,177311.0,168831.0,86.0,97.0
ppg,177227.0,168802.0,86.0,97.0
ppg,177132.0,168756.0,86.0,97.0
ppg,177056.0,168719.0,86.0,97.0
ppg,177009.0,168698.0,86.0,97.0
ppg,176976.0,168678.0,86.0,97.0
ppg,176953.0,168660.0,86.0,97.0
ppg,176976.0,168669.0,86.0,97.0
ppg,177030.0,168688.0,86.0,97.0
ppg,177096.0,168709.0,86.0,97.0
ppg,178020.0,169197.0,86.0,97.0
ppg,177809.0,169100.0,86.0,97.0
ppg,177635.0,169022.0,86.0,97.0
ppg,177470.0,168952.0,86.0,97.0
ppg,177334.0,168877.0,86.0,97.0
ppg,177238.0,168827.0,86.0,97.0
ppg,177155.0,168799.0,86.0,97.0
ppg,177088.0,168762.0,86.0,97.0
ppg,177040.0,168739.0,86.0,97.0
ppg,176987.0,168710.0,86.0,97.0
ppg,177001.0,168710.0,86.0,97.0
ppg,177044.0,168716.0,86.0,97.0
ppg,177099.0,168735.0,86.0,97.0
ppg,177185.0,168761.0,86.0,97.0
ppg,177274.0,168794.0,86.0,97.0
ppg,177346.0,168810.0,86.0,97.0
ppg,177413.0,168841.0,86.0,97.0
ppg,177460.0,168858.0,86.0,97.0
ppg,177475.0,168858.0,86.0,97.0
ppg,177475.0,168858.0,86.0,97.0
ppg,177483.0,168863.0,86.0,97.0
ppg,177490.0,168866.0,86.0,97.0
ppg,177478.0,168859.0,86.0,97.0
ppg,177480.0,168850.0,86.0,97.0
ppg,177469.0,168848.0,86.0,97.0
ppg,177480.0,168844.0,86.0,97.0
ppg,177472.0,168848.0,86.0,97.0
ppg,177494.0,168847.0,86.0,97.0
ppg,176219.0,168209.0,86.0,97.0
ppg,176287.0,168209.0,86.0,97.0
ppg,176358.0,168242.0,86.0,97.0
ppg,177589.0,168876.0,86.0,97.0
ppg,177630.0,168883.0,86.0,97.0
ppg,176454.0,168284.0,86.0,97.0
ppg,176445.0,168271.0,86.0,97.0
ppg,176422.0,168257.0,86.0,97.0
ppg,176411.0,168257.0,86.0,97.0
ppg,176390.0,168246.0,86.0,97.0
ppg,176395.0,168252.0,86.0,97.0
ppg,176402.0,168249.0,86.0,97.0
ppg,176419.0,168260.0,86.0,97.0
ppg,176461.0,168275.0,86.0,97.0
ppg,176507.0,168302.0,86.0,97.0
ppg,176585.0,168340.0,86.0,97.0
ppg,176650.0,168373.0,86.0,97.0
ppg,176737.0,168407.0,86.0,97.0
ppg,176824.0,168443.0,86.0,97.0
ppg,176905.0,168488.0,86.0,97.0
ppg,177007.0,168530.0,86.0,97.0
ppg,177107.0,168568.0,86.0,97.0
ppg,177193.0,168611.0,86.0,97.0
ppg,177288.0,168666.0,86.0,97.0
ppg,177288.0,168666.0,86.0,97.0
ppg,177391.0,168709.0,86.0,97.0
ppg,177471.0,168734.0,86.0,97.0
ppg,177567.0,168782.0,86.0,97.0
ppg,177644.0,168814.0,86.0,97.0
ppg,177720.0,168852.0,86.0,97.0
ppg,177789.0,168890.0,86.0,97.0
ppg,177852.0,168910.0,86.0,97.0
ppg,177908.0,168947.0,86.0,97.0
ppg,177225.0,168705.0,86.0,97.0
ppg,177303.0,168744.0,86.0,97.0
ppg,177375.0,168782.0,86.0,97.0
ppg,177467.0,168818.0,86.0,97.0
ppg,177558.0,168860.0,86.0,97.0
ppg,177644.0,168902.0,86.0,97.0
ppg,177715.0,168937.0,86.0,97.0
ppg,177796.0,168973.0,86.0,97.0
ppg,177865.0,169007.0,86.0,97.0
ppg,177941.0,169030.0,86.0,97.0
ppg,178013.0,169065.0,86.0,97.0
