Category,Value1,Value2,Value3,Value4
ppg,133637.0,134302.0,0.0,0.0
ppg,133682.0,134345.0,0.0,0.0
ppg,144841.0,140452.0,0.0,0.0
ppg,144832.0,,,
ppg,161362.0,151739.0,112.0,97.0
ppg,161457.0,151768.0,112.0,97.0
ppg,161556.0,151804.0,112.0,97.0
ppg,161693.0,151847.0,112.0,97.0
ppg,161845.0,151915.0,112.0,97.0
ppg,161984.0,151962.0,112.0,97.0
ppg,161984.0,151962.0,112.0,97.0
ppg,162078.0,152001.0,112.0,97.0
ppg,162131.0,152020.0,112.0,97.0
ppg,162145.0,152011.0,112.0,97.0
ppg,162109.0,151994.0,112.0,97.0
ppg,162033.0,151950.0,112.0,97.0
ppg,161971.0,151922.0,112.0,97.0
ppg,161899.0,151892.0,112.0,97.0
ppg,161858.0,151865.0,112.0,97.0
ppg,161847.0,151847.0,112.0,97.0
ppg,161859.0,151847.0,112.0,97.0
ppg,161874.0,151841.0,112.0,97.0
ppg,161875.0,151856.0,112.0,97.0
ppg,161884.0,151837.0,112.0,97.0
ppg,161892.0,151822.0,112.0,97.0
ppg,161877.0,151813.0,112.0,97.0
ppg,161865.0,151796.0,112.0,97.0
ppg,161852.0,151787.0,112.0,97.0
ppg,161358.0,151417.0,112.0,97.0
ppg,161362.0,151409.0,112.0,97.0
ppg,161353.0,151399.0,112.0,97.0
ppg,161369.0,151388.0,112.0,97.0
ppg,161445.0,151427.0,112.0,97.0
ppg,161528.0,151460.0,112.0,97.0
ppg,161623.0,151500.0,112.0,97.0
ppg,161684.0,151532.0,112.0,97.0
ppg,161738.0,151547.0,112.0,97.0
ppg,161738.0,151547.0,112.0,97.0
ppg,161774.0,151564.0,112.0,97.0
ppg,161807.0,151572.0,112.0,97.0
ppg,161812.0,151562.0,112.0,97.0
ppg,161748.0,151531.0,112.0,97.0
ppg,161586.0,151463.0,112.0,97.0
ppg,161334.0,151359.0,112.0,97.0
ppg,161008.0,151241.0,112.0,97.0
ppg,160636.0,151089.0,112.0,97.0
ppg,160226.0,150935.0,112.0,97.0
ppg,159840.0,150769.0,112.0,97.0
ppg,159513.0,150623.0,112.0,97.0
ppg,159260.0,150520.0,112.0,97.0
ppg,159090.0,150435.0,112.0,97.0
ppg,159006.0,150410.0,112.0,97.0
ppg,159004.0,150407.0,112.0,97.0
ppg,159036.0,150424.0,112.0,97.0
ppg,160477.0,150814.0,111.0,97.0
ppg,160621.0,150880.0,111.0,97.0
ppg,159190.0,150499.0,112.0,97.0
ppg,159237.0,150508.0,112.0,97.0
ppg,159328.0,150527.0,112.0,97.0
ppg,161100.0,151083.0,111.0,97.0
ppg,161119.0,151089.0,111.0,97.0
ppg,161132.0,151103.0,111.0,97.0
ppg,161106.0,151079.0,111.0,97.0
ppg,161063.0,151042.0,111.0,97.0
ppg,161008.0,151029.0,111.0,97.0
ppg,160946.0,151017.0,111.0,97.0
ppg,160865.0,150979.0,111.0,97.0
ppg,160818.0,150951.0,111.0,97.0
ppg,160807.0,150948.0,111.0,97.0
ppg,160807.0,150948.0,111.0,97.0
ppg,160786.0,150945.0,111.0,97.0
ppg,160780.0,150942.0,111.0,97.0
ppg,160772.0,150943.0,111.0,97.0
ppg,160799.0,150955.0,111.0,97.0
ppg,160842.0,150972.0,111.0,97.0
ppg,160870.0,150994.0,111.0,97.0
ppg,160888.0,151008.0,111.0,97.0
ppg,160910.0,151005.0,111.0,97.0
ppg,160928.0,151005.0,111.0,97.0
ppg,160936.0,151013.0,111.0,97.0
ppg,160927.0,151012.0,111.0,97.0
ppg,160915.0,151002.0,111.0,97.0
ppg,160908.0,150996.0,111.0,97.0
ppg,160898.0,150996.0,111.0,97.0
ppg,160851.0,150958.0,111.0,97.0
ppg,160822.0,150962.0,111.0,97.0
ppg,160059.0,150563.0,112.0,97.0
ppg,160004.0,150558.0,112.0,97.0
ppg,159877.0,150485.0,112.0,97.0
ppg,159661.0,150400.0,112.0,97.0
ppg,159325.0,150261.0,112.0,97.0
ppg,158927.0,150103.0,112.0,97.0
ppg,158516.0,149921.0,112.0,97.0
ppg,158157.0,149779.0,112.0,97.0
ppg,157876.0,149665.0,112.0,97.0
ppg,157676.0,149590.0,112.0,97.0
ppg,157561.0,149533.0,112.0,97.0
ppg,157544.0,149532.0,112.0,97.0
ppg,157606.0,149568.0,112.0,97.0
ppg,157708.0,149616.0,112.0,97.0
ppg,157862.0,149684.0,112.0,97.0
ppg,158050.0,149761.0,112.0,97.0
ppg,158244.0,149847.0,112.0,97.0
ppg,158444.0,149936.0,112.0,97.0
ppg,158639.0,150022.0,112.0,97.0
ppg,158802.0,150087.0,112.0,97.0
ppg,158969.0,150155.0,112.0,97.0
ppg,158969.0,150155.0,112.0,97.0
ppg,158969.0,150155.0,112.0,97.0
ppg,158969.0,150155.0,112.0,97.0
ppg,159128.0,150225.0,112.0,97.0
ppg,159245.0,150285.0,112.0,97.0
ppg,159348.0,150322.0,112.0,97.0
ppg,158674.0,149941.0,112.0,97.0
ppg,158644.0,149916.0,112.0,97.0
ppg,158639.0,149914.0,112.0,97.0
ppg,158638.0,149918.0,112.0,97.0
ppg,158629.0,149916.0,112.0,97.0
ppg,158633.0,149907.0,112.0,97.0
ppg,158661.0,149919.0,112.0,97.0
ppg,158679.0,149933.0,112.0,97.0
ppg,158688.0,149925.0,112.0,97.0
ppg,158704.0,149931.0,112.0,97.0
ppg,158711.0,149938.0,113.0,97.0
