Category,Value1,Value2,Value3,Value4
ppg,184111.0,164296.0,0.0,0.0
ppg,180267.0,162529.0,67.0,98.0
ppg,180210.0,162516.0,67.0,98.0
ppg,180136.0,162497.0,67.0,98.0
ppg,180056.0,162474.0,67.0,98.0
ppg,179947.0,162431.0,67.0,98.0
ppg,179947.0,162431.0,67.0,98.0
ppg,179843.0,162403.0,67.0,98.0
ppg,179746.0,162372.0,67.0,98.0
ppg,179666.0,162351.0,67.0,98.0
ppg,179598.0,162332.0,67.0,98.0
ppg,179571.0,162325.0,67.0,98.0
ppg,179543.0,162317.0,67.0,98.0
ppg,179544.0,162326.0,67.0,98.0
ppg,179550.0,162337.0,67.0,98.0
ppg,179567.0,162333.0,67.0,98.0
ppg,179582.0,162356.0,67.0,98.0
ppg,179583.0,162361.0,67.0,98.0
ppg,179595.0,162361.0,67.0,98.0
ppg,179599.0,162375.0,67.0,98.0
ppg,179633.0,162375.0,67.0,98.0
ppg,179643.0,162388.0,67.0,98.0
ppg,179624.0,162394.0,67.0,98.0
ppg,179524.0,162345.0,67.0,98.0
ppg,179328.0,162275.0,67.0,98.0
ppg,177870.0,161835.0,0.0,98.0
ppg,178036.0,161913.0,0.0,98.0
ppg,178209.0,161982.0,0.0,98.0
ppg,178381.0,162073.0,0.0,98.0
ppg,178575.0,162178.0,0.0,98.0
ppg,178785.0,162293.0,0.0,98.0
ppg,179041.0,162413.0,0.0,98.0
ppg,179330.0,162547.0,0.0,98.0
ppg,179596.0,162671.0,0.0,98.0
ppg,179596.0,162671.0,0.0,98.0
ppg,179839.0,162792.0,0.0,98.0
ppg,180027.0,162875.0,0.0,98.0
ppg,180173.0,162942.0,0.0,98.0
ppg,180274.0,163002.0,0.0,98.0
ppg,180344.0,163021.0,0.0,98.0
ppg,180352.0,163034.0,0.0,98.0
ppg,180365.0,163039.0,0.0,98.0
ppg,180344.0,163051.0,0.0,98.0
ppg,180337.0,163050.0,0.0,98.0
ppg,180360.0,163075.0,0.0,98.0
ppg,180348.0,163072.0,0.0,98.0
ppg,180360.0,163084.0,0.0,98.0
ppg,180378.0,163101.0,0.0,98.0
ppg,180409.0,163113.0,0.0,98.0
ppg,180458.0,163145.0,0.0,98.0
ppg,180495.0,163166.0,0.0,98.0
ppg,180529.0,163190.0,0.0,98.0
ppg,180534.0,163212.0,0.0,98.0
ppg,180546.0,163223.0,0.0,98.0
ppg,180573.0,163239.0,0.0,98.0
ppg,180584.0,163262.0,0.0,98.0
ppg,180596.0,163276.0,0.0,98.0
ppg,180635.0,163294.0,0.0,98.0
ppg,180680.0,163329.0,0.0,98.0
ppg,180713.0,163362.0,0.0,98.0
ppg,182833.0,164063.0,0.0,98.0
ppg,182920.0,164089.0,0.0,98.0
ppg,183001.0,164106.0,0.0,98.0
ppg,183087.0,164139.0,0.0,98.0
ppg,183183.0,164171.0,0.0,98.0
ppg,183262.0,164189.0,0.0,98.0
ppg,183326.0,164212.0,0.0,98.0
ppg,183385.0,164229.0,0.0,98.0
ppg,183442.0,164237.0,0.0,98.0
ppg,183482.0,164247.0,0.0,98.0
ppg,183489.0,164285.0,0.0,98.0
ppg,183415.0,164294.0,0.0,98.0
ppg,183415.0,164294.0,0.0,98.0
ppg,183330.0,164303.0,0.0,98.0
ppg,183257.0,164262.0,0.0,98.0
ppg,183200.0,164230.0,0.0,98.0
ppg,183148.0,164229.0,0.0,98.0
ppg,183148.0,164229.0,0.0,98.0
ppg,183102.0,164231.0,0.0,98.0
ppg,183069.0,164214.0,0.0,98.0
ppg,183073.0,164221.0,0.0,98.0
ppg,183058.0,164225.0,0.0,98.0
ppg,183038.0,164225.0,0.0,98.0
ppg,183012.0,164228.0,0.0,98.0
ppg,182995.0,164231.0,0.0,98.0
ppg,182967.0,164218.0,0.0,98.0
ppg,182940.0,164225.0,0.0,98.0
ppg,182915.0,164224.0,0.0,98.0
ppg,182886.0,164229.0,0.0,98.0
ppg,182971.0,164482.0,0.0,98.0
ppg,183049.0,164522.0,0.0,98.0
ppg,183163.0,164562.0,0.0,98.0
ppg,183269.0,164593.0,0.0,98.0
ppg,183419.0,164640.0,0.0,98.0
ppg,183580.0,164706.0,0.0,98.0
ppg,183753.0,164751.0,0.0,98.0
ppg,183909.0,164847.0,0.0,98.0
ppg,183993.0,164902.0,0.0,98.0
ppg,184063.0,164944.0,0.0,98.0
ppg,184188.0,164998.0,0.0,98.0
ppg,184306.0,165042.0,0.0,98.0
ppg,184408.0,165091.0,0.0,98.0
ppg,184497.0,165117.0,0.0,98.0
ppg,184561.0,165153.0,0.0,98.0
ppg,184629.0,165187.0,0.0,98.0
ppg,184665.0,165198.0,0.0,98.0
ppg,184711.0,165223.0,0.0,98.0
ppg,184750.0,165238.0,0.0,98.0
ppg,184794.0,165259.0,0.0,98.0
ppg,184834.0,165286.0,0.0,98.0
ppg,184861.0,165299.0,0.0,98.0
ppg,184895.0,165324.0,0.0,98.0
ppg,184915.0,165335.0,0.0,98.0
ppg,184943.0,165349.0,0.0,98.0
ppg,184971.0,165362.0,0.0,98.0
ppg,184987.0,165377.0,0.0,98.0
ppg,185010.0,165389.0,0.0,98.0
ppg,185010.0,165389.0,0.0,98.0
ppg,185044.0,165400.0,0.0,98.0
ppg,185065.0,165405.0,0.0,98.0
ppg,185122.0,165422.0,0.0,98.0
ppg,185169.0,165446.0,0.0,98.0
ppg,185237.0,165475.0,0.0,98.0
ppg,185314.0,165496.0,0.0,98.0
ppg,185055.0,165548.0,0.0,0.0
ppg,185120.0,165574.0,0.0,0.0
ppg,185162.0,165597.0,0.0,0.0
ppg,185211.0,165612.0,0.0,0.0
ppg,185285.0,165643.0,0.0,0.0
ppg,185364.0,165667.0,0.0,0.0
ppg,185441.0,165707.0,0.0,0.0
ppg,185512.0,165739.0,0.0,0.0
ppg,185593.0,165762.0,0.0,0.0
ppg,185659.0,165785.0,0.0,0.0
ppg,185728.0,165807.0,0.0,0.0
ppg,185780.0,165833.0,0.0,0.0
