Category,Value1,Value2,Value3,Value4
ppg,51125.0,54741.0,0.0,0.0
ppg,50937.0,53420.0,0.0,0.0
ppg,52097.0,53235.0,0.0,0.0
ppg,53038.0,53561.0,0.0,0.0
ppg,54.0,0.0,0.0,
ppg,51920.0,56854.0,0.0,0.0
ppg,51125.0,54741.0,0.0,0.0
ppg,50937.0,53420.0,0.0,0.0
ppg,52097.0,53235.0,0.0,0.0
ppg,53038.0,53561.0,0.0,0.0
ppg,54.0,0.0,0.0,
ppg,51920.0,56854.0,0.0,0.0
ppg,51125.0,54741.0,0.0,0.0
ppg,50937.0,53420.0,0.0,0.0
ppg,52097.0,53235.0,0.0,0.0
ppg,53038.0,53561.0,0.0,0.0
ppg,54.0,,,
ppg,163236.0,149989.0,104.0,96.0
ppg,163237.0,149986.0,104.0,96.0
ppg,163242.0,150002.0,104.0,96.0
ppg,163251.0,150009.0,104.0,96.0
ppg,163251.0,150009.0,104.0,96.0
ppg,163258.0,150020.0,104.0,96.0
ppg,163272.0,150023.0,104.0,96.0
ppg,163279.0,150018.0,104.0,96.0
ppg,163293.0,150019.0,104.0,96.0
ppg,163288.0,150017.0,104.0,96.0
ppg,163283.0,150009.0,104.0,96.0
ppg,163267.0,150001.0,104.0,96.0
ppg,163266.0,150005.0,104.0,96.0
ppg,163266.0,149999.0,104.0,96.0
ppg,163263.0,149990.0,104.0,96.0
ppg,163286.0,149996.0,104.0,96.0
ppg,163308.0,149999.0,104.0,96.0
ppg,163319.0,150013.0,104.0,96.0
ppg,163338.0,150015.0,104.0,96.0
ppg,163338.0,150014.0,104.0,96.0
ppg,163320.0,150015.0,104.0,96.0
ppg,163256.0,149991.0,104.0,96.0
ppg,163169.0,149957.0,104.0,96.0
ppg,163035.0,149920.0,104.0,96.0
ppg,162891.0,149846.0,104.0,96.0
ppg,162760.0,149798.0,104.0,96.0
ppg,162611.0,149749.0,104.0,96.0
ppg,162459.0,149694.0,104.0,96.0
ppg,162302.0,149649.0,104.0,96.0
ppg,162155.0,149608.0,104.0,96.0
ppg,162029.0,149554.0,104.0,96.0
ppg,161932.0,149519.0,104.0,96.0
ppg,161932.0,149519.0,104.0,96.0
ppg,161846.0,149494.0,104.0,96.0
ppg,161802.0,149488.0,104.0,96.0
ppg,161781.0,149471.0,104.0,96.0
ppg,161781.0,149473.0,104.0,96.0
ppg,161806.0,149485.0,104.0,96.0
ppg,161852.0,149511.0,104.0,96.0
ppg,161922.0,149542.0,104.0,96.0
ppg,162024.0,149586.0,104.0,96.0
ppg,162125.0,149633.0,104.0,96.0
ppg,162230.0,149669.0,104.0,96.0
ppg,162326.0,149716.0,104.0,96.0
ppg,162424.0,149755.0,104.0,96.0
ppg,162535.0,149788.0,104.0,96.0
ppg,162641.0,149830.0,104.0,96.0
ppg,162728.0,149870.0,104.0,96.0
ppg,162801.0,149906.0,104.0,96.0
ppg,162865.0,149931.0,104.0,96.0
ppg,162507.0,149781.0,103.0,96.0
ppg,162539.0,149783.0,103.0,96.0
ppg,162902.0,149936.0,104.0,96.0
ppg,162880.0,149926.0,104.0,96.0
ppg,162856.0,149923.0,104.0,96.0
ppg,162825.0,149908.0,104.0,96.0
ppg,162513.0,149770.0,103.0,96.0
ppg,162456.0,149755.0,103.0,96.0
ppg,162403.0,149734.0,103.0,96.0
ppg,162403.0,149734.0,103.0,96.0
ppg,162356.0,149717.0,103.0,96.0
ppg,162320.0,149700.0,103.0,96.0
ppg,162320.0,149700.0,103.0,96.0
ppg,162320.0,149700.0,103.0,96.0
ppg,162266.0,149682.0,103.0,96.0
ppg,162232.0,149673.0,103.0,96.0
ppg,162206.0,149664.0,103.0,96.0
ppg,162204.0,149661.0,103.0,96.0
ppg,162199.0,149669.0,103.0,96.0
ppg,162229.0,149681.0,103.0,96.0
ppg,162249.0,149697.0,103.0,96.0
ppg,162288.0,149704.0,103.0,96.0
ppg,162318.0,149725.0,103.0,96.0
ppg,162348.0,149728.0,103.0,96.0
ppg,162378.0,149745.0,103.0,96.0
ppg,162423.0,149759.0,103.0,96.0
ppg,162457.0,149764.0,103.0,96.0
ppg,162494.0,149791.0,103.0,96.0
ppg,162549.0,149808.0,103.0,96.0
ppg,162599.0,149842.0,103.0,96.0
ppg,162660.0,149860.0,103.0,96.0
ppg,162706.0,149868.0,103.0,96.0
ppg,162432.0,149780.0,103.0,96.0
ppg,162487.0,149798.0,103.0,96.0
ppg,162549.0,149835.0,103.0,96.0
ppg,162605.0,149852.0,103.0,96.0
ppg,162662.0,149880.0,103.0,96.0
ppg,162712.0,149905.0,103.0,96.0
ppg,162759.0,149909.0,103.0,96.0
ppg,162791.0,149923.0,103.0,96.0
ppg,162801.0,149923.0,103.0,96.0
ppg,162783.0,149924.0,103.0,96.0
ppg,162717.0,149898.0,103.0,96.0
ppg,162610.0,149853.0,103.0,96.0
ppg,162461.0,149792.0,103.0,96.0
ppg,162283.0,149726.0,103.0,96.0
ppg,162101.0,149664.0,103.0,96.0
ppg,161912.0,149578.0,103.0,96.0
ppg,161731.0,149511.0,103.0,96.0
ppg,161565.0,149442.0,103.0,96.0
ppg,161565.0,149442.0,103.0,96.0
ppg,161422.0,149390.0,103.0,96.0
ppg,161283.0,149329.0,103.0,96.0
ppg,161188.0,149275.0,103.0,96.0
ppg,161143.0,149259.0,103.0,96.0
ppg,161122.0,149247.0,103.0,96.0
ppg,161137.0,149244.0,103.0,96.0
ppg,161179.0,149268.0,103.0,96.0
ppg,161245.0,149290.0,103.0,96.0
ppg,160903.0,149120.0,103.0,96.0
ppg,160903.0,149114.0,103.0,96.0
ppg,160915.0,149109.0,103.0,96.0
ppg,160955.0,149133.0,103.0,96.0
ppg,161009.0,149139.0,103.0,96.0
ppg,161065.0,149159.0,103.0,96.0
ppg,161142.0,149189.0,103.0,96.0
ppg,161225.0,149232.0,103.0,96.0
ppg,161320.0,149258.0,103.0,96.0
ppg,161420.0,149301.0,103.0,96.0
ppg,161499.0,149335.0,103.0,96.0
ppg,161580.0,149360.0,103.0,96.0
ppg,161648.0,149385.0,103.0,96.0
ppg,161712.0,149408.0,103.0,96.0
ppg,161749.0,149430.0,103.0,96.0
ppg,161781.0,149440.0,103.0,96.0
ppg,161786.0,149449.0,103.0,96.0
ppg,161777.0,149455.0,103.0,96.0
ppg,161777.0,149455.0,103.0,96.0
ppg,161744.0,149431.0,103.0,96.0
ppg,161703.0,149419.0,103.0,96.0
ppg,161655.0,149401.0,103.0,96.0
ppg,161608.0,149387.0,103.0,96.0
ppg,161562.0,149365.0,103.0,96.0
ppg,161533.0,149360.0,103.0,96.0
ppg,161509.0,149347.0,103.0,96.0
ppg,161479.0,149340.0,103.0,96.0
ppg,161680.0,149425.0,103.0,96.0
ppg,161628.0,149412.0,103.0,96.0
ppg,161593.0,149397.0,103.0,96.0
ppg,161512.0,149359.0,103.0,96.0
ppg,161545.0,149362.0,103.0,96.0
ppg,161482.0,149352.0,103.0,96.0
ppg,161479.0,149351.0,103.0,96.0
ppg,161469.0,149347.0,103.0,96.0
ppg,161482.0,149346.0,103.0,96.0
ppg,161486.0,149350.0,103.0,96.0
ppg,161509.0,149356.0,103.0,96.0
ppg,161519.0,149361.0,103.0,96.0
ppg,161534.0,149355.0,103.0,96.0
ppg,161544.0,149352.0,103.0,96.0
ppg,161547.0,149353.0,103.0,96.0
ppg,161573.0,149354.0,103.0,96.0
ppg,161600.0,149375.0,103.0,96.0
ppg,161617.0,149377.0,103.0,96.0
ppg,161648.0,149391.0,103.0,96.0
ppg,161661.0,149393.0,103.0,96.0
ppg,161673.0,149390.0,103.0,96.0
ppg,161681.0,149388.0,103.0,96.0
ppg,161685.0,149388.0,103.0,96.0
ppg,161685.0,149388.0,103.0,96.0
ppg,161681.0,149384.0,103.0,96.0
ppg,161675.0,149383.0,103.0,96.0
ppg,161622.0,149369.0,103.0,96.0
ppg,161529.0,149340.0,103.0,96.0
ppg,161383.0,149278.0,103.0,96.0
ppg,161207.0,149205.0,101.0,96.0
ppg,161003.0,149138.0,101.0,96.0
ppg,160772.0,149043.0,101.0,96.0
ppg,160018.0,148770.0,101.0,98.0
ppg,159784.0,148689.0,101.0,98.0
ppg,159556.0,148593.0,101.0,98.0
ppg,159311.0,148510.0,101.0,98.0
ppg,159100.0,148427.0,101.0,98.0
ppg,158916.0,148361.0,101.0,98.0
ppg,158759.0,148295.0,101.0,98.0
ppg,158634.0,148248.0,101.0,98.0
ppg,158545.0,148197.0,101.0,98.0
ppg,158483.0,148177.0,101.0,98.0
ppg,158467.0,148177.0,101.0,98.0
ppg,158495.0,148189.0,101.0,98.0
ppg,158558.0,148223.0,101.0,98.0
ppg,158645.0,148261.0,101.0,98.0
ppg,158748.0,148310.0,101.0,98.0
ppg,158860.0,148365.0,101.0,98.0
ppg,158982.0,148421.0,101.0,98.0
ppg,159106.0,148458.0,101.0,98.0
ppg,159106.0,148458.0,101.0,98.0
ppg,159211.0,148499.0,101.0,98.0
ppg,159324.0,148550.0,101.0,98.0
ppg,159427.0,148587.0,101.0,98.0
ppg,159510.0,148613.0,101.0,98.0
ppg,159588.0,148648.0,101.0,98.0
ppg,159633.0,148674.0,101.0,98.0
ppg,159654.0,148675.0,101.0,98.0
ppg,159195.0,148577.0,100.0,98.0
ppg,159266.0,148604.0,100.0,98.0
ppg,159315.0,148629.0,100.0,98.0
ppg,159335.0,148631.0,100.0,98.0
ppg,159333.0,148632.0,100.0,98.0
ppg,159287.0,148616.0,100.0,98.0
ppg,159227.0,148589.0,100.0,98.0
ppg,159156.0,148560.0,100.0,98.0
ppg,159084.0,148523.0,100.0,98.0
ppg,159017.0,148497.0,100.0,98.0
ppg,158944.0,148477.0,100.0,98.0
ppg,158893.0,148458.0,100.0,98.0
ppg,158879.0,148454.0,100.0,98.0
ppg,158860.0,148459.0,100.0,98.0
ppg,158860.0,148453.0,100.0,98.0
ppg,158878.0,148476.0,100.0,98.0
ppg,158913.0,148486.0,100.0,98.0
ppg,158945.0,148502.0,100.0,98.0
ppg,158983.0,148518.0,100.0,98.0
ppg,158983.0,148518.0,100.0,98.0
ppg,159024.0,148533.0,100.0,98.0
ppg,159024.0,148533.0,100.0,98.0
ppg,159024.0,148533.0,100.0,98.0
