Category,Value1,Value2,Value3,Value4
ppg,125.0,7.0,0.0,0.0
ppg,1.0,,,
ppg,183661.0,162610.0,102.0,93.0
ppg,183702.0,162624.0,102.0,93.0
ppg,183718.0,162652.0,102.0,93.0
ppg,183727.0,162652.0,102.0,93.0
ppg,183730.0,162652.0,102.0,93.0
ppg,183730.0,162652.0,102.0,93.0
ppg,183741.0,162667.0,102.0,93.0
ppg,183753.0,162662.0,102.0,93.0
ppg,183738.0,162656.0,102.0,93.0
ppg,183754.0,162652.0,102.0,93.0
ppg,183776.0,162665.0,102.0,93.0
ppg,183797.0,162682.0,102.0,93.0
ppg,183826.0,162696.0,102.0,93.0
ppg,183876.0,162729.0,102.0,93.0
ppg,183905.0,162750.0,102.0,93.0
ppg,183937.0,162767.0,102.0,93.0
ppg,183954.0,162775.0,102.0,93.0
ppg,183992.0,162793.0,102.0,93.0
ppg,184009.0,162798.0,102.0,93.0
ppg,184054.0,162821.0,102.0,93.0
ppg,184076.0,162835.0,102.0,93.0
ppg,184093.0,162850.0,102.0,93.0
ppg,184105.0,162862.0,102.0,93.0
ppg,184229.0,162965.0,95.0,93.0
ppg,184231.0,162968.0,95.0,93.0
ppg,184247.0,162961.0,95.0,93.0
ppg,184264.0,162975.0,95.0,93.0
ppg,184268.0,162980.0,95.0,93.0
ppg,184271.0,162978.0,95.0,93.0
ppg,184277.0,162968.0,0.0,93.0
ppg,184282.0,162963.0,0.0,93.0
ppg,184285.0,162965.0,0.0,93.0
ppg,184278.0,162958.0,0.0,93.0
ppg,184278.0,162958.0,0.0,93.0
ppg,184283.0,162956.0,0.0,93.0
ppg,184292.0,162961.0,0.0,93.0
ppg,184280.0,162961.0,0.0,93.0
ppg,184277.0,162964.0,0.0,93.0
ppg,184295.0,162952.0,0.0,93.0
ppg,184279.0,162962.0,0.0,93.0
ppg,184283.0,162956.0,0.0,93.0
ppg,184272.0,162946.0,0.0,93.0
ppg,184280.0,162941.0,0.0,93.0
ppg,184274.0,162944.0,0.0,93.0
ppg,184267.0,162944.0,0.0,93.0
ppg,184267.0,162936.0,0.0,93.0
ppg,184282.0,162942.0,0.0,93.0
ppg,184271.0,162941.0,0.0,93.0
ppg,184275.0,162935.0,0.0,93.0
ppg,184280.0,162941.0,0.0,93.0
ppg,184273.0,162931.0,0.0,93.0
ppg,184277.0,162942.0,0.0,93.0
ppg,184278.0,162933.0,0.0,93.0
ppg,184277.0,162939.0,0.0,93.0
ppg,184283.0,162942.0,0.0,93.0
ppg,184266.0,162935.0,0.0,93.0
ppg,184224.0,162927.0,0.0,93.0
ppg,184190.0,162922.0,0.0,93.0
ppg,184417.0,163023.0,95.0,93.0
ppg,184420.0,163031.0,95.0,93.0
ppg,184431.0,163024.0,95.0,93.0
ppg,184444.0,163044.0,95.0,93.0
ppg,184453.0,163041.0,95.0,93.0
ppg,184465.0,163046.0,95.0,93.0
ppg,184479.0,163063.0,95.0,93.0
ppg,184506.0,163068.0,95.0,93.0
ppg,184521.0,163069.0,95.0,93.0
ppg,184531.0,163077.0,95.0,93.0
ppg,184548.0,163085.0,95.0,93.0
ppg,184549.0,163080.0,95.0,93.0
ppg,184549.0,163080.0,95.0,93.0
ppg,184552.0,163090.0,95.0,93.0
ppg,184563.0,163091.0,95.0,93.0
ppg,184576.0,163088.0,95.0,93.0
ppg,184593.0,163106.0,95.0,93.0
ppg,184642.0,163118.0,95.0,93.0
ppg,184656.0,163132.0,95.0,93.0
ppg,184690.0,163157.0,95.0,93.0
ppg,184738.0,163178.0,95.0,93.0
ppg,184775.0,163203.0,95.0,93.0
ppg,184848.0,163241.0,95.0,93.0
ppg,184915.0,163291.0,95.0,93.0
ppg,185008.0,163344.0,95.0,93.0
ppg,185099.0,163383.0,95.0,93.0
ppg,185194.0,163461.0,95.0,93.0
ppg,185241.0,163512.0,95.0,93.0
ppg,187404.0,165427.0,95.0,93.0
ppg,187513.0,165514.0,95.0,93.0
ppg,187650.0,165620.0,95.0,93.0
ppg,187824.0,165746.0,95.0,93.0
ppg,188012.0,165904.0,95.0,93.0
ppg,188175.0,166018.0,95.0,93.0
ppg,188322.0,166140.0,95.0,93.0
ppg,188472.0,166216.0,95.0,93.0
ppg,188598.0,166291.0,95.0,93.0
ppg,188700.0,166308.0,95.0,93.0
ppg,188512.0,166142.0,95.0,93.0
ppg,188281.0,165961.0,95.0,93.0
ppg,188058.0,165792.0,95.0,93.0
ppg,187923.0,165678.0,95.0,93.0
ppg,187830.0,165612.0,95.0,93.0
ppg,187746.0,165557.0,95.0,93.0
ppg,187579.0,165436.0,95.0,93.0
ppg,187579.0,165436.0,95.0,93.0
ppg,187407.0,165312.0,95.0,93.0
ppg,187291.0,165216.0,95.0,93.0
ppg,187190.0,165137.0,95.0,93.0
ppg,187104.0,165083.0,95.0,93.0
ppg,187029.0,165045.0,95.0,93.0
ppg,186975.0,165001.0,95.0,93.0
ppg,186925.0,164972.0,95.0,93.0
ppg,186867.0,164950.0,95.0,93.0
ppg,186829.0,164917.0,95.0,93.0
ppg,186815.0,164905.0,95.0,93.0
ppg,186988.0,164467.0,95.0,93.0
ppg,187007.0,164466.0,95.0,93.0
ppg,187026.0,164462.0,95.0,93.0
ppg,186758.0,164802.0,95.0,93.0
ppg,186728.0,164780.0,95.0,93.0
ppg,187040.0,164469.0,95.0,93.0
ppg,187024.0,164466.0,95.0,93.0
ppg,187018.0,164447.0,95.0,93.0
ppg,187021.0,164443.0,95.0,93.0
ppg,186992.0,164405.0,95.0,93.0
ppg,186991.0,164406.0,95.0,93.0
ppg,186986.0,164391.0,95.0,93.0
ppg,186972.0,164384.0,95.0,93.0
