Category,Value1,Value2,Value3,Value4
ppg,138058.0,127842.0,95.0,0.0
ppg,138048.0,127850.0,95.0,0.0
ppg,138074.0,127854.0,95.0,0.0
ppg,137681.0,,,
ppg,138841.0,128998.0,99.0,95.0
ppg,138841.0,128985.0,99.0,95.0
ppg,138820.0,128983.0,99.0,95.0
ppg,138792.0,128975.0,99.0,95.0
ppg,138747.0,128941.0,99.0,95.0
ppg,138747.0,128941.0,99.0,95.0
ppg,138707.0,128927.0,99.0,95.0
ppg,138681.0,128915.0,99.0,95.0
ppg,138638.0,128893.0,99.0,95.0
ppg,138593.0,128867.0,99.0,95.0
ppg,138548.0,128847.0,99.0,95.0
ppg,138518.0,128836.0,99.0,95.0
ppg,138487.0,128814.0,99.0,95.0
ppg,138465.0,128806.0,99.0,95.0
ppg,138454.0,128799.0,99.0,95.0
ppg,138442.0,128788.0,99.0,95.0
ppg,138462.0,128793.0,99.0,95.0
ppg,138456.0,128789.0,99.0,95.0
ppg,138460.0,128791.0,99.0,95.0
ppg,138452.0,128793.0,99.0,95.0
ppg,138460.0,128788.0,99.0,95.0
ppg,138469.0,128792.0,99.0,95.0
ppg,138479.0,128802.0,99.0,95.0
ppg,138504.0,128813.0,99.0,95.0
ppg,138530.0,128827.0,99.0,95.0
ppg,139087.0,129124.0,0.0,95.0
ppg,139091.0,129132.0,0.0,95.0
ppg,139088.0,129129.0,0.0,95.0
ppg,139060.0,129114.0,0.0,95.0
ppg,139003.0,129088.0,0.0,95.0
ppg,138931.0,129045.0,0.0,95.0
ppg,138900.0,129022.0,0.0,95.0
ppg,138881.0,129009.0,0.0,95.0
ppg,138888.0,129009.0,0.0,95.0
ppg,138888.0,129009.0,0.0,95.0
ppg,138882.0,129005.0,0.0,95.0
ppg,138876.0,129000.0,0.0,95.0
ppg,138878.0,128996.0,0.0,95.0
ppg,138891.0,129005.0,0.0,95.0
ppg,138896.0,129011.0,0.0,95.0
ppg,138850.0,128988.0,0.0,95.0
ppg,138751.0,128945.0,0.0,95.0
ppg,138631.0,128888.0,0.0,95.0
ppg,138513.0,128829.0,0.0,95.0
ppg,138398.0,128769.0,0.0,95.0
ppg,138297.0,128721.0,0.0,95.0
ppg,138234.0,128688.0,0.0,95.0
ppg,138227.0,128683.0,0.0,95.0
ppg,138289.0,128709.0,0.0,95.0
ppg,138350.0,128742.0,0.0,95.0
ppg,138416.0,128783.0,0.0,95.0
