Category,Value1,Value2,Value3,Value4
ppg,148498.0,144723.0,0.0,0.0
ppg,148930.0,144956.0,0.0,0.0
ppg,0.0,0.0,,
ppg,177.0,2.0,0.0,0.0
ppg,182.0,3.0,0.0,0.0
ppg,190.0,3.0,0.0,0.0
ppg,195.0,2.0,0.0,0.0
ppg,148498.0,144723.0,0.0,0.0
ppg,148930.0,144956.0,0.0,0.0
ppg,,,,
ppg,188270.0,169428.0,116.0,95.0
ppg,188267.0,169395.0,116.0,95.0
ppg,188244.0,169392.0,116.0,95.0
ppg,188240.0,169380.0,116.0,95.0
ppg,188222.0,169360.0,116.0,95.0
ppg,188226.0,169335.0,116.0,95.0
ppg,188226.0,169335.0,116.0,95.0
ppg,188197.0,169309.0,116.0,95.0
ppg,188189.0,169309.0,116.0,95.0
ppg,188195.0,169302.0,116.0,95.0
ppg,188191.0,169290.0,116.0,95.0
ppg,188224.0,169311.0,116.0,95.0
ppg,188242.0,169326.0,116.0,95.0
ppg,188280.0,169343.0,116.0,95.0
ppg,188288.0,169352.0,116.0,95.0
ppg,188303.0,169356.0,116.0,95.0
ppg,188331.0,169387.0,116.0,95.0
ppg,188352.0,169397.0,116.0,95.0
ppg,188372.0,169411.0,116.0,95.0
ppg,188380.0,169415.0,116.0,95.0
ppg,188398.0,169415.0,116.0,95.0
ppg,188416.0,169434.0,116.0,95.0
ppg,188443.0,169448.0,116.0,95.0
ppg,188712.0,169544.0,117.0,95.0
ppg,188636.0,169492.0,117.0,95.0
ppg,188548.0,169430.0,117.0,95.0
ppg,188412.0,169367.0,117.0,95.0
ppg,188285.0,169294.0,117.0,95.0
ppg,188200.0,169249.0,117.0,95.0
ppg,188132.0,169215.0,117.0,95.0
ppg,188099.0,169200.0,117.0,95.0
ppg,188123.0,169219.0,117.0,95.0
ppg,188151.0,169230.0,117.0,95.0
ppg,188224.0,169274.0,117.0,95.0
ppg,188261.0,169317.0,117.0,95.0
ppg,188334.0,169348.0,117.0,95.0
ppg,188399.0,169385.0,117.0,95.0
ppg,188464.0,169419.0,117.0,95.0
ppg,188518.0,169456.0,117.0,95.0
ppg,188568.0,169483.0,117.0,95.0
ppg,188612.0,169515.0,117.0,95.0
ppg,188672.0,169549.0,117.0,95.0
