Category,Value1,Value2,Value3,Value4
ppg,184515.0,166037.0,0.0,0.0
ppg,184573.0,166053.0,0.0,0.0
ppg,1.0,,,
ppg,179049.0,160895.0,76.0,97.0
ppg,179054.0,160900.0,76.0,97.0
ppg,179078.0,160903.0,76.0,97.0
ppg,179089.0,160908.0,76.0,97.0
ppg,179089.0,160908.0,76.0,97.0
ppg,179116.0,160919.0,76.0,97.0
ppg,179147.0,160928.0,76.0,97.0
ppg,179186.0,160946.0,76.0,97.0
ppg,179215.0,160962.0,76.0,97.0
ppg,179247.0,160971.0,76.0,97.0
ppg,179270.0,160974.0,76.0,97.0
ppg,179294.0,160989.0,76.0,97.0
ppg,179329.0,160997.0,76.0,97.0
ppg,179355.0,161002.0,76.0,97.0
ppg,179381.0,161012.0,76.0,97.0
ppg,179407.0,161026.0,76.0,97.0
ppg,179426.0,161020.0,76.0,97.0
ppg,179444.0,161016.0,76.0,97.0
ppg,179461.0,161024.0,76.0,97.0
ppg,179480.0,161046.0,76.0,97.0
ppg,179516.0,161056.0,76.0,97.0
ppg,179554.0,161078.0,76.0,97.0
ppg,179592.0,161087.0,76.0,97.0
ppg,179633.0,161120.0,76.0,97.0
ppg,179660.0,161131.0,76.0,97.0
ppg,179038.0,160849.0,76.0,97.0
ppg,179035.0,160854.0,76.0,97.0
ppg,179019.0,160841.0,76.0,97.0
ppg,179030.0,160842.0,76.0,97.0
ppg,179044.0,160843.0,76.0,97.0
ppg,179067.0,160845.0,76.0,97.0
ppg,179088.0,160863.0,76.0,97.0
ppg,179147.0,160887.0,76.0,97.0
ppg,179147.0,160887.0,76.0,97.0
ppg,179196.0,160912.0,76.0,97.0
ppg,179252.0,160926.0,76.0,97.0
ppg,179301.0,160948.0,76.0,97.0
ppg,179345.0,160965.0,76.0,97.0
ppg,179398.0,160998.0,76.0,97.0
ppg,179451.0,161022.0,76.0,97.0
ppg,179508.0,161056.0,76.0,97.0
ppg,179551.0,161055.0,76.0,97.0
ppg,179585.0,161071.0,76.0,97.0
ppg,179598.0,161080.0,76.0,97.0
ppg,179619.0,161081.0,76.0,97.0
ppg,179655.0,161085.0,76.0,97.0
ppg,179708.0,161108.0,76.0,97.0
ppg,179762.0,161131.0,76.0,97.0
ppg,179817.0,161141.0,76.0,97.0
ppg,179866.0,161182.0,76.0,97.0
ppg,179928.0,161217.0,76.0,97.0
ppg,179951.0,161221.0,76.0,97.0
ppg,179982.0,161242.0,76.0,97.0
ppg,180005.0,161246.0,76.0,97.0
ppg,180044.0,161259.0,76.0,97.0
ppg,180074.0,161268.0,76.0,97.0
ppg,180100.0,161284.0,76.0,97.0
ppg,180146.0,161307.0,76.0,97.0
ppg,179630.0,161050.0,76.0,97.0
ppg,179666.0,161069.0,76.0,97.0
ppg,179702.0,161076.0,76.0,97.0
ppg,179724.0,161093.0,76.0,97.0
ppg,179756.0,161100.0,76.0,97.0
ppg,179800.0,161108.0,76.0,97.0
ppg,179826.0,161117.0,76.0,97.0
ppg,179860.0,161131.0,76.0,97.0
ppg,179904.0,161153.0,76.0,97.0
ppg,179904.0,161153.0,76.0,97.0
ppg,179972.0,161178.0,76.0,97.0
ppg,179991.0,161184.0,76.0,97.0
ppg,180032.0,161200.0,76.0,97.0
ppg,180073.0,161221.0,76.0,97.0
ppg,180122.0,161231.0,76.0,97.0
ppg,180153.0,161243.0,76.0,97.0
ppg,180175.0,161261.0,76.0,97.0
ppg,180197.0,161258.0,76.0,97.0
ppg,180215.0,161266.0,76.0,97.0
ppg,180222.0,161274.0,76.0,97.0
ppg,180235.0,161267.0,76.0,97.0
ppg,180254.0,161275.0,76.0,97.0
ppg,180273.0,161283.0,76.0,97.0
ppg,180299.0,161299.0,76.0,97.0
ppg,180315.0,161313.0,76.0,97.0
ppg,180337.0,161317.0,76.0,97.0
ppg,180364.0,161315.0,76.0,97.0
ppg,180363.0,161315.0,76.0,97.0
ppg,179769.0,161029.0,75.0,97.0
ppg,179810.0,161039.0,75.0,97.0
ppg,179845.0,161056.0,75.0,97.0
ppg,179898.0,161070.0,75.0,97.0
ppg,179938.0,161095.0,75.0,97.0
ppg,179982.0,161103.0,75.0,97.0
ppg,180033.0,161125.0,75.0,97.0
ppg,180083.0,161148.0,75.0,97.0
ppg,180123.0,161165.0,75.0,97.0
ppg,180158.0,161163.0,75.0,97.0
ppg,180158.0,161163.0,75.0,97.0
ppg,180179.0,161164.0,75.0,97.0
ppg,180197.0,161179.0,75.0,97.0
ppg,180232.0,161206.0,75.0,97.0
ppg,180263.0,161190.0,75.0,97.0
ppg,180288.0,161208.0,75.0,97.0
ppg,180316.0,161214.0,75.0,97.0
ppg,180332.0,161230.0,75.0,97.0
ppg,180345.0,161234.0,75.0,97.0
ppg,180349.0,161232.0,75.0,97.0
