Category,Value1,Value2,Value3,Value4
57514,95,97,,
ppg,162507,157520,95,97
ppg,162554,157540,95,97
ppg,1,,,
1,,,,
temp,26.67,29.04,,
temp,26.67,29.04,,
temp,26.67,29.04,,
temp,26.67,29.04,,
temp,26.67,29.04,,
temp,26.67,29.04,,
temp,26.67,29.04,,
temp,26.67,29.04,,
temp,26.67,29.04,,
temp,26.67,29.04,,
2,,,,
ppg,162197,161435,89,98
ppg,162204,161445,89,98
ppg,162216,161447,89,98
ppg,162216,161447,89,98
ppg,162213,161459,89,98
ppg,162236,161460,89,98
ppg,162249,161464,89,98
ppg,162277,161479,89,98
ppg,162307,161486,89,98
ppg,162330,161502,89,98
ppg,162360,161521,89,98
ppg,162381,161529,89,98
ppg,162395,161530,89,98
ppg,162424,161540,89,98
ppg,162430,161549,89,98
ppg,162451,161557,89,98
ppg,162460,161556,89,98
ppg,162471,161560,89,98
ppg,162478,161566,89,98
ppg,162495,161580,89,98
ppg,162514,161581,89,98
ppg,162540,161604,89,98
ppg,162562,161613,89,98
ppg,162586,161615,89,98
ppg,162636,161623,88,98
ppg,162641,161627,88,98
ppg,162641,161626,88,98
ppg,162661,161626,88,98
ppg,162669,161627,88,98
ppg,162691,161648,88,98
ppg,162697,161651,88,98
ppg,162717,161639,88,98
ppg,162754,161672,88,98
ppg,162780,161688,88,98
ppg,162801,161683,88,98
ppg,162834,161703,88,98
ppg,162876,161717,88,98
ppg,162894,161726,88,98
ppg,162939,161739,88,98
ppg,162963,161755,88,98
ppg,162963,161755,88,98
ppg,163005,161769,88,98
ppg,163042,161791,88,98
ppg,163081,161800,88,98
ppg,163136,161823,88,98
ppg,163180,161851,88,98
ppg,163204,161868,88,98
ppg,163255,161872,88,98
ppg,163295,161905,88,98
ppg,163336,161920,88,98
ppg,163370,161931,88,98
ppg,163409,161952,88,98
ppg,163446,161964,88,98
ppg,163499,161982,88,98
ppg,163531,161989,88,98
ppg,163567,162012,88,98
ppg,163599,162015,88,98
ppg,163646,162045,88,98
ppg,163230,161859,88,98
ppg,163289,161886,88,98
ppg,163330,161910,88,98
ppg,163369,161920,88,98
ppg,163394,161929,88,98
ppg,163451,161951,88,98
ppg,163483,161963,88,98
ppg,163530,161988,88,98
ppg,163582,161990,88,98
ppg,163615,162015,88,98
ppg,163652,162028,88,98
ppg,163653,162030,88,98
ppg,163653,162030,88,98
ppg,163608,162021,88,98
ppg,163515,161981,88,98
ppg,163371,161913,88,98
ppg,163191,161843,88,98
ppg,162991,161754,88,98
ppg,162812,161666,88,98
ppg,162645,161600,88,98
ppg,162490,161525,88,98
ppg,162380,161483,88,98
ppg,162293,161456,88,98
ppg,162257,161426,88,98
ppg,162219,161411,88,98
ppg,162196,161405,88,98
ppg,162196,161396,88,98
ppg,162204,161404,88,98
ppg,162542,161562,89,98
ppg,162424,161506,89,98
ppg,162338,161451,89,98
ppg,162277,161437,89,98
ppg,162234,161433,89,98
ppg,162214,161419,89,98
ppg,162198,161420,89,98
ppg,162197,161412,89,98
ppg,162210,161419,89,98
ppg,162228,161423,89,98
ppg,162238,161432,89,98
ppg,162260,161444,89,98
ppg,162281,161446,89,98
ppg,162310,161459,89,98
ppg,162340,161462,89,98
ppg,162357,161480,89,98
ppg,162395,161510,89,98
ppg,162395,161510,89,98
ppg,162422,161512,89,98
ppg,162448,161530,89,98
ppg,162470,161537,89,98
ppg,162469,161539,89,98
ppg,162492,161556,89,98
ppg,162508,161552,89,98
ppg,162515,161564,89,98
ppg,162510,161556,89,98
ppg,162516,161563,89,98
ppg,162534,161576,89,98
ppg,162284,161439,89,98
ppg,162297,161449,89,98
ppg,162319,161446,89,98
ppg,162596,161594,89,98
ppg,162623,161593,89,98
ppg,162328,161453,90,98
ppg,162323,161450,90,98
ppg,162338,161452,90,98
ppg,162335,161454,90,98
ppg,162347,161465,90,98
ppg,162354,161461,90,98
ppg,162374,161477,90,98
ppg,162402,161478,90,98
ppg,162422,161493,90,98
ppg,162445,161500,90,98
ppg,162474,161508,90,98
ppg,162504,161524,90,98
ppg,162535,161545,90,98
ppg,162565,161546,90,98
ppg,162610,161564,90,98
ppg,162633,161574,90,98
ppg,162669,161580,90,98
ppg,162699,161609,90,98
ppg,162740,161623,90,98
ppg,162740,161623,90,98
ppg,162766,161632,90,98
ppg,162791,161646,90,98
ppg,162818,161645,90,98
ppg,162851,161659,90,98
ppg,162879,161669,90,98
ppg,162913,161692,90,98
ppg,162937,161699,90,98
ppg,162979,161709,90,98
ppg,162320,161414,90,97
ppg,162359,161428,90,97
ppg,162414,161447,90,97
ppg,162444,161469,90,97
ppg,162486,161493,90,97
ppg,162539,161505,90,97
ppg,162584,161519,90,97
ppg,162620,161528,90,97
ppg,162645,161549,90,97
ppg,162650,161539,90,97
ppg,162610,161538,90,97
ppg,162498,161483,90,97
ppg,162345,161415,90,97
ppg,162170,161325,90,97
ppg,161964,161259,90,97
ppg,161762,161154,90,97
ppg,161571,161070,90,97
ppg,161412,160998,90,97
ppg,161309,160950,90,97
ppg,161309,160950,90,97
ppg,161210,160909,90,97
ppg,161144,160885,90,97
ppg,161110,160875,90,97
ppg,161080,160854,90,97
ppg,161074,160848,90,97
ppg,161052,160840,90,97
ppg,161050,160831,90,97
ppg,161056,160842,90,97
ppg,160466,160509,90,97
ppg,160421,160491,90,97
ppg,160390,160480,90,97
ppg,160391,160481,90,97
ppg,160360,160472,90,97
ppg,160354,160467,90,97
ppg,160351,160467,90,97
ppg,160355,160471,90,97
ppg,160366,160473,90,97
