Category,Value1,Value2,Value3,Value4
pg,168086,157522,0,98
ppg,168103,157535,0,98
ppg,168143,157551,0,98
ppg,168180,157572,0,98
1,,,,
temp,31.79,34.23,,
temp,31.79,34.23,,
temp,31.79,34.23,,
temp,31.79,34.23,,
temp,31.79,34.23,,
temp,31.79,34.23,,
temp,31.79,34.23,,
temp,31.79,34.23,,
temp,31.79,34.23,,
temp,31.79,34.23,,
2,,,,
ppg,160145,160962,0,0
ppg,160095,160935,0,0
ppg,160061,160924,0,0
ppg,160061,160924,0,0
ppg,160026,160904,0,0
ppg,159969,160875,0,0
ppg,159857,160809,0,0
ppg,159718,160736,0,0
ppg,159579,160678,0,0
ppg,159411,160606,0,0
ppg,159222,160509,0,0
ppg,159012,160404,0,0
ppg,158682,160263,0,0
ppg,158286,160090,0,0
ppg,157954,159960,0,0
ppg,157678,159828,0,0
ppg,157400,159706,0,0
ppg,157187,159608,0,0
ppg,156946,159495,0,0
ppg,156826,159432,0,0
ppg,156784,159423,0,0
ppg,156824,159433,0,0
ppg,156938,159489,0,0
ppg,157127,159566,0,0
ppg,157406,159695,0,0
ppg,157760,159850,0,0
ppg,161667,161591,0,0
ppg,161800,161638,0,0
ppg,161937,161697,0,0
ppg,162049,161741,0,0
ppg,162176,161801,0,0
ppg,162319,161874,0,0
ppg,158862,160414,0,0
ppg,162505,161965,0,0
ppg,162588,161995,0,0
ppg,162586,161998,0,0
ppg,162456,161960,0,0
ppg,162163,161858,0,0
ppg,161785,161700,0,0
ppg,161303,161503,0,0
ppg,160810,161313,0,0
ppg,160354,161119,0,0
ppg,159934,160937,0,0
ppg,159589,160781,0,0
ppg,159331,160651,0,0
ppg,159138,160573,0,0
ppg,159004,160505,0,0
ppg,158937,160464,0,0
ppg,158923,160449,0,0
ppg,158944,160453,0,0
ppg,159012,160486,0,0
ppg,159115,160504,0,0
ppg,159220,160546,0,0
ppg,159366,160606,0,0
ppg,159469,160650,0,0
ppg,159586,160698,0,0
ppg,159701,160742,0,0
ppg,159788,160782,0,0
ppg,159861,160812,0,0
ppg,159919,160833,0,0
ppg,159962,160852,0,0
ppg,159978,160855,0,0
ppg,159985,160863,0,0
ppg,162577,162088,0,0
ppg,162662,162130,0,0
ppg,162697,162142,0,0
ppg,162719,162145,0,0
ppg,162709,162143,0,0
ppg,162674,162126,0,0
ppg,162625,162111,0,0
ppg,162541,162064,0,0
ppg,162470,162039,0,0
ppg,162470,162039,0,0
ppg,162379,162003,0,0
ppg,162317,161969,0,0
ppg,162252,161946,0,0
ppg,162201,161926,0,0
ppg,162163,161902,0,0
