Category,Value1,Value2,Value3,Value4
ø,,,,
1,,,,
temp,32.93,35.01,,
temp,32.93,35.01,,
temp,32.93,35.01,,
temp,32.93,35.01,,
temp,32.93,35.01,,
temp,32.93,35.01,,
temp,32.93,35.01,,
temp,32.93,35.01,,
temp,32.93,35.01,,
temp,32.93,35.01,,
2,,,,
ppg,168674,153992,97,98
ppg,168490,153940,97,98
ppg,168208,153850,97,98
ppg,167869,153734,97,98
ppg,167496,153610,97,98
ppg,167496,153610,97,98
ppg,167157,153492,97,98
ppg,166879,153384,97,98
ppg,166637,153319,97,98
ppg,166475,153273,97,98
ppg,166408,153246,97,98
ppg,166374,153244,97,98
ppg,166387,153248,97,98
ppg,166433,153266,97,98
ppg,166496,153292,97,98
ppg,166540,153313,97,98
ppg,166606,153326,97,98
ppg,166669,153348,97,98
ppg,166712,153357,97,98
ppg,166761,153367,97,98
ppg,166827,153394,97,98
ppg,166917,153412,97,98
ppg,167043,153441,97,98
ppg,167184,153484,97,98
ppg,167319,153516,97,98
ppg,166705,153545,95,98
ppg,166771,153575,95,98
ppg,166865,153612,95,98
ppg,166939,153660,95,98
ppg,167031,153698,95,98
ppg,167103,153725,95,98
ppg,167168,153768,95,98
ppg,167229,153800,95,98
ppg,167286,153831,95,98
ppg,167286,153831,95,98
ppg,167363,153862,95,98
ppg,167465,153901,95,98
ppg,167560,153954,95,98
ppg,167654,153976,95,98
ppg,167751,154018,95,98
ppg,167812,154030,95,98
ppg,167869,154042,95,98
ppg,167897,154034,95,98
ppg,167913,154038,95,98
ppg,167911,154027,95,98
ppg,167901,154027,95,98
ppg,167897,154006,95,98
ppg,167884,153994,95,98
ppg,167889,153986,95,98
ppg,167897,153979,95,98
ppg,167912,153987,95,98
ppg,167954,153988,95,98
ppg,167988,153982,95,98
ppg,168026,153989,95,98
ppg,168061,154002,95,98
ppg,168123,154000,95,98
ppg,168172,154015,95,98
ppg,168211,154035,95,98
ppg,167701,153889,95,98
ppg,167677,153869,95,98
ppg,167682,153863,95,98
ppg,167685,153868,95,98
ppg,167706,153854,95,98
ppg,167736,153871,95,98
ppg,167775,153864,95,98
ppg,167820,153881,95,98
ppg,167879,153885,95,98
ppg,167932,153906,95,98
ppg,167979,153923,95,98
ppg,167979,153923,95,98
ppg,168047,153935,95,98
ppg,168097,153951,95,98
ppg,168155,153961,95,98
ppg,168208,153968,95,98
ppg,168255,154003,95,98
ppg,168300,154003,95,98
ppg,168333,154007,95,98
ppg,168378,154033,95,98
ppg,168424,154040,95,98
ppg,168482,154062,95,98
ppg,168513,154081,95,98
ppg,168536,154085,95,98
ppg,168586,154092,95,98
ppg,168602,154103,95,98
ppg,168621,154106,95,98
ppg,168639,154107,95,98
ppg,168270,153895,93,98
