Category,Value1,Value2,Value3,Value4
ü,,,,
1,,,,
temp,29.68,36.89,,
temp,29.68,36.89,,
temp,29.68,36.89,,
temp,29.68,36.89,,
temp,29.68,36.89,,
temp,29.68,36.89,,
temp,29.68,36.89,,
temp,29.68,36.89,,
temp,29.68,36.89,,
temp,29.68,36.89,,
2,,,,
ppg,177260,164833,0,89
ppg,176688,164593,0,89
ppg,176067,164349,0,89
ppg,175418,164092,0,89
ppg,175418,164092,0,89
ppg,174770,163818,0,89
ppg,174123,163562,0,89
ppg,173511,163296,0,89
ppg,172936,163080,0,89
ppg,172414,162871,0,89
ppg,171939,162683,0,89
ppg,171509,162497,0,89
ppg,171092,162331,0,89
ppg,170725,162182,0,89
ppg,170371,162036,0,89
ppg,170064,161901,0,89
ppg,169780,161806,0,89
ppg,169566,161725,0,89
ppg,169412,161686,0,89
ppg,169301,161669,0,89
ppg,169187,161633,0,89
ppg,169096,161621,0,89
ppg,169056,161619,0,89
ppg,169027,161603,0,89
ppg,169002,161597,0,89
ppg,168949,161585,0,89
ppg,165739,160910,0,89
ppg,165470,160807,0,89
ppg,165240,160711,0,89
ppg,165031,160640,0,89
ppg,164868,160572,0,89
ppg,164736,160518,0,89
ppg,164656,160512,0,89
ppg,164652,160514,0,89
ppg,164703,160566,0,89
ppg,164795,160613,0,89
ppg,164926,160695,0,89
ppg,165110,160801,0,89
ppg,165293,160897,0,89
ppg,165509,160983,0,89
ppg,165677,161085,0,89
ppg,165851,161162,0,89
ppg,165989,161225,0,89
ppg,166131,161305,92,89
ppg,166257,161373,92,89
ppg,166369,161431,92,89
ppg,166484,161489,92,89
ppg,166564,161531,92,89
ppg,166637,161581,92,89
ppg,166699,161615,92,89
ppg,166759,161648,92,89
ppg,166806,161678,92,89
ppg,166859,161716,92,89
ppg,166859,161716,92,89
ppg,166881,161739,92,89
ppg,166910,161752,92,89
ppg,166928,161742,92,89
ppg,166918,161748,92,89
ppg,166925,161760,92,89
ppg,166932,161772,92,89
ppg,170342,163357,92,89
ppg,170652,163487,92,89
ppg,170938,163607,92,89
ppg,171172,163705,92,89
ppg,171383,163788,92,89
ppg,171592,163872,92,89
