Category,Value1,Value2,Value3,Value4
ppg,104,6,0,0
ppg,105,6,0,0
ppg,105,6,0,0
ppg,103,2,0,0
ppg,103,2,0,0
ppg,104,0,0,0
ppg,10,,,
ppg,104,6,0,0
ppg,104,6,0,0
ppg,105,6,0,0
ppg,105,6,0,0
ppg,103,2,0,0
ppg,103,2,0,0
ppg,104,0,0,0
ppg,10,,,
1,,,,
temp,31.72,36.87,,
temp,31.72,36.87,,
temp,31.72,36.87,,
temp,31.72,36.87,,
temp,31.72,36.87,,
temp,31.72,36.87,,
temp,31.72,36.87,,
temp,31.72,36.87,,
temp,31.72,36.87,,
temp,31.72,36.87,,
2,,,,
ppg,182672,165534,0,0
ppg,182809,165594,0,0
ppg,182940,165639,0,0
ppg,183036,165683,0,0
ppg,183036,165683,0,0
ppg,183146,165713,0,0
ppg,183240,165755,0,0
ppg,183317,165788,0,0
ppg,183370,165817,0,0
ppg,183424,165830,0,0
ppg,183459,165838,0,0
ppg,183482,165854,0,0
ppg,183490,165854,0,0
ppg,183485,165848,0,0
ppg,183461,165836,0,0
ppg,183429,165820,0,0
ppg,183386,165794,0,0
ppg,183357,165787,0,0
ppg,183332,165777,0,0
ppg,183311,165771,0,0
ppg,183301,165766,0,0
ppg,183293,165755,0,0
ppg,183286,165752,0,0
ppg,183292,165758,0,0
ppg,183308,165748,0,0
ppg,183334,165776,0,0
ppg,186052,166834,0,0
ppg,186145,166861,0,0
ppg,186235,166913,0,0
ppg,186283,166925,0,0
ppg,186335,166929,0,0
ppg,186383,166911,0,0
ppg,183636,165887,0,0
ppg,186457,166862,0,0
ppg,186447,166803,0,0
ppg,186426,166768,0,0
ppg,186408,166718,0,0
ppg,186313,166601,0,0
ppg,185972,166305,0,0
ppg,185658,166024,0,0
ppg,185413,165792,0,0
ppg,185205,165597,0,0
ppg,185034,165434,0,0
ppg,184889,165304,0,0
ppg,184889,165304,0,0
ppg,184745,165141,0,0
ppg,184581,164999,0,0
ppg,184407,164863,0,0
ppg,184213,164735,0,0
ppg,183999,164574,0,0
ppg,183870,164448,0,0
ppg,183889,164430,0,0
ppg,184027,164488,0,0
ppg,184231,164624,0,0
ppg,184834,165048,0,0
ppg,185263,165540,0,0
ppg,185388,165743,0,0
ppg,185471,165904,0,0
ppg,185506,165999,0,0
ppg,185527,166057,0,0
ppg,185501,166074,0,0
ppg,185455,166069,0,0
ppg,185351,166020,0,0
ppg,175744,161402,0,0
ppg,175639,161345,0,0
ppg,175551,161317,0,0
ppg,175485,161280,0,0
ppg,175442,161261,0,0
ppg,175423,161261,0,0
ppg,175406,161253,0,0
ppg,175383,161237,0,0
ppg,175344,161217,0,0
ppg,175332,161219,0,0
ppg,175321,161207,0,0
ppg,175300,161200,0,0
ppg,175302,161208,0,0
ppg,175329,161219,0,0
ppg,175378,161232,0,0
ppg,175455,161255,0,0
ppg,175566,161309,0,0
ppg,175696,161358,0,0
ppg,175861,161434,0,0
ppg,175861,161434,0,0
ppg,176045,161526,0,0
ppg,176229,161595,0,0
ppg,176382,161663,0,0
ppg,176528,161723,0,0
ppg,176679,161787,0,0
ppg,176856,161877,0,0
ppg,177032,161946,0,0
ppg,177208,162020,0,0
ppg,177381,162098,0,0
ppg,177574,162174,0,0
ppg,179476,162825,0,0
ppg,179367,162786,0,0
ppg,179270,162751,0,0
ppg,179168,162727,0,0
ppg,178749,162732,0,0
ppg,178997,162847,0,0
ppg,179198,162961,0,0
ppg,178851,162550,0,0
ppg,178789,162515,0,0
ppg,178708,162475,0,0
ppg,178610,162422,0,0
ppg,178476,162324,0,0
ppg,178331,162232,0,0
ppg,178178,162135,0,0
ppg,178034,162025,0,0
ppg,177911,161943,0,0
ppg,177814,161886,0,0
ppg,177746,161858,0,0
ppg,177684,161833,0,0
ppg,177626,161803,0,0
ppg,177567,161776,0,0
ppg,177484,161729,0,0
ppg,177385,161678,0,0
ppg,177296,161633,0,0
ppg,177178,161579,0,0
ppg,177038,161510,0,0
ppg,176860,161430,0,0
ppg,176860,161430,0,0
ppg,176609,161325,0,0
ppg,176288,161209,0,0
ppg,175895,161026,0,0
ppg,175448,160840,0,0
ppg,174987,160638,0,0
ppg,174534,160424,0,0
ppg,174113,160247,0,0
ppg,173733,160093,0,0
ppg,173408,159942,0,0
ppg,155885,157677,0,0
ppg,157816,158417,0,0
ppg,159422,159053,0,0
ppg,160714,159537,0,0
ppg,161931,159981,0,0
ppg,163107,160429,0,0
ppg,164256,160895,0,0
ppg,164769,161341,0,0
ppg,165715,161746,0,0
ppg,166755,162183,0,0
ppg,168167,162823,0,0
ppg,169804,163624,0,0
ppg,171511,164458,0,0
ppg,173215,165361,0,0
ppg,174515,165992,0,0
ppg,175560,166448,0,0
ppg,176387,166820,0,0
ppg,177072,167106,0,0
ppg,177676,167382,0,0
ppg,178287,167677,0,0
ppg,179071,168091,0,0
ppg,179071,168091,0,0
ppg,180043,168660,0,0
ppg,180753,169017,0,0
ppg,180851,169236,0,0
ppg,180851,169236,0,0
ppg,180851,169236,0,0
ppg,181686,169622,0,0
ppg,182834,170212,0,0
ppg,183402,170311,0,0
ppg,185248,168092,0,0
ppg,185226,168059,0,0
ppg,185218,168028,0,0
ppg,185175,167971,0,0
ppg,185847,170956,0,0
ppg,186575,171268,0,0
ppg,187088,171596,0,0
ppg,184964,167706,0,0
ppg,184909,167636,0,0
ppg,184842,167579,0,0
ppg,184792,167508,0,0
ppg,184745,167463,0,0
ppg,184719,167406,0,0
ppg,184683,167373,0,0
ppg,184666,167329,0,0
ppg,184603,167291,0,0
ppg,184547,167223,0,0
ppg,184482,167156,0,0
ppg,184407,167088,0,0
ppg,184314,167003,0,0
ppg,184214,166911,0,0
ppg,184118,166815,0,0
ppg,184021,166739,0,0
ppg,183974,166678,0,0
ppg,183939,166644,0,0
ppg,183900,166603,0,0
ppg,183888,166585,0,0
ppg,183866,166558,0,0
ppg,183872,166552,0,0
ppg,183859,166527,0,0
ppg,183833,166526,0,0
ppg,183821,166489,0,0
ppg,183832,166489,0,0
ppg,183837,166490,0,0
ppg,183852,166479,0,0
ppg,183847,166469,0,0
ppg,183853,166472,0,0
ppg,183853,166472,0,0
ppg,183961,166219,0,0
ppg,183967,166211,0,0
ppg,183952,166182,0,0
ppg,183927,166164,0,0
ppg,183889,166131,0,0
ppg,183851,166099,0,0
ppg,183759,166058,0,0
ppg,183681,166004,0,0
ppg,183611,165974,0,0
ppg,183546,165935,0,0
ppg,183503,165913,0,0
ppg,183490,165889,0,0
ppg,183494,165899,0,0
ppg,183557,165919,0,0
ppg,183628,165955,0,0
ppg,183719,166004,0,0
ppg,183776,166041,0,0
ppg,183853,166072,0,0
ppg,183896,166085,0,0
ppg,183904,166072,0,0
ppg,183898,166057,0,0
ppg,183919,166056,0,0
ppg,183935,166059,0,0
ppg,183947,166071,0,0
ppg,183966,166068,0,0
ppg,183967,166062,0,0
ppg,183963,166049,0,0
ppg,183971,166035,0,0
ppg,183964,166017,0,0
ppg,183948,166000,0,0
ppg,183921,165969,0,0
ppg,183897,165943,0,0
ppg,183902,165928,0,0
ppg,183914,165936,0,0
ppg,183928,165942,0,0
ppg,183947,165934,0,0
ppg,183922,165921,0,0
ppg,182949,164822,0,0
ppg,183050,164877,0,0
ppg,183178,164964,0,0
ppg,183294,165034,0,0
ppg,183372,165087,0,0
ppg,183410,165110,0,0
ppg,183442,165124,0,0
ppg,183461,165128,0,0
ppg,183484,165148,0,0
ppg,183527,165163,0,0
ppg,183586,165198,0,0
ppg,183651,165244,0,0
ppg,183716,165287,0,0
ppg,183758,165316,0,0
ppg,183777,165333,0,0
ppg,183763,165326,0,0
ppg,183788,165333,0,0
ppg,183821,165354,0,0
ppg,183852,165375,0,0
ppg,183886,165395,0,0
ppg,183907,165406,0,0
ppg,183912,165407,0,0
ppg,183897,165389,0,0
ppg,183871,165367,0,0
ppg,183848,165338,0,0
ppg,183817,165317,0,0
ppg,183795,165295,0,0
ppg,183786,165277,0,0
ppg,183771,165265,0,0
ppg,183762,165246,0,0
ppg,182155,164327,0,0
ppg,182155,164327,0,0
ppg,182205,164339,0,0
ppg,182249,164350,0,0
ppg,182249,164350,0,0
ppg,182249,164350,0,0
ppg,182249,164350,0,0
ppg,182289,164348,0,0
ppg,182325,164366,0,0
ppg,182358,164367,0,0
ppg,182375,164376,0,0
ppg,182387,164375,0,0
ppg,182370,164369,0,0
ppg,182363,164356,0,0
ppg,182324,164337,0,0
ppg,182272,164303,0,0
ppg,182205,164271,0,0
ppg,182110,164222,0,0
ppg,182011,164169,0,0
ppg,181902,164126,0,0
ppg,181832,164102,0,0
ppg,181774,164076,0,0
ppg,181748,164073,0,0
ppg,181722,164069,0,0
ppg,181710,164067,0,0
ppg,181692,164048,0,0
ppg,181692,164044,0,0
ppg,181704,164057,0,0
ppg,181710,164062,0,0
ppg,181732,164047,0,0
ppg,179656,163069,0,0
ppg,181778,164056,0,0
ppg,181805,164066,0,0
ppg,181838,164080,0,0
ppg,181857,164082,0,0
ppg,181891,164097,0,0
ppg,180146,163246,0,0
ppg,180154,163244,0,0
ppg,180154,163244,0,0
ppg,180150,163231,0,0
ppg,180104,163225,0,0
ppg,180045,163186,0,0
ppg,179963,163152,0,0
ppg,179865,163111,0,0
ppg,179759,163059,0,0
ppg,179645,163006,0,0
ppg,179529,162968,0,0
ppg,179421,162913,0,0
ppg,179332,162869,0,0
ppg,179250,162826,0,0
ppg,179195,162810,0,0
ppg,179139,162777,0,0
ppg,179119,162768,0,0
ppg,179096,162754,0,0
ppg,179091,162757,0,0
ppg,179094,162764,0,0
ppg,179094,162751,0,0
ppg,179113,162749,0,0
ppg,179125,162753,0,0
ppg,179148,162763,0,0
ppg,179182,162773,0,0
ppg,179223,162789,0,0
