Category,Value1,Value2,Value3,Value4
125,7,0,0,
ppg,125,7,0,0
ppg,1,,,
1,,,,
temp,28.77,30.96,,
temp,28.77,30.96,,
temp,28.77,30.96,,
temp,28.77,30.96,,
temp,28.77,30.96,,
temp,28.77,30.96,,
temp,28.77,30.96,,
temp,28.77,30.96,,
temp,28.77,30.96,,
temp,28.77,30.96,,
2,,,,
ppg,183661,162610,102,93
ppg,183702,162624,102,93
ppg,183718,162652,102,93
ppg,183727,162652,102,93
ppg,183730,162652,102,93
ppg,183730,162652,102,93
ppg,183741,162667,102,93
ppg,183753,162662,102,93
ppg,183738,162656,102,93
ppg,183754,162652,102,93
ppg,183776,162665,102,93
ppg,183797,162682,102,93
ppg,183826,162696,102,93
ppg,183876,162729,102,93
ppg,183905,162750,102,93
ppg,183937,162767,102,93
ppg,183954,162775,102,93
ppg,183992,162793,102,93
ppg,184009,162798,102,93
ppg,184054,162821,102,93
ppg,184076,162835,102,93
ppg,184093,162850,102,93
ppg,184105,162862,102,93
ppg,184229,162965,95,93
ppg,184231,162968,95,93
ppg,184247,162961,95,93
ppg,184264,162975,95,93
ppg,184268,162980,95,93
ppg,184271,162978,95,93
ppg,184277,162968,0,93
ppg,184282,162963,0,93
ppg,184285,162965,0,93
ppg,184278,162958,0,93
ppg,184278,162958,0,93
ppg,184283,162956,0,93
ppg,184292,162961,0,93
ppg,184280,162961,0,93
ppg,184277,162964,0,93
ppg,184295,162952,0,93
ppg,184279,162962,0,93
ppg,184283,162956,0,93
ppg,184272,162946,0,93
ppg,184280,162941,0,93
ppg,184274,162944,0,93
ppg,184267,162944,0,93
ppg,184267,162936,0,93
ppg,184282,162942,0,93
ppg,184271,162941,0,93
ppg,184275,162935,0,93
ppg,184280,162941,0,93
ppg,184273,162931,0,93
ppg,184277,162942,0,93
ppg,184278,162933,0,93
ppg,184277,162939,0,93
ppg,184283,162942,0,93
ppg,184266,162935,0,93
ppg,184224,162927,0,93
ppg,184190,162922,0,93
ppg,184417,163023,95,93
ppg,184420,163031,95,93
ppg,184431,163024,95,93
ppg,184444,163044,95,93
ppg,184453,163041,95,93
ppg,184465,163046,95,93
ppg,184479,163063,95,93
ppg,184506,163068,95,93
ppg,184521,163069,95,93
ppg,184531,163077,95,93
ppg,184548,163085,95,93
ppg,184549,163080,95,93
ppg,184549,163080,95,93
ppg,184552,163090,95,93
ppg,184563,163091,95,93
ppg,184576,163088,95,93
ppg,184593,163106,95,93
ppg,184642,163118,95,93
ppg,184656,163132,95,93
ppg,184690,163157,95,93
ppg,184738,163178,95,93
ppg,184775,163203,95,93
ppg,184848,163241,95,93
ppg,184915,163291,95,93
ppg,185008,163344,95,93
ppg,185099,163383,95,93
ppg,185194,163461,95,93
ppg,185241,163512,95,93
ppg,187404,165427,95,93
ppg,187513,165514,95,93
ppg,187650,165620,95,93
ppg,187824,165746,95,93
ppg,188012,165904,95,93
ppg,188175,166018,95,93
ppg,188322,166140,95,93
ppg,188472,166216,95,93
ppg,188598,166291,95,93
ppg,188700,166308,95,93
ppg,188512,166142,95,93
ppg,188281,165961,95,93
ppg,188058,165792,95,93
ppg,187923,165678,95,93
ppg,187830,165612,95,93
ppg,187746,165557,95,93
ppg,187579,165436,95,93
ppg,187579,165436,95,93
ppg,187407,165312,95,93
ppg,187291,165216,95,93
ppg,187190,165137,95,93
ppg,187104,165083,95,93
ppg,187029,165045,95,93
ppg,186975,165001,95,93
ppg,186925,164972,95,93
ppg,186867,164950,95,93
ppg,186829,164917,95,93
ppg,186815,164905,95,93
ppg,186988,164467,95,93
ppg,187007,164466,95,93
ppg,187026,164462,95,93
ppg,186758,164802,95,93
ppg,186728,164780,95,93
ppg,187040,164469,95,93
