Category,Value1,Value2,Value3,Value4
266,74,0,,
ppg,181790,166354,74,0
ppg,181932,166454,74,0
ppg,182090,166555,74,0
ppg,182228,166657,74,0
ð,181668,166266,74,0
ppg,181790,166354,74,0
ppg,181932,166454,74,0
ppg,182090,166555,74,0
ppg,182228,166657,74,0
ð,,,,
1,,,,
temp,35.00,37.19,,
temp,35.00,37.19,,
temp,35.00,37.19,,
temp,35.00,37.19,,
temp,35.00,37.19,,
temp,35.00,37.19,,
temp,35.00,37.19,,
temp,35.00,37.19,,
temp,35.00,37.19,,
temp,35.00,37.19,,
2,,,,
ppg,182253,166535,79,94
ppg,182177,166498,79,94
ppg,182115,166470,79,94
ppg,182054,166440,79,94
ppg,181998,166415,79,94
ppg,181998,166415,79,94
ppg,181947,166380,79,94
ppg,181882,166362,79,94
ppg,181843,166343,79,94
ppg,181809,166332,79,94
ppg,181764,166292,79,94
ppg,181730,166293,79,94
ppg,181695,166268,79,94
ppg,181669,166250,79,94
ppg,181651,166241,79,94
ppg,181635,166231,79,94
ppg,181639,166236,79,94
ppg,181650,166239,79,94
ppg,181645,166234,79,94
ppg,181665,166237,79,94
ppg,181681,166244,79,94
ppg,181694,166240,79,95
ppg,181696,166247,79,95
ppg,181729,166249,79,95
ppg,181739,166256,79,95
ppg,181941,166341,81,95
ppg,181904,166323,81,95
ppg,181869,166296,81,95
ppg,181850,166286,81,95
ppg,181812,166275,81,95
ppg,181786,166254,81,95
ppg,181778,166244,81,95
ppg,181765,166238,81,95
ppg,181747,166227,81,95
ppg,181747,166227,81,95
ppg,181727,166206,81,95
ppg,181727,166201,81,95
ppg,181720,166185,81,95
ppg,181731,166179,81,95
ppg,181751,166186,81,95
ppg,181780,166195,81,95
ppg,181827,166216,81,95
ppg,181846,166238,81,95
ppg,181879,166246,81,95
ppg,181914,166250,81,95
ppg,181926,166262,81,95
ppg,181946,166256,81,95
ppg,181953,166258,81,95
ppg,181992,166270,81,95
ppg,182007,166285,81,95
ppg,182036,166292,81,95
ppg,182060,166307,81,95
ppg,182080,166323,81,95
ppg,182124,166340,81,95
ppg,182147,166351,81,95
ppg,182180,166358,81,95
ppg,182218,166378,81,95
ppg,182253,166401,81,95
ppg,183286,166977,81,94
ppg,183340,166980,81,94
ppg,183355,166991,81,94
ppg,183395,167012,81,94
ppg,183407,167002,81,94
ppg,183448,167017,81,94
ppg,183472,167035,81,94
ppg,183508,167059,81,94
ppg,183526,167067,81,94
ppg,183546,167080,81,94
ppg,183563,167083,81,94
ppg,183563,167083,81,94
ppg,183595,167107,81,94
ppg,183618,167122,81,94
ppg,183651,167141,81,94
ppg,183679,167152,81,94
ppg,183708,167160,81,94
ppg,183721,167163,81,94
ppg,183757,167177,81,94
ppg,183766,167187,81,94
ppg,183799,167194,81,94
ppg,183812,167203,81,94
ppg,183843,167205,81,94
ppg,183873,167232,81,94
ppg,183905,167241,81,94
ppg,183939,167264,81,94
ppg,183979,167272,81,94
ppg,184000,167286,81,94
ppg,183746,167118,82,94
ppg,183757,167120,82,94
ppg,183763,167126,82,94
ppg,183786,167144,82,94
ppg,183795,167143,82,94
ppg,183823,167162,82,94
ppg,183834,167162,82,94
ppg,183846,167171,82,94
ppg,183879,167174,82,94
ppg,183913,167192,82,94
ppg,183948,167204,82,94
ppg,183948,167204,82,94
ppg,183948,167204,82,94
ppg,183948,167204,82,94
ppg,183948,167204,82,94
ppg,183948,167204,82,94
ppg,183969,167215,82,94
ppg,184008,167233,82,94
ppg,184034,167242,82,94
ppg,184047,167252,82,94
ppg,184081,167265,82,94
ppg,184104,167270,82,94
ppg,184123,167283,82,94
ppg,184147,167300,82,94
ppg,184154,167306,82,94
ppg,184180,167316,82,94
ppg,184185,167320,82,94
ppg,184362,167440,82,94
ppg,184399,167474,82,94
ppg,184452,167502,82,94
ppg,184494,167525,82,94
ppg,184540,167555,82,94
ppg,184579,167583,82,94
ppg,184606,167601,82,94
ppg,184660,167626,82,94
ppg,184694,167642,82,94
ppg,184723,167672,82,94
ppg,184765,167682,82,94
ppg,184805,167705,82,94
ppg,184832,167714,82,94
ppg,184863,167724,82,94
ppg,184890,167734,82,94
ppg,184909,167751,82,94
ppg,184932,167762,82,94
ppg,184961,167759,82,94
ppg,184978,167774,82,94
ppg,184978,167774,82,94
ppg,184998,167788,82,94
ppg,185026,167808,82,94
ppg,185047,167808,82,94
ppg,185077,167825,82,94
ppg,185108,167839,82,94
ppg,185137,167846,82,94
ppg,185150,167849,82,94
ppg,185163,167865,82,94
ppg,185182,167873,82,94
ppg,185189,167879,82,94
ppg,185210,167878,82,94
ppg,185217,167877,82,94
ppg,185205,167872,82,94
ppg,185076,167747,82,94
ppg,185089,167755,82,94
ppg,185095,167751,82,94
ppg,185094,167749,82,94
ppg,185121,167761,82,94
ppg,185129,167764,82,94
ppg,185143,167775,82,94
ppg,185157,167795,82,94
ppg,185176,167795,82,94
ppg,185191,167816,82,94
ppg,185210,167822,82,94
ppg,185231,167826,82,94
ppg,185247,167821,82,94
ppg,185238,167838,82,94
ppg,185239,167834,82,94
ppg,185226,167844,82,94
ppg,185207,167825,82,94
ppg,185177,167815,82,94
ppg,185127,167789,82,94
ppg,185127,167789,82,94
ppg,185083,167775,82,94
ppg,185017,167742,81,94
ppg,184964,167726,81,94
ppg,184904,167697,81,94
ppg,184849,167675,81,94
ppg,184799,167656,81,94
ppg,184762,167638,81,94
ppg,184725,167618,81,94
ppg,185042,167738,81,94
ppg,185065,167741,81,94
ppg,185088,167770,81,94
ppg,185101,167775,81,94
ppg,185114,167772,81,94
ppg,185108,167783,81,94
ppg,185104,167784,81,94
ppg,185078,167772,81,94
ppg,185039,167760,81,94
ppg,184992,167753,81,94
ppg,184931,167730,81,94
ppg,184859,167688,81,94
ppg,184788,167665,81,94
ppg,184721,167626,81,94
ppg,184679,167612,81,94
ppg,184627,167581,81,94
ppg,184583,167564,81,94
ppg,184533,167534,81,94
ppg,184504,167522,81,94
ppg,184449,167492,81,94
ppg,184449,167492,81,94
ppg,184416,167471,81,94
ppg,184384,167453,81,94
ppg,184342,167432,81,94
ppg,184342,167432,81,94
ppg,184311,167411,81,94
ppg,184273,167397,81,94
ppg,184256,167374,81,94
ppg,185042,167712,82,94
ppg,184993,167695,82,94
ppg,184926,167670,82,94
ppg,184880,167649,82,94
ppg,184829,167621,82,94
ppg,184234,167345,81,94
ppg,184735,167575,82,94
ppg,184678,167541,82,94
ppg,184646,167537,82,94
ppg,184607,167520,82,94
ppg,184563,167498,82,94
ppg,184538,167481,82,94
ppg,184496,167465,82,94
ppg,184464,167437,82,94
ppg,184437,167424,82,94
ppg,184401,167403,82,94
ppg,184379,167385,82,94
ppg,184360,167364,82,94
ppg,184351,167354,82,94
ppg,184344,167353,82,94
ppg,184350,167353,82,94
ppg,184360,167360,82,94
