Category,Value1,Value2,Value3,Value4
ppg,184515,166037,0,0
ppg,184573,166053,0,0
ppg,1,,,
1,,,,
temp,27.22,30.36,,
temp,27.22,30.36,,
temp,27.22,30.36,,
temp,27.22,30.36,,
temp,27.22,30.36,,
temp,27.22,30.36,,
temp,27.22,30.36,,
temp,27.22,30.36,,
temp,27.22,30.36,,
temp,27.22,30.36,,
2,,,,
ppg,179049,160895,76,97
ppg,179054,160900,76,97
ppg,179078,160903,76,97
ppg,179089,160908,76,97
ppg,179089,160908,76,97
ppg,179116,160919,76,97
ppg,179147,160928,76,97
ppg,179186,160946,76,97
ppg,179215,160962,76,97
ppg,179247,160971,76,97
ppg,179270,160974,76,97
ppg,179294,160989,76,97
ppg,179329,160997,76,97
ppg,179355,161002,76,97
ppg,179381,161012,76,97
ppg,179407,161026,76,97
ppg,179426,161020,76,97
ppg,179444,161016,76,97
ppg,179461,161024,76,97
ppg,179480,161046,76,97
ppg,179516,161056,76,97
ppg,179554,161078,76,97
ppg,179592,161087,76,97
ppg,179633,161120,76,97
ppg,179660,161131,76,97
ppg,179038,160849,76,97
ppg,179035,160854,76,97
ppg,179019,160841,76,97
ppg,179030,160842,76,97
ppg,179044,160843,76,97
ppg,179067,160845,76,97
ppg,179088,160863,76,97
ppg,179147,160887,76,97
ppg,179147,160887,76,97
ppg,179196,160912,76,97
ppg,179252,160926,76,97
ppg,179301,160948,76,97
ppg,179345,160965,76,97
ppg,179398,160998,76,97
ppg,179451,161022,76,97
ppg,179508,161056,76,97
ppg,179551,161055,76,97
ppg,179585,161071,76,97
ppg,179598,161080,76,97
ppg,179619,161081,76,97
ppg,179655,161085,76,97
ppg,179708,161108,76,97
ppg,179762,161131,76,97
ppg,179817,161141,76,97
ppg,179866,161182,76,97
ppg,179928,161217,76,97
ppg,179951,161221,76,97
ppg,179982,161242,76,97
ppg,180005,161246,76,97
ppg,180044,161259,76,97
ppg,180074,161268,76,97
ppg,180100,161284,76,97
ppg,180146,161307,76,97
ppg,179630,161050,76,97
ppg,179666,161069,76,97
ppg,179702,161076,76,97
ppg,179724,161093,76,97
ppg,179756,161100,76,97
ppg,179800,161108,76,97
ppg,179826,161117,76,97
ppg,179860,161131,76,97
ppg,179904,161153,76,97
ppg,179904,161153,76,97
ppg,179972,161178,76,97
ppg,179991,161184,76,97
ppg,180032,161200,76,97
ppg,180073,161221,76,97
ppg,180122,161231,76,97
ppg,180153,161243,76,97
ppg,180175,161261,76,97
ppg,180197,161258,76,97
ppg,180215,161266,76,97
ppg,180222,161274,76,97
ppg,180235,161267,76,97
ppg,180254,161275,76,97
ppg,180273,161283,76,97
ppg,180299,161299,76,97
ppg,180315,161313,76,97
ppg,180337,161317,76,97
ppg,180364,161315,76,97
ppg,180363,161315,76,97
ppg,179769,161029,75,97
ppg,179810,161039,75,97
ppg,179845,161056,75,97
ppg,179898,161070,75,97
ppg,179938,161095,75,97
ppg,179982,161103,75,97
ppg,180033,161125,75,97
ppg,180083,161148,75,97
ppg,180123,161165,75,97
ppg,180158,161163,75,97
ppg,180158,161163,75,97
ppg,180179,161164,75,97
ppg,180197,161179,75,97
ppg,180232,161206,75,97
ppg,180263,161190,75,97
ppg,180288,161208,75,97
ppg,180316,161214,75,97
ppg,180332,161230,75,97
ppg,180345,161234,75,97
ppg,180349,161232,75,97
ppg,180341,161223,75,97
ppg,180351,161211,75,97
ppg,180337,161215,75,97
ppg,180359,161215,75,97
ppg,180394,161224,75,97
ppg,180415,161240,75,97
ppg,180442,161259,75,97
ppg,180487,161266,75,97
ppg,180004,161054,75,97
ppg,180054,161077,75,97
ppg,180101,161092,75,97
ppg,180541,161296,75,97
ppg,180523,161290,75,97
ppg,180207,161112,75,97
ppg,180226,161122,75,97
ppg,180264,161144,75,97
ppg,180290,161139,75,97
ppg,180330,161164,75,97
ppg,180380,161185,75,97
ppg,180424,161206,75,97
ppg,180476,161221,75,97
ppg,180500,161244,75,97
ppg,180520,161254,75,97
ppg,180538,161259,75,97
ppg,180538,161259,75,97
ppg,180556,161260,75,97
ppg,180570,161255,75,97
ppg,180612,161272,75,97
ppg,180629,161289,75,97
ppg,180661,161306,75,97
ppg,180708,161313,75,97
ppg,180744,161335,75,97
ppg,180755,161339,75,97
ppg,180794,161361,75,97
ppg,180803,161370,75,97
ppg,180828,161374,75,97
ppg,180835,161374,75,97
ppg,180824,161371,75,97
ppg,180725,161349,75,97
ppg,180544,161273,75,97
ppg,180271,161186,75,97
ppg,180624,161238,75,97
ppg,180657,161254,75,97
ppg,180677,161265,75,97
ppg,180703,161276,75,97
ppg,180727,161292,75,97
ppg,180757,161286,75,97
ppg,180781,161311,75,97
ppg,180795,161313,75,97
ppg,180828,161320,75,97
ppg,180829,161328,75,97
ppg,180827,161325,75,97
ppg,180827,161325,75,97
ppg,180805,161305,75,97
ppg,180754,161285,75,97
ppg,180656,161247,75,97
ppg,180459,161171,75,97
ppg,180220,161093,75,97
ppg,179998,161013,75,97
ppg,179837,160959,75,97
ppg,179695,160902,75,97
ppg,179578,160859,75,97
